dataset,subject,acc
cho2017,1,66.5
cho2017,2,54.0
cho2017,3,93.0
cho2017,4,91.5
cho2017,5,72.0
cho2017,6,67.0
cho2017,7,62.0833
cho2017,8,53.0
cho2017,9,70.8333
cho2017,10,86.0
cho2017,11,72.5
cho2017,12,76.5
cho2017,13,48.0
cho2017,14,95.0
cho2017,15,81.5
cho2017,16,66.5
cho2017,17,54.5
cho2017,18,70.0
cho2017,19,74.0
cho2017,20,70.5
cho2017,21,82.5
cho2017,22,73.5
cho2017,23,88.5
cho2017,24,73.0
cho2017,25,82.0
cho2017,26,70.0
cho2017,27,55.5
cho2017,28,48.0
cho2017,29,55.5
cho2017,30,70.0
cho2017,31,71.5
cho2017,32,53.5
cho2017,33,66.5
cho2017,34,52.5
cho2017,35,55.5
cho2017,36,73.5
cho2017,37,53.5
cho2017,38,71.0
cho2017,39,80.0
cho2017,40,50.0
cho2017,41,97.0
cho2017,42,67.0
cho2017,43,97.0
cho2017,44,80.5
cho2017,45,69.0
cho2017,46,84.1667
cho2017,47,70.5
cho2017,48,95.5
cho2017,49,71.0
cho2017,50,71.0
cho2017,51,66.0
cho2017,52,82.0
lee2019,1,87.0
lee2019,2,79.5
lee2019,3,90.0
lee2019,4,58.0
lee2019,5,91.0
lee2019,6,70.5
lee2019,7,62.5
lee2019,8,74.5
lee2019,9,79.0
lee2019,10,67.0
lee2019,11,58.5
lee2019,12,67.0
lee2019,13,63.0
lee2019,14,79.0
lee2019,15,64.0
lee2019,16,64.0
lee2019,17,70.0
lee2019,18,91.0
lee2019,19,87.0
lee2019,20,75.5
lee2019,21,94.5
lee2019,22,77.0
lee2019,23,78.0
lee2019,24,53.5
lee2019,25,62.0
lee2019,26,61.5
lee2019,27,53.0
lee2019,28,92.5
lee2019,29,63.0
lee2019,30,72.0
lee2019,31,70.5
lee2019,32,94.0
lee2019,33,94.5
lee2019,34,47.5
lee2019,35,54.5
lee2019,36,95.0
lee2019,37,96.5
lee2019,38,58.5
lee2019,39,85.5
lee2019,40,60.5
lee2019,41,61.0
lee2019,42,71.5
lee2019,43,73.5
lee2019,44,91.0
lee2019,45,78.0
lee2019,46,75.0
lee2019,47,81.0
lee2019,48,55.5
lee2019,49,69.0
lee2019,50,56.0
lee2019,51,67.0
lee2019,52,67.0
lee2019,53,64.5
lee2019,54,63.0
