dataset,subject,acc
cho2017,1,66.0
cho2017,2,55.0
cho2017,3,92.0
cho2017,4,93.0
cho2017,5,71.0
cho2017,6,67.0
cho2017,7,62.9167
cho2017,8,58.5
cho2017,9,71.6667
cho2017,10,88.0
cho2017,11,73.0
cho2017,12,74.0
cho2017,13,52.0
cho2017,14,93.5
cho2017,15,80.5
cho2017,16,68.5
cho2017,17,56.0
cho2017,18,71.0
cho2017,19,72.0
cho2017,20,71.5
cho2017,21,84.5
cho2017,22,75.5
cho2017,23,90.0
cho2017,24,74.0
cho2017,25,79.0
cho2017,26,79.5
cho2017,27,56.0
cho2017,28,49.0
cho2017,29,58.5
cho2017,30,74.0
cho2017,31,72.0
cho2017,32,53.0
cho2017,33,67.5
cho2017,34,52.0
cho2017,35,56.0
cho2017,36,72.5
cho2017,37,52.5
cho2017,38,67.0
cho2017,39,75.5
cho2017,40,51.0
cho2017,41,97.5
cho2017,42,73.5
cho2017,43,96.5
cho2017,44,79.0
cho2017,45,68.0
cho2017,46,84.5833
cho2017,47,76.0
cho2017,48,94.0
cho2017,49,68.5
cho2017,50,68.5
cho2017,51,70.0
cho2017,52,82.0
lee2019,1,86.0
lee2019,2,70.5
lee2019,3,91.5
lee2019,4,59.0
lee2019,5,91.0
lee2019,6,73.0
lee2019,7,67.0
lee2019,8,79.0
lee2019,9,86.5
lee2019,10,67.5
lee2019,11,57.0
lee2019,12,71.5
lee2019,13,61.5
lee2019,14,80.0
lee2019,15,58.5
lee2019,16,61.5
lee2019,17,73.5
lee2019,18,85.5
lee2019,19,84.5
lee2019,20,70.0
lee2019,21,92.5
lee2019,22,77.0
lee2019,23,73.5
lee2019,24,55.0
lee2019,25,62.0
lee2019,26,63.0
lee2019,27,58.0
lee2019,28,89.0
lee2019,29,64.5
lee2019,30,73.5
lee2019,31,66.5
lee2019,32,93.0
lee2019,33,95.0
lee2019,34,45.5
lee2019,35,52.5
lee2019,36,94.0
lee2019,37,95.5
lee2019,38,58.5
lee2019,39,86.0
lee2019,40,65.5
lee2019,41,60.5
lee2019,42,71.0
lee2019,43,76.5
lee2019,44,91.5
lee2019,45,78.0
lee2019,46,81.0
lee2019,47,77.0
lee2019,48,57.0
lee2019,49,69.5
lee2019,50,56.0
lee2019,51,65.0
lee2019,52,70.0
lee2019,53,61.0
lee2019,54,57.5
