dataset,subject,acc
cho2017,1,68.0
cho2017,2,58.5
cho2017,3,94.0
cho2017,4,91.0
cho2017,5,74.5
cho2017,6,67.0
cho2017,7,65.4167
cho2017,8,58.0
cho2017,9,72.9167
cho2017,10,86.5
cho2017,11,76.0
cho2017,12,72.5
cho2017,13,56.5
cho2017,14,94.0
cho2017,15,81.0
cho2017,16,64.0
cho2017,17,58.0
cho2017,18,74.0
cho2017,19,71.0
cho2017,20,71.0
cho2017,21,83.0
cho2017,22,76.0
cho2017,23,90.0
cho2017,24,68.0
cho2017,25,76.5
cho2017,26,71.0
cho2017,27,60.0
cho2017,28,48.0
cho2017,29,53.5
cho2017,30,68.5
cho2017,31,69.5
cho2017,32,54.0
cho2017,33,64.0
cho2017,34,53.5
cho2017,35,55.0
cho2017,36,69.5
cho2017,37,55.0
cho2017,38,66.5
cho2017,39,78.0
cho2017,40,52.0
cho2017,41,96.5
cho2017,42,68.5
cho2017,43,97.5
cho2017,44,78.0
cho2017,45,68.5
cho2017,46,79.5833
cho2017,47,75.0
cho2017,48,95.0
cho2017,49,76.0
cho2017,50,69.5
cho2017,51,67.0
cho2017,52,78.0
lee2019,1,85.0
lee2019,2,73.5
lee2019,3,86.0
lee2019,4,57.5
lee2019,5,86.0
lee2019,6,71.0
lee2019,7,61.5
lee2019,8,71.5
lee2019,9,85.0
lee2019,10,65.5
lee2019,11,53.5
lee2019,12,66.0
lee2019,13,64.5
lee2019,14,75.0
lee2019,15,56.5
lee2019,16,60.5
lee2019,17,73.5
lee2019,18,91.0
lee2019,19,85.0
lee2019,20,75.5
lee2019,21,88.5
lee2019,22,68.5
lee2019,23,75.0
lee2019,24,57.5
lee2019,25,59.0
lee2019,26,63.0
lee2019,27,56.5
lee2019,28,90.0
lee2019,29,63.5
lee2019,30,75.5
lee2019,31,71.0
lee2019,32,97.5
lee2019,33,92.0
lee2019,34,49.0
lee2019,35,57.0
lee2019,36,95.5
lee2019,37,96.0
lee2019,38,58.5
lee2019,39,85.0
lee2019,40,61.5
lee2019,41,56.5
lee2019,42,67.0
lee2019,43,74.0
lee2019,44,88.5
lee2019,45,74.0
lee2019,46,71.5
lee2019,47,76.5
lee2019,48,60.0
lee2019,49,70.0
lee2019,50,54.5
lee2019,51,64.0
lee2019,52,65.5
lee2019,53,58.5
lee2019,54,64.0
