dataset,subject,acc
cho2017,1,68.0
cho2017,2,56.5
cho2017,3,91.5
cho2017,4,93.0
cho2017,5,72.0
cho2017,6,66.0
cho2017,7,62.9167
cho2017,8,55.5
cho2017,9,74.1667
cho2017,10,87.5
cho2017,11,72.5
cho2017,12,72.0
cho2017,13,52.5
cho2017,14,93.5
cho2017,15,82.0
cho2017,16,69.5
cho2017,17,59.0
cho2017,18,66.5
cho2017,19,72.5
cho2017,20,62.5
cho2017,21,83.5
cho2017,22,71.5
cho2017,23,86.5
cho2017,24,74.0
cho2017,25,76.0
cho2017,26,73.0
cho2017,27,57.5
cho2017,28,49.5
cho2017,29,54.5
cho2017,30,71.0
cho2017,31,70.0
cho2017,32,53.5
cho2017,33,68.0
cho2017,34,57.0
cho2017,35,56.5
cho2017,36,72.5
cho2017,37,49.5
cho2017,38,69.0
cho2017,39,80.0
cho2017,40,53.0
cho2017,41,96.0
cho2017,42,66.0
cho2017,43,97.5
cho2017,44,78.0
cho2017,45,71.0
cho2017,46,75.0
cho2017,47,74.0
cho2017,48,95.0
cho2017,49,78.0
cho2017,50,70.0
cho2017,51,67.0
cho2017,52,81.0
lee2019,1,86.5
lee2019,2,78.0
lee2019,3,84.5
lee2019,4,57.5
lee2019,5,93.0
lee2019,6,68.5
lee2019,7,66.0
lee2019,8,78.5
lee2019,9,84.5
lee2019,10,68.0
lee2019,11,56.5
lee2019,12,68.5
lee2019,13,62.5
lee2019,14,76.0
lee2019,15,56.0
lee2019,16,60.5
lee2019,17,73.0
lee2019,18,90.0
lee2019,19,85.0
lee2019,20,75.5
lee2019,21,84.5
lee2019,22,72.0
lee2019,23,76.5
lee2019,24,56.0
lee2019,25,60.5
lee2019,26,60.0
lee2019,27,51.5
lee2019,28,89.0
lee2019,29,72.0
lee2019,30,70.0
lee2019,31,69.0
lee2019,32,95.5
lee2019,33,95.5
lee2019,34,47.0
lee2019,35,54.5
lee2019,36,94.5
lee2019,37,96.0
lee2019,38,61.5
lee2019,39,85.0
lee2019,40,61.0
lee2019,41,56.5
lee2019,42,66.5
lee2019,43,69.5
lee2019,44,90.5
lee2019,45,76.0
lee2019,46,72.5
lee2019,47,74.5
lee2019,48,56.5
lee2019,49,69.0
lee2019,50,50.5
lee2019,51,64.5
lee2019,52,70.5
lee2019,53,60.5
lee2019,54,61.5
