method,cho_to_lee_acc,cho_to_lee_kappa,lee_to_cho_acc,lee_to_cho_kappa,avg_acc,cho_file,lee_file
DSA+SEA+SessionEA+SourceWeight+CSPNet (sfreq100),73.24,0.465,69.21,0.384,71.22,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
Conformer + DSA+SEA+SessionEA+SourceWeight (sfreq100),71.98,0.440,69.40,0.388,70.69,loso_results_20260616_sfreq100_conformer_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_conformer.csv,loso_results_20260616_sfreq100_conformer_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_conformer.csv
DSA+SEA+SourceWeight+CSPNet (sfreq100),71.93,0.439,69.12,0.383,70.52,loso_results_20260612_sfreq100_datasetea_ea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv,loso_results_20260612_sfreq100_datasetea_ea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
EEGNet + DSA+SEA+SessionEA+SourceWeight (sfreq100),71.38,0.428,68.77,0.375,70.07,loso_results_20260616_sfreq100_eegnet_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_eegnet.csv,loso_results_20260616_sfreq100_eegnet_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_eegnet.csv
Conformer + DSA+SEA+AdaBN (sfreq100),71.35,0.427,68.46,0.369,69.91,loso_results_20260616_sfreq100_conformer_datasetea_subjectea_adabn_cross_cho2017_to_lee2019_conformer.csv,loso_results_20260616_sfreq100_conformer_datasetea_subjectea_adabn_cross_lee2019_to_cho2017_conformer.csv
EEGNet + DSA+SEA+AdaBN (sfreq100),70.72,0.414,68.90,0.378,69.81,loso_results_20260616_sfreq100_eegnet_datasetea_subjectea_adabn_cross_cho2017_to_lee2019_eegnet.csv,loso_results_20260616_sfreq100_eegnet_datasetea_subjectea_adabn_cross_lee2019_to_cho2017_eegnet.csv
EEGNet + DSA+SEA+AdaBN+Con (sfreq100),70.72,0.414,68.90,0.378,69.81,loso_results_20260617_sfreq100_eegnet_datasetea_subjectea_adabn_con_cross_cho2017_to_lee2019_eegnetcontrastive.csv,loso_results_20260617_sfreq100_eegnet_datasetea_subjectea_adabn_con_cross_lee2019_to_cho2017_eegnetcontrastive.csv
Conformer + DSA+SEA (sfreq100),71.62,0.432,67.97,0.359,69.79,loso_results_20260615_sfreq100_conformer_datasetea_subjectea_cross_cho2017_to_lee2019_conformer.csv,loso_results_20260615_sfreq100_conformer_datasetea_subjectea_cross_lee2019_to_cho2017_conformer.csv
Conformer + DSA+SEA+SourceWeight (sfreq100),70.35,0.407,69.07,0.381,69.71,loso_results_20260616_sfreq100_conformer_datasetea_subjectea_sourceweight_tau5_cross_cho2017_to_lee2019_conformer.csv,loso_results_20260616_sfreq100_conformer_datasetea_subjectea_sourceweight_tau5_cross_lee2019_to_cho2017_conformer.csv
EEGNet + DSA+SEA (sfreq100),70.81,0.416,68.56,0.371,69.68,loso_results_20260615_sfreq100_eegnet_datasetea_subjectea_cross_cho2017_to_lee2019_eegnet.csv,loso_results_20260615_sfreq100_eegnet_datasetea_subjectea_cross_lee2019_to_cho2017_eegnet.csv
