dataset,feature,target,n,rho,p
cho2017,class_cov_riemann_dist,original_acc,52,0.26900909583237503,0.05380428108862118
cho2017,class_cov_riemann_dist,best_generalization_acc,52,0.31726787648973287,0.021917337717685163
cho2017,class_cov_riemann_dist,best_delta,52,-0.03658562623565432,0.7967962079071915
cho2017,csp_centroid_dist,original_acc,52,0.5529607695954485,2.1278804508980368e-05
cho2017,csp_centroid_dist,best_generalization_acc,52,0.6213874071830668,8.841901936841033e-07
cho2017,csp_centroid_dist,best_delta,52,0.172938590292457,0.2201890426089208
cho2017,csp_centroid_cosine,original_acc,52,-0.5389147463405919,3.759781982101966e-05
cho2017,csp_centroid_cosine,best_generalization_acc,52,-0.6096478127219961,1.609659169408515e-06
cho2017,csp_centroid_cosine,best_delta,52,-0.18672757194253442,0.18501476612546008
cho2017,csp_fisher_ratio,original_acc,52,0.3147333843003124,0.02305667758677319
cho2017,csp_fisher_ratio,best_generalization_acc,52,0.42569903987562113,0.0016535314882587988
cho2017,csp_fisher_ratio,best_delta,52,0.2595573016485161,0.06314313584337077
lee2019,class_cov_riemann_dist,original_acc,54,0.40985762546272414,0.0020853567414236287
lee2019,class_cov_riemann_dist,best_generalization_acc,54,0.4092633202612914,0.002119898558539096
lee2019,class_cov_riemann_dist,best_delta,54,-0.012544564363494153,0.928263491248688
lee2019,csp_centroid_dist,original_acc,54,0.7056244889267567,2.5463270517320957e-09
lee2019,csp_centroid_dist,best_generalization_acc,54,0.7119031767771625,1.5862625733865545e-09
lee2019,csp_centroid_dist,best_delta,54,0.03873944496446826,0.7809210659593108
lee2019,csp_centroid_cosine,original_acc,54,-0.7031848602037641,3.0503253259959696e-09
lee2019,csp_centroid_cosine,best_generalization_acc,54,-0.7056895104952521,2.5340371888927395e-09
lee2019,csp_centroid_cosine,best_delta,54,-0.021238061855520494,0.8788457654152968
lee2019,csp_fisher_ratio,original_acc,54,0.6739093155278553,2.332813731756553e-08
lee2019,csp_fisher_ratio,best_generalization_acc,54,0.6825121540572058,1.3145111758594739e-08
lee2019,csp_fisher_ratio,best_delta,54,0.054448747450059724,0.6957654332328246
