dataset,subject,Original,EA,EA+Snapshot+AdaBN,EA+SupCon,EA+SupCon+AdaBN,EA+SupCon+CORAL,best_combined_acc,best_combined_method,best_combined_delta_original,best_combined_delta_ea
lee2019,34,46.0,45.0,50.0,47.0,45.5,49.0,50.0,EA+Snapshot+AdaBN,4.0,5.0
cho2017,17,48.5,55.5,55.5,59.0,56.0,58.0,59.0,EA+SupCon,10.5,3.5
cho2017,28,49.5,49.5,45.5,49.5,49.0,48.0,49.5,EA+SupCon,0.0,0.0
lee2019,50,49.5,51.0,56.5,50.5,56.0,54.5,56.5,EA+Snapshot+AdaBN,7.0,5.5
cho2017,37,50.5,57.0,51.0,49.5,52.5,55.0,55.0,EA+SupCon+CORAL,4.5,-2.0
lee2019,35,50.5,54.0,58.0,54.5,52.5,57.0,58.0,EA+Snapshot+AdaBN,7.5,4.0
cho2017,27,50.5,58.0,62.5,57.5,56.0,60.0,62.5,EA+Snapshot+AdaBN,12.0,4.5
lee2019,15,51.5,60.0,63.0,56.0,58.5,56.5,63.0,EA+Snapshot+AdaBN,11.5,3.0
cho2017,40,52.0,54.0,53.0,53.0,51.0,52.0,53.0,EA+Snapshot+AdaBN,1.0,-1.0
lee2019,48,52.0,58.5,56.5,56.5,57.0,60.0,60.0,EA+SupCon+CORAL,8.0,1.5
cho2017,34,53.0,52.0,54.5,57.0,52.0,53.5,57.0,EA+SupCon,4.0,5.0
lee2019,24,53.5,54.5,58.0,56.0,55.0,57.5,58.0,EA+Snapshot+AdaBN,4.5,3.5
cho2017,2,53.5,58.5,58.0,56.5,55.0,58.5,58.5,EA+SupCon+CORAL,5.0,0.0
lee2019,27,54.5,55.5,58.5,51.5,58.0,56.5,58.5,EA+Snapshot+AdaBN,4.0,3.0
lee2019,13,55.0,62.5,60.5,62.5,61.5,64.5,64.5,EA+SupCon+CORAL,9.5,2.0
cho2017,13,55.5,53.0,55.0,52.5,52.0,56.5,56.5,EA+SupCon+CORAL,1.0,3.5
cho2017,8,55.5,54.5,54.0,55.5,58.5,58.0,58.5,EA+SupCon+AdaBN,3.0,4.0
lee2019,11,56.5,54.5,58.5,56.5,57.0,53.5,58.5,EA+Snapshot+AdaBN,2.0,4.0
lee2019,41,56.5,59.5,63.0,56.5,60.5,56.5,63.0,EA+Snapshot+AdaBN,6.5,3.5
lee2019,51,56.5,68.5,66.0,64.5,65.0,64.0,66.0,EA+Snapshot+AdaBN,9.5,-2.5
cho2017,32,57.0,54.0,55.5,53.5,53.0,54.0,55.5,EA+Snapshot+AdaBN,-1.5,1.5
lee2019,10,57.5,67.0,69.0,68.0,67.5,65.5,69.0,EA+Snapshot+AdaBN,11.5,2.0
cho2017,35,58.0,57.5,58.0,56.5,56.0,55.0,58.0,EA+Snapshot+AdaBN,0.0,0.5
lee2019,54,58.0,61.5,62.0,61.5,57.5,64.0,64.0,EA+SupCon+CORAL,6.0,2.5
lee2019,25,59.0,56.0,61.0,60.5,62.0,59.0,62.0,EA+SupCon+AdaBN,3.0,6.0
cho2017,29,60.0,56.0,55.5,54.5,58.5,53.5,58.5,EA+SupCon+AdaBN,-1.5,2.5
lee2019,40,60.0,69.0,65.0,61.0,65.5,61.5,65.5,EA+SupCon+AdaBN,5.5,-3.5
lee2019,7,60.0,64.5,63.5,66.0,67.0,61.5,67.0,EA+SupCon+AdaBN,7.0,2.5
cho2017,6,61.0,67.5,58.5,66.0,67.0,67.0,67.0,EA+SupCon+AdaBN,6.0,-0.5
lee2019,38,61.5,57.5,60.5,61.5,58.5,58.5,61.5,EA+SupCon,0.0,4.0
lee2019,4,61.5,60.0,62.0,57.5,59.0,57.5,62.0,EA+Snapshot+AdaBN,0.5,2.0
lee2019,16,61.5,58.0,62.0,60.5,61.5,60.5,62.0,EA+Snapshot+AdaBN,0.5,4.0
lee2019,53,62.0,64.0,67.0,60.5,61.0,58.5,67.0,EA+Snapshot+AdaBN,5.0,3.0
cho2017,16,62.0,63.0,65.5,69.5,68.5,64.0,69.5,EA+SupCon,7.5,6.5
cho2017,7,64.17,62.5,63.75,62.92,62.92,65.42,65.42,EA+SupCon+CORAL,1.25,2.92
lee2019,26,66.0,63.5,63.0,60.0,63.0,63.0,63.0,EA+Snapshot+AdaBN,-3.0,-0.5
cho2017,33,67.0,67.5,68.5,68.0,67.5,64.0,68.5,EA+Snapshot+AdaBN,1.5,1.0
cho2017,1,67.5,68.5,64.0,68.0,66.0,68.0,68.0,EA+SupCon,0.5,-0.5
