dataset,subject,Original,EA,EA+Snapshot+AdaBN,EA+SupCon,EA+SupCon+AdaBN,EA+SupCon+CORAL,best_combined_acc,best_combined_method,best_combined_delta_original,best_combined_delta_ea,n_combined_pass70
cho2017,39,50.5,79.5,78.5,80.0,75.5,78.0,80.0,EA+SupCon,29.5,0.5,4
cho2017,46,62.5,81.25,82.5,75.0,84.58,79.58,84.58,EA+SupCon+AdaBN,22.08,3.33,4
cho2017,12,55.0,71.5,73.0,72.0,74.0,72.5,74.0,EA+SupCon+AdaBN,19.0,2.5,4
cho2017,15,63.5,80.0,79.0,82.0,80.5,81.0,82.0,EA+SupCon,18.5,2.0,4
cho2017,38,52.5,69.5,70.0,69.0,67.0,66.5,70.0,EA+Snapshot+AdaBN,17.5,0.5,1
cho2017,11,60.5,71.0,72.0,72.5,73.0,76.0,76.0,EA+SupCon+CORAL,15.5,5.0,4
cho2017,19,58.5,76.0,74.0,72.5,72.0,71.0,74.0,EA+Snapshot+AdaBN,15.5,-2.0,4
cho2017,30,60.5,63.5,75.5,71.0,74.0,68.5,75.5,EA+Snapshot+AdaBN,15.0,12.0,3
lee2019,49,61.0,68.0,76.0,69.0,69.5,70.0,76.0,EA+Snapshot+AdaBN,15.0,8.0,2
cho2017,20,59.0,70.5,73.5,62.5,71.5,71.0,73.5,EA+Snapshot+AdaBN,14.5,3.0,3
cho2017,5,61.0,72.0,69.0,72.0,71.0,74.5,74.5,EA+SupCon+CORAL,13.5,2.5,3
cho2017,50,56.5,70.5,68.5,70.0,68.5,69.5,70.0,EA+SupCon,13.5,-0.5,1
lee2019,22,65.0,70.0,72.5,72.0,77.0,68.5,77.0,EA+SupCon+AdaBN,12.0,7.0,3
cho2017,26,68.5,72.0,71.5,73.0,79.5,71.0,79.5,EA+SupCon+AdaBN,11.0,7.5,4
cho2017,31,61.0,66.0,70.0,70.0,72.0,69.5,72.0,EA+SupCon+AdaBN,11.0,6.0,3
cho2017,49,67.5,73.5,70.5,78.0,68.5,76.0,78.0,EA+SupCon,10.5,4.5,3
lee2019,31,62.0,67.5,72.0,69.0,66.5,71.0,72.0,EA+Snapshot+AdaBN,10.0,4.5,2
cho2017,47,66.0,74.0,70.5,74.0,76.0,75.0,76.0,EA+SupCon+AdaBN,10.0,2.0,4
cho2017,18,66.0,68.5,69.0,66.5,71.0,74.0,74.0,EA+SupCon+CORAL,8.0,5.5,2
lee2019,17,67.0,68.0,72.0,73.0,73.5,73.5,73.5,EA+SupCon+AdaBN,6.5,5.5,4
lee2019,29,66.0,71.5,65.5,72.0,64.5,63.5,72.0,EA+SupCon,6.0,0.5,1
cho2017,45,65.0,68.5,65.5,71.0,68.0,68.5,71.0,EA+SupCon,6.0,2.5,1
cho2017,51,64.0,68.0,66.0,67.0,70.0,67.0,70.0,EA+SupCon+AdaBN,6.0,2.0,1
lee2019,52,66.5,65.5,72.5,70.5,70.0,65.5,72.5,EA+Snapshot+AdaBN,6.0,7.0,3
lee2019,12,66.0,67.5,68.0,68.5,71.5,66.0,71.5,EA+SupCon+AdaBN,5.5,4.0,1
cho2017,36,67.5,71.5,68.5,72.5,72.5,69.5,72.5,EA+SupCon,5.0,1.0,2
cho2017,9,69.58,74.58,72.92,74.17,71.67,72.92,74.17,EA+SupCon,4.58,-0.42,4
lee2019,42,68.5,70.5,71.0,66.5,71.0,67.0,71.0,EA+Snapshot+AdaBN,2.5,0.5,2
