dataset,subject,method,acc
cho2017,1,Original,67.5
cho2017,1,EA,68.5
cho2017,1,EA+TENT,68.0
cho2017,1,EA+AdaBN,68.0
cho2017,1,EA+Snapshot+AdaBN,64.0
cho2017,1,EA+SupCon,68.0
cho2017,1,EA+SupCon+AdaBN,66.0
cho2017,1,EA+SupCon+CORAL,68.0
cho2017,2,Original,53.5
cho2017,2,EA,58.5
cho2017,2,EA+TENT,56.0
cho2017,2,EA+AdaBN,58.0
cho2017,2,EA+Snapshot+AdaBN,58.0
cho2017,2,EA+SupCon,56.5
cho2017,2,EA+SupCon+AdaBN,55.0
cho2017,2,EA+SupCon+CORAL,58.5
cho2017,3,Original,90.5
cho2017,3,EA,93.5
cho2017,3,EA+TENT,93.5
cho2017,3,EA+AdaBN,92.0
cho2017,3,EA+Snapshot+AdaBN,92.0
cho2017,3,EA+SupCon,91.5
cho2017,3,EA+SupCon+AdaBN,92.0
cho2017,3,EA+SupCon+CORAL,94.0
cho2017,4,Original,84.0
cho2017,4,EA,95.0
cho2017,4,EA+TENT,90.5
cho2017,4,EA+AdaBN,89.0
cho2017,4,EA+Snapshot+AdaBN,93.5
cho2017,4,EA+SupCon,93.0
cho2017,4,EA+SupCon+AdaBN,93.0
cho2017,4,EA+SupCon+CORAL,91.0
cho2017,5,Original,61.0
cho2017,5,EA,72.0
cho2017,5,EA+TENT,74.0
cho2017,5,EA+AdaBN,69.5
cho2017,5,EA+Snapshot+AdaBN,69.0
cho2017,5,EA+SupCon,72.0
cho2017,5,EA+SupCon+AdaBN,71.0
cho2017,5,EA+SupCon+CORAL,74.5
cho2017,6,Original,61.0
cho2017,6,EA,67.5
cho2017,6,EA+TENT,62.0
cho2017,6,EA+AdaBN,58.5
cho2017,6,EA+Snapshot+AdaBN,58.5
cho2017,6,EA+SupCon,66.0
cho2017,6,EA+SupCon+AdaBN,67.0
cho2017,6,EA+SupCon+CORAL,67.0
cho2017,7,Original,64.1667
cho2017,7,EA,62.5
cho2017,7,EA+TENT,64.1667
cho2017,7,EA+AdaBN,62.9167
cho2017,7,EA+Snapshot+AdaBN,63.75
cho2017,7,EA+SupCon,62.9167
cho2017,7,EA+SupCon+AdaBN,62.9167
cho2017,7,EA+SupCon+CORAL,65.4167
cho2017,8,Original,55.5
cho2017,8,EA,54.5
cho2017,8,EA+TENT,55.5
cho2017,8,EA+AdaBN,58.0
cho2017,8,EA+Snapshot+AdaBN,54.0
cho2017,8,EA+SupCon,55.5
cho2017,8,EA+SupCon+AdaBN,58.5
cho2017,8,EA+SupCon+CORAL,58.0
cho2017,9,Original,69.5833
cho2017,9,EA,74.5833
cho2017,9,EA+TENT,72.5
cho2017,9,EA+AdaBN,73.3333
cho2017,9,EA+Snapshot+AdaBN,72.9167
cho2017,9,EA+SupCon,74.1667
cho2017,9,EA+SupCon+AdaBN,71.6667
cho2017,9,EA+SupCon+CORAL,72.9167
cho2017,10,Original,80.0
