dataset,subject,Original,EA,EA+TENT,EA+AdaBN,EA+Snapshot+AdaBN,EA+SupCon,EA+SupCon+AdaBN,EA+SupCon+CORAL,original_illiterate,Original_pass70,Original_delta_original,Original_delta_ea,EA_pass70,EA_delta_original,EA_delta_ea,EA+TENT_pass70,EA+TENT_delta_original,EA+TENT_delta_ea,EA+AdaBN_pass70,EA+AdaBN_delta_original,EA+AdaBN_delta_ea,EA+Snapshot+AdaBN_pass70,EA+Snapshot+AdaBN_delta_original,EA+Snapshot+AdaBN_delta_ea,EA+SupCon_pass70,EA+SupCon_delta_original,EA+SupCon_delta_ea,EA+SupCon+AdaBN_pass70,EA+SupCon+AdaBN_delta_original,EA+SupCon+AdaBN_delta_ea,EA+SupCon+CORAL_pass70,EA+SupCon+CORAL_delta_original,EA+SupCon+CORAL_delta_ea,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta_original,best_combined_delta_ea
cho2017,1,67.5,68.5,68.0,68.0,64.0,68.0,66.0,68.0,True,False,0.0,-1.0,False,1.0,0.0,False,0.5,-0.5,False,0.5,-0.5,False,-3.5,-4.5,False,0.5,-0.5,False,-1.5,-2.5,False,0.5,-0.5,False,True,0,68.0,EA+SupCon,0.5,-0.5
cho2017,2,53.5,58.5,56.0,58.0,58.0,56.5,55.0,58.5,True,False,0.0,-5.0,False,5.0,0.0,False,2.5,-2.5,False,4.5,-0.5,False,4.5,-0.5,False,3.0,-2.0,False,1.5,-3.5,False,5.0,0.0,False,True,0,58.5,EA+SupCon+CORAL,5.0,0.0
cho2017,3,90.5,93.5,93.5,92.0,92.0,91.5,92.0,94.0,False,True,0.0,-3.0,True,3.0,0.0,True,3.0,0.0,True,1.5,-1.5,True,1.5,-1.5,True,1.0,-2.0,True,1.5,-1.5,True,3.5,0.5,True,False,4,94.0,EA+SupCon+CORAL,3.5,0.5
cho2017,4,84.0,95.0,90.5,89.0,93.5,93.0,93.0,91.0,False,True,0.0,-11.0,True,11.0,0.0,True,6.5,-4.5,True,5.0,-6.0,True,9.5,-1.5,True,9.0,-2.0,True,9.0,-2.0,True,7.0,-4.0,True,False,4,93.5,EA+Snapshot+AdaBN,9.5,-1.5
cho2017,5,61.0,72.0,74.0,69.5,69.0,72.0,71.0,74.5,True,False,0.0,-11.0,True,11.0,0.0,True,13.0,2.0,False,8.5,-2.5,False,8.0,-3.0,True,11.0,0.0,True,10.0,-1.0,True,13.5,2.5,True,False,3,74.5,EA+SupCon+CORAL,13.5,2.5
cho2017,6,61.0,67.5,62.0,58.5,58.5,66.0,67.0,67.0,True,False,0.0,-6.5,False,6.5,0.0,False,1.0,-5.5,False,-2.5,-9.0,False,-2.5,-9.0,False,5.0,-1.5,False,6.0,-0.5,False,6.0,-0.5,False,True,0,67.0,EA+SupCon+AdaBN,6.0,-0.5
cho2017,7,64.1667,62.5,64.1667,62.9167,63.75,62.9167,62.9167,65.4167,True,False,0.0,1.6667000000000058,False,-1.6667000000000058,0.0,False,0.0,1.6667000000000058,False,-1.250000000000007,0.41669999999999874,False,-0.41670000000000584,1.25,False,-1.250000000000007,0.41669999999999874,False,-1.250000000000007,0.41669999999999874,False,1.25,2.916700000000006,False,True,0,65.4167,EA+SupCon+CORAL,1.25,2.916700000000006
cho2017,8,55.5,54.5,55.5,58.0,54.0,55.5,58.5,58.0,True,False,0.0,1.0,False,-1.0,0.0,False,0.0,1.0,False,2.5,3.5,False,-1.5,-0.5,False,0.0,1.0,False,3.0,4.0,False,2.5,3.5,False,True,0,58.5,EA+SupCon+AdaBN,3.0,4.0
cho2017,9,69.5833,74.5833,72.5,73.3333,72.9167,74.1667,71.6667,72.9167,True,False,0.0,-5.0,True,5.0,0.0,True,2.916700000000006,-2.083299999999994,True,3.75,-1.25,True,3.3334000000000117,-1.6665999999999883,True,4.583400000000012,-0.4165999999999883,True,2.0834000000000117,-2.9165999999999883,True,3.3334000000000117,-1.6665999999999883,True,False,4,74.1667,EA+SupCon,4.583400000000012,-0.4165999999999883
cho2017,10,80.0,86.5,87.5,85.5,84.0,87.5,88.0,86.5,False,True,0.0,-6.5,True,6.5,0.0,True,7.5,1.0,True,5.5,-1.0,True,4.0,-2.5,True,7.5,1.0,True,8.0,1.5,True,6.5,0.0,True,False,4,88.0,EA+SupCon+AdaBN,8.0,1.5
