"scope","method","dataset","n","mean_acc","ge60_n","ge60_pct","ge70_n","ge70_pct","ge75_n","ge75_pct"
"LOSO","csp_lda","all","106","61.74","48","45.3","22","20.8","15","14.2"
"LOSO","csp_lda","cho2017","52","60.66","22","42.3","9","17.3","5","9.6"
"LOSO","csp_lda","lee2019","54","62.78","26","48.1","13","24.1","10","18.5"
"LOSO","ea_csp_lda","all","106","65.4","69","65.1","35","33","21","19.8"
"LOSO","ea_csp_lda","cho2017","52","66.75","40","76.9","20","38.5","8","15.4"
"LOSO","ea_csp_lda","lee2019","54","64.1","29","53.7","15","27.8","13","24.1"
"LOSO","cspnet_noea","all","106","67.92","75","70.8","40","37.7","30","28.3"
"LOSO","cspnet_noea","cho2017","52","65.77","35","67.3","15","28.8","10","19.2"
"LOSO","cspnet_noea","lee2019","54","69.99","40","74.1","25","46.3","20","37"
"LOSO","ea_cspnet","all","106","71.56","83","78.3","56","52.8","36","34"
"LOSO","ea_cspnet","cho2017","52","71.43","40","76.9","28","53.8","16","30.8"
"LOSO","ea_cspnet","lee2019","54","71.69","43","79.6","28","51.9","20","37"
"LOSO","ea_tent_cspnet","all","106","71.99","82","77.4","58","54.7","40","37.7"
"LOSO","ea_tent_cspnet","cho2017","52","71.45","40","76.9","27","51.9","17","32.7"
"LOSO","ea_tent_cspnet","lee2019","54","72.51","42","77.8","31","57.4","23","42.6"
"LOSO","ea_adabn_cspnet","all","106","71.64","82","77.4","57","53.8","40","37.7"
"LOSO","ea_adabn_cspnet","cho2017","52","71.04","39","75","30","57.7","16","30.8"
"LOSO","ea_adabn_cspnet","lee2019","54","72.22","43","79.6","27","50","24","44.4"
"LOSO","ea_snapshot_adabn_cspnet","all","106","72.09","87","82.1","59","55.7","39","36.8"
"LOSO","ea_snapshot_adabn_cspnet","cho2017","52","70.63","40","76.9","28","53.8","16","30.8"
"LOSO","ea_snapshot_adabn_cspnet","lee2019","54","73.5","47","87","31","57.4","23","42.6"
"LOSO","ea_supcon_adabn_cspnet","all","106","72.08","83","78.3","61","57.5","39","36.8"
"LOSO","ea_supcon_adabn_cspnet","cho2017","52","71.81","40","76.9","31","59.6","18","34.6"
"LOSO","ea_supcon_adabn_cspnet","lee2019","54","72.33","43","79.6","30","55.6","21","38.9"
"CrossDataset","CSP-LDA baseline","Cho->Lee","54","55.15","10","18.5","3","5.6","1","1.9"
"CrossDataset","CSP-LDA baseline","Lee->Cho","52","52.76","4","7.7","1","1.9","0","0"
"CrossDataset","DatasetEA+SubjectEA+CSP-LDA","Cho->Lee","54","68.96","39","72.2","22","40.7","17","31.5"
"CrossDataset","DatasetEA+SubjectEA+CSP-LDA","Lee->Cho","52","65.1","33","63.5","16","30.8","10","19.2"
"CrossDataset","SessionEA+CSP-LDA","Cho->Lee","54","70.6","44","81.5","23","42.6","19","35.2"
"CrossDataset","SessionEA+CSP-LDA","Lee->Cho","52","65.4","35","67.3","19","36.5","10","19.2"
"CrossDataset","DSA+SEA+SessionEA+SourceWeight+CSPNet","Cho->Lee","54","73.24","46","85.2","32","59.3","22","40.7"
"CrossDataset","DSA+SEA+SessionEA+SourceWeight+CSPNet","Lee->Cho","52","69.21","40","76.9","22","42.3","14","26.9"
