direction,subject,CSP-LDA baseline,DatasetEA+SubjectEA+CSP-LDA,SessionEA+CSP-LDA,DSA+SEA+SessionEA+SourceWeight+CSPNet,best_combined_acc,best_combined_method,best_combined_delta,n_combined_pass70
lee2019->cho2017,43,50.0,94.0,93.5,97.0,97.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,47.0,3
cho2017->lee2019,44,50.0,84.0,90.0,93.5,93.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,43.5,3
cho2017->lee2019,37,52.5,91.0,91.5,95.5,95.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,43.0,3
lee2019->cho2017,41,54.0,86.5,88.5,93.0,93.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,39.0,3
cho2017->lee2019,28,50.5,79.5,83.5,88.5,88.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,38.0,3
lee2019->cho2017,23,50.0,76.5,78.0,88.0,88.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,38.0,3
cho2017->lee2019,18,57.5,89.0,88.0,94.0,94.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,36.5,3
cho2017->lee2019,5,54.0,79.0,85.0,90.5,90.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,36.5,3
lee2019->cho2017,48,54.0,86.0,87.0,90.0,90.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,36.0,3
lee2019->cho2017,14,60.0,95.0,95.0,92.0,95.0,DatasetEA+SubjectEA+CSP-LDA,35.0,3
cho2017->lee2019,45,50.0,70.5,82.0,85.0,85.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,35.0,3
cho2017->lee2019,33,60.5,85.5,86.0,95.5,95.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,35.0,3
cho2017->lee2019,2,51.0,62.0,85.5,77.0,85.5,SessionEA+CSP-LDA,34.5,2
lee2019->cho2017,10,52.0,76.5,79.5,85.5,85.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,33.5,3
cho2017->lee2019,23,55.5,74.5,88.5,85.0,88.5,SessionEA+CSP-LDA,33.0,3
cho2017->lee2019,9,52.0,74.5,77.0,83.0,83.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,31.0,3
lee2019->cho2017,39,50.0,66.5,70.0,81.0,81.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,31.0,2
cho2017->lee2019,39,59.0,84.0,85.0,88.0,88.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,29.0,3
cho2017->lee2019,32,66.0,94.0,93.0,93.5,94.0,DatasetEA+SubjectEA+CSP-LDA,28.0,3
cho2017->lee2019,8,52.5,67.5,69.0,80.0,80.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,27.5,1
cho2017->lee2019,1,53.5,66.5,67.5,81.0,81.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,27.5,1
cho2017->lee2019,46,51.0,72.0,73.0,76.5,76.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,25.5,3
