method,train_dataset,test_dataset,direction,subject,acc,bac,source_file
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,1,53.5,53.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,2,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,3,71.0,71.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,4,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,5,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,6,49.5,49.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,7,60.0,60.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,8,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,9,52.0,52.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,10,57.5,57.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,11,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,12,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,13,48.5,48.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,14,58.0,58.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,15,53.0,53.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,16,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,17,57.0,57.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,18,57.5,57.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,19,66.0,66.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,20,51.5,51.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,21,81.0,81.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,22,67.0,67.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,23,55.5,55.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,24,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,25,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,26,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,27,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,28,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,29,65.0,65.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,30,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,31,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,32,66.0,66.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,33,60.5,60.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,34,48.5,48.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,35,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,36,72.0,72.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,37,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,38,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,39,59.0,59.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,40,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,41,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,42,57.0,57.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,43,51.5,51.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,44,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,45,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,46,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,47,56.0,56.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
