train_dataset,test_dataset,direction,subject,CSP-LDA baseline,DSA+SEA+SessionEA+SourceWeight+CSPNet,DatasetEA+SubjectEA+CSP-LDA,SessionEA+CSP-LDA,baseline_illiterate,DatasetEA+SubjectEA+CSP-LDA_pass70,DatasetEA+SubjectEA+CSP-LDA_delta,SessionEA+CSP-LDA_pass70,SessionEA+CSP-LDA_delta,DSA+SEA+SessionEA+SourceWeight+CSPNet_pass70,DSA+SEA+SessionEA+SourceWeight+CSPNet_delta,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta
cho2017,lee2019,cho2017->lee2019,1,53.5,81.0,66.5,67.5,True,False,13.0,False,14.0,True,27.5,True,False,1,81.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,27.5
cho2017,lee2019,cho2017->lee2019,2,51.0,77.0,62.0,85.5,True,False,11.0,True,34.5,True,26.0,True,False,2,85.5,SessionEA+CSP-LDA,34.5
cho2017,lee2019,cho2017->lee2019,3,71.0,94.5,81.5,91.5,False,True,10.5,True,20.5,True,23.5,True,False,3,94.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,23.5
cho2017,lee2019,cho2017->lee2019,4,50.0,65.0,59.5,63.0,True,False,9.5,False,13.0,False,15.0,False,True,0,65.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,15.0
cho2017,lee2019,cho2017->lee2019,5,54.0,90.5,79.0,85.0,True,True,25.0,True,31.0,True,36.5,True,False,3,90.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,36.5
cho2017,lee2019,cho2017->lee2019,6,49.5,71.0,61.0,60.5,True,False,11.5,False,11.0,True,21.5,True,False,1,71.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,21.5
cho2017,lee2019,cho2017->lee2019,7,60.0,72.5,56.0,69.0,True,False,-4.0,False,9.0,True,12.5,True,False,1,72.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,12.5
cho2017,lee2019,cho2017->lee2019,8,52.5,80.0,67.5,69.0,True,False,15.0,False,16.5,True,27.5,True,False,1,80.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,27.5
cho2017,lee2019,cho2017->lee2019,9,52.0,83.0,74.5,77.0,True,True,22.5,True,25.0,True,31.0,True,False,3,83.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,31.0
cho2017,lee2019,cho2017->lee2019,10,57.5,62.0,63.0,63.0,True,False,5.5,False,5.5,False,4.5,False,True,0,63.0,DatasetEA+SubjectEA+CSP-LDA,5.5
cho2017,lee2019,cho2017->lee2019,11,50.5,54.0,51.5,51.0,True,False,1.0,False,0.5,False,3.5,False,True,0,54.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,3.5
cho2017,lee2019,cho2017->lee2019,12,54.0,76.5,64.0,67.0,True,False,10.0,False,13.0,True,22.5,True,False,1,76.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,22.5
cho2017,lee2019,cho2017->lee2019,13,48.5,59.5,62.5,62.0,True,False,14.0,False,13.5,False,11.0,False,True,0,62.5,DatasetEA+SubjectEA+CSP-LDA,14.0
