dataset,feature,target,n,rho,p
cho2017,mu_hemi_asym_left,original_acc,52,-0.07368825573824461,0.6036469941639904
cho2017,mu_hemi_asym_left,best_generalization_acc,52,-0.2419637142012656,0.08395359809218444
cho2017,mu_hemi_asym_left,best_delta,52,-0.17972635525333103,0.20233366974843975
cho2017,mu_hemi_asym_right,original_acc,52,0.2242667481998835,0.10996928467825642
cho2017,mu_hemi_asym_right,best_generalization_acc,52,0.07590181437012178,0.5927860359391852
cho2017,mu_hemi_asym_right,best_delta,52,-0.1982539652723205,0.1588630667720612
cho2017,mu_hemi_asym_diff,original_acc,52,-0.4552363099286803,0.0006965395811143713
cho2017,mu_hemi_asym_diff,best_generalization_acc,52,-0.4437566706284679,0.0009837245119069594
cho2017,mu_hemi_asym_diff,best_delta,52,-0.060577600499875706,0.6696674066110152
cho2017,mu_hemi_asym_absdiff,original_acc,52,0.3029500942749616,0.02902956868858708
cho2017,mu_hemi_asym_absdiff,best_generalization_acc,52,0.2753895413395138,0.04815712354114736
cho2017,mu_hemi_asym_absdiff,best_delta,52,-0.0294563385094533,0.8357802209079417
cho2017,mu_contra_desync_index,original_acc,52,0.4552363099286803,0.0006965395811143713
cho2017,mu_contra_desync_index,best_generalization_acc,52,0.4437566706284679,0.0009837245119069594
cho2017,mu_contra_desync_index,best_delta,52,0.060577600499875706,0.6696674066110152
cho2017,mu_sensorimotor_logpower,original_acc,52,0.3201554054351659,0.020677532833889616
cho2017,mu_sensorimotor_logpower,best_generalization_acc,52,0.4713767346877867,0.0004198625092980648
cho2017,mu_sensorimotor_logpower,best_delta,52,0.24154197577751707,0.08451155426539944
cho2017,mu_sensorimotor_vs_all,original_acc,52,0.27912735574544795,0.04507966605279984
cho2017,mu_sensorimotor_vs_all,best_generalization_acc,52,0.3872358594777136,0.0045670282574902955
cho2017,mu_sensorimotor_vs_all,best_delta,52,0.15470981269312867,0.2734648739842658
cho2017,mu_left_right_balance_abs,original_acc,52,0.10609230330795937,0.4541215823840472
cho2017,mu_left_right_balance_abs,best_generalization_acc,52,-0.048623265786034146,0.7321202258556332
cho2017,mu_left_right_balance_abs,best_delta,52,-0.18237315668461523,0.19565644992629994
cho2017,mu_class_sensorimotor_absdiff,original_acc,52,0.1714981015646168,0.22411502023364088
cho2017,mu_class_sensorimotor_absdiff,best_generalization_acc,52,0.23453575261498824,0.09421280522643123
cho2017,mu_class_sensorimotor_absdiff,best_delta,52,0.2624175548081296,0.060189355330302084
cho2017,beta_hemi_asym_left,original_acc,52,-0.05767835081249621,0.6846307655260271
cho2017,beta_hemi_asym_left,best_generalization_acc,52,-0.22134471738418532,0.11480252939405323
cho2017,beta_hemi_asym_left,best_delta,52,-0.11428205534754565,0.4198309374033853
cho2017,beta_hemi_asym_right,original_acc,52,0.1905392151563069,0.1760459223664769
cho2017,beta_hemi_asym_right,best_generalization_acc,52,0.053361793004866265,0.7071316127851452
cho2017,beta_hemi_asym_right,best_delta,52,-0.06194369156118368,0.6626602459802715
cho2017,beta_hemi_asym_diff,original_acc,52,-0.40426077264509747,0.002955696890734113
cho2017,beta_hemi_asym_diff,best_generalization_acc,52,-0.4645891146175677,0.0005210433982000859
cho2017,beta_hemi_asym_diff,best_delta,52,-0.2302290341760604,0.10059246918306392
cho2017,beta_hemi_asym_absdiff,original_acc,52,0.39888144459004593,0.003399592979064067
cho2017,beta_hemi_asym_absdiff,best_generalization_acc,52,0.2722305231936258,0.05088955487263857
cho2017,beta_hemi_asym_absdiff,best_delta,52,-0.1411342827713806,0.3182791775051959
cho2017,beta_contra_desync_index,original_acc,52,0.40426077264509747,0.002955696890734113
cho2017,beta_contra_desync_index,best_generalization_acc,52,0.4645891146175677,0.0005210433982000859
cho2017,beta_contra_desync_index,best_delta,52,0.2302290341760604,0.10059246918306392
cho2017,beta_sensorimotor_logpower,original_acc,52,0.14122870798500184,0.3179522221511276
cho2017,beta_sensorimotor_logpower,best_generalization_acc,52,0.3164994666704628,0.022257635326338284
cho2017,beta_sensorimotor_logpower,best_delta,52,0.18587376502921693,0.18706792925160617
cho2017,beta_sensorimotor_vs_all,original_acc,52,0.059172608605566064,0.6769032971214108
cho2017,beta_sensorimotor_vs_all,best_generalization_acc,52,0.09016008546102205,0.525007424484168
cho2017,beta_sensorimotor_vs_all,best_delta,52,0.03521953517434634,0.8042313266240625
cho2017,beta_left_right_balance_abs,original_acc,52,0.09648636035251032,0.4962197580262957
cho2017,beta_left_right_balance_abs,best_generalization_acc,52,-0.06693703314530425,0.6372940756662876
cho2017,beta_left_right_balance_abs,best_delta,52,-0.08764327965204005,0.5366861070395499
cho2017,beta_class_sensorimotor_absdiff,original_acc,52,0.0010246339152478973,0.9942480008237339
cho2017,beta_class_sensorimotor_absdiff,best_generalization_acc,52,0.10787620073863764,0.4465246938538846
cho2017,beta_class_sensorimotor_absdiff,best_delta,52,0.08418536165310421,0.5529356337176563
cho2017,mu_beta_hemi_asym_left,original_acc,52,-0.09230243853191474,0.5151667109982709
cho2017,mu_beta_hemi_asym_left,best_generalization_acc,52,-0.26668089672111966,0.05599379401296492
cho2017,mu_beta_hemi_asym_left,best_delta,52,-0.13289504605786684,0.34762870220713626
cho2017,mu_beta_hemi_asym_right,original_acc,52,0.23015839321255893,0.10069982592378762
cho2017,mu_beta_hemi_asym_right,best_generalization_acc,52,0.06305229461454999,0.6569947659133005
cho2017,mu_beta_hemi_asym_right,best_delta,52,-0.1724689964901324,0.22146360437060053
cho2017,mu_beta_hemi_asym_diff,original_acc,52,-0.547496055380793,2.663469527324576e-05
cho2017,mu_beta_hemi_asym_diff,best_generalization_acc,52,-0.535538954596838,4.294865834801429e-05
cho2017,mu_beta_hemi_asym_diff,best_delta,52,-0.11722768919849097,0.40786835751953365
cho2017,mu_beta_hemi_asym_absdiff,original_acc,52,0.48998847688750485,0.0002268815331215187
cho2017,mu_beta_hemi_asym_absdiff,best_generalization_acc,52,0.3801494133666673,0.005438242186794716
cho2017,mu_beta_hemi_asym_absdiff,best_delta,52,-0.09332109562560133,0.5105204060476831
cho2017,mu_beta_contra_desync_index,original_acc,52,0.547496055380793,2.663469527324576e-05
cho2017,mu_beta_contra_desync_index,best_generalization_acc,52,0.535538954596838,4.294865834801429e-05
cho2017,mu_beta_contra_desync_index,best_delta,52,0.11722768919849097,0.40786835751953365
cho2017,mu_beta_sensorimotor_logpower,original_acc,52,0.28429321840148947,0.04109291019832946
cho2017,mu_beta_sensorimotor_logpower,best_generalization_acc,52,0.4600213451363511,0.0006010259581143717
cho2017,mu_beta_sensorimotor_logpower,best_delta,52,0.2738158771009181,0.04950295479249499
cho2017,mu_beta_sensorimotor_vs_all,original_acc,52,0.21192844813710673,0.1314832411169868
cho2017,mu_beta_sensorimotor_vs_all,best_generalization_acc,52,0.29886873026165506,0.03137838078690635
cho2017,mu_beta_sensorimotor_vs_all,best_delta,52,0.1165019533221711,0.4107972220120534
cho2017,mu_beta_left_right_balance_abs,original_acc,52,0.1346112806156925,0.3413816646034421
cho2017,mu_beta_left_right_balance_abs,best_generalization_acc,52,-0.05165421562871055,0.7161029025038347
cho2017,mu_beta_left_right_balance_abs,best_delta,52,-0.1458302207946268,0.30227790505250846
cho2017,mu_beta_class_sensorimotor_absdiff,original_acc,52,0.015711053367134423,0.9119758067764139
cho2017,mu_beta_class_sensorimotor_absdiff,best_generalization_acc,52,0.11705442913547466,0.4085664873589573
