backbone,gen_method,dataset,n,mean_acc,sd_acc,p10_acc,min_acc,coverage_ge_60_pct,coverage_ge_70_pct
CSPNet,No EA,all,106,67.92,13.11,52.0,46.0,70.8,37.7
Conformer,No EA,all,106,66.49,12.18,53.0,47.5,66.0,32.1
EEGNet,No EA,all,106,67.75,12.54,53.0,48.0,68.9,35.8
CSPNet,EA,all,106,71.56,12.78,54.5,45.0,78.3,52.8
Conformer,EA,all,106,69.54,11.81,55.0,47.5,80.2,44.3
EEGNet,EA,all,106,70.47,12.44,55.0,48.0,82.1,44.3
CSPNet,EA+TENT,all,106,71.99,12.77,55.0,50.0,77.4,54.7
Conformer,EA+TENT,all,106,67.84,12.34,53.0,48.5,69.8,43.4
EEGNet,EA+TENT,all,106,70.57,12.95,54.0,45.0,79.2,47.2
CSPNet,EA+AdaBN,all,106,71.64,13.1,54.0,48.0,77.4,53.8
Conformer,EA+AdaBN,all,106,71.4,12.23,56.5,50.0,84.0,53.8
EEGNet,EA+AdaBN,all,106,70.77,12.92,54.0,44.5,81.1,48.1
CSPNet,EA+Snapshot,all,106,72.09,12.38,56.5,45.5,82.1,55.7
CSPNet,EA+Snapshot,all,106,71.44,12.66,55.5,44.5,79.2,52.8
CSPNet,EA+Snapshot,all,106,71.52,12.61,56.5,44.5,84.0,49.1
Conformer,EA+Snapshot,all,106,70.07,12.39,54.5,49.0,77.4,48.1
EEGNet,EA+Snapshot,all,106,70.08,13.14,53.5,46.5,76.4,47.2
