dataset,subject,backbone,method,acc,reference_acc,reference,delta
cho2017,1,EEGNet,TENT,66.5,70.0,EA,-3.5
cho2017,2,EEGNet,TENT,55.0,52.5,EA,2.5
cho2017,3,EEGNet,TENT,93.0,94.5,EA,-1.5
cho2017,4,EEGNet,TENT,90.0,89.0,EA,1.0
cho2017,5,EEGNet,TENT,66.5,70.5,EA,-4.0
cho2017,6,EEGNet,TENT,63.5,66.0,EA,-2.5
cho2017,7,EEGNet,TENT,61.25,62.0833,EA,-0.8333000000000013
cho2017,8,EEGNet,TENT,56.0,59.0,EA,-3.0
cho2017,9,EEGNet,TENT,72.9167,68.3333,EA,4.583400000000012
cho2017,10,EEGNet,TENT,85.0,84.5,EA,0.5
cho2017,11,EEGNet,TENT,75.5,74.5,EA,1.0
cho2017,12,EEGNet,TENT,69.5,68.0,EA,1.5
cho2017,13,EEGNet,TENT,49.5,48.0,EA,1.5
cho2017,14,EEGNet,TENT,91.5,90.5,EA,1.0
cho2017,15,EEGNet,TENT,84.5,85.0,EA,-0.5
cho2017,16,EEGNet,TENT,61.0,60.0,EA,1.0
cho2017,17,EEGNet,TENT,53.0,54.5,EA,-1.5
cho2017,18,EEGNet,TENT,77.5,77.0,EA,0.5
cho2017,19,EEGNet,TENT,68.0,67.5,EA,0.5
cho2017,20,EEGNet,TENT,63.0,63.5,EA,-0.5
cho2017,21,EEGNet,TENT,75.5,72.0,EA,3.5
cho2017,22,EEGNet,TENT,65.5,67.0,EA,-1.5
cho2017,23,EEGNet,TENT,79.0,80.5,EA,-1.5
cho2017,24,EEGNet,TENT,70.5,70.0,EA,0.5
cho2017,25,EEGNet,TENT,78.0,76.0,EA,2.0
cho2017,26,EEGNet,TENT,75.5,74.5,EA,1.0
cho2017,27,EEGNet,TENT,51.5,54.0,EA,-2.5
cho2017,28,EEGNet,TENT,49.0,50.0,EA,-1.0
cho2017,29,EEGNet,TENT,58.5,60.5,EA,-2.0
cho2017,30,EEGNet,TENT,66.5,65.0,EA,1.5
cho2017,31,EEGNet,TENT,72.5,64.0,EA,8.5
cho2017,32,EEGNet,TENT,54.0,55.5,EA,-1.5
cho2017,33,EEGNet,TENT,72.5,68.5,EA,4.0
cho2017,34,EEGNet,TENT,56.5,59.5,EA,-3.0
cho2017,35,EEGNet,TENT,59.5,60.5,EA,-1.0
cho2017,36,EEGNet,TENT,67.5,69.0,EA,-1.5
cho2017,37,EEGNet,TENT,51.5,49.0,EA,2.5
cho2017,38,EEGNet,TENT,69.0,72.0,EA,-3.0
cho2017,39,EEGNet,TENT,72.5,74.5,EA,-2.0
cho2017,40,EEGNet,TENT,49.5,53.0,EA,-3.5
cho2017,41,EEGNet,TENT,95.0,97.0,EA,-2.0
cho2017,42,EEGNet,TENT,62.5,64.0,EA,-1.5
cho2017,43,EEGNet,TENT,96.5,97.0,EA,-0.5
cho2017,44,EEGNet,TENT,75.5,74.0,EA,1.5
cho2017,45,EEGNet,TENT,70.0,69.5,EA,0.5
cho2017,46,EEGNet,TENT,75.8333,77.0833,EA,-1.25
cho2017,47,EEGNet,TENT,70.0,71.5,EA,-1.5
cho2017,48,EEGNet,TENT,96.0,95.5,EA,0.5
cho2017,49,EEGNet,TENT,62.5,68.0,EA,-5.5
cho2017,50,EEGNet,TENT,69.0,69.5,EA,-0.5
cho2017,51,EEGNet,TENT,62.0,62.5,EA,-0.5
cho2017,52,EEGNet,TENT,76.5,71.0,EA,5.5
lee2019,1,EEGNet,TENT,85.5,86.0,EA,-0.5
lee2019,2,EEGNet,TENT,74.5,73.0,EA,1.5
lee2019,3,EEGNet,TENT,88.5,88.0,EA,0.5
lee2019,4,EEGNet,TENT,57.0,57.5,EA,-0.5
lee2019,5,EEGNet,TENT,91.0,92.0,EA,-1.0
lee2019,6,EEGNet,TENT,69.5,71.5,EA,-2.0
lee2019,7,EEGNet,TENT,66.0,66.0,EA,0.0
lee2019,8,EEGNet,TENT,77.0,81.0,EA,-4.0
lee2019,9,EEGNet,TENT,84.0,85.0,EA,-1.0
lee2019,10,EEGNet,TENT,69.0,68.5,EA,0.5
lee2019,11,EEGNet,TENT,56.5,55.0,EA,1.5
lee2019,12,EEGNet,TENT,68.0,69.5,EA,-1.5
lee2019,13,EEGNet,TENT,62.0,63.0,EA,-1.0
lee2019,14,EEGNet,TENT,78.5,79.5,EA,-1.0
lee2019,15,EEGNet,TENT,53.0,55.0,EA,-2.0
lee2019,16,EEGNet,TENT,65.0,64.0,EA,1.0
lee2019,17,EEGNet,TENT,61.5,64.0,EA,-2.5
lee2019,18,EEGNet,TENT,93.0,91.0,EA,2.0
lee2019,19,EEGNet,TENT,81.5,78.0,EA,3.5
lee2019,20,EEGNet,TENT,74.0,72.5,EA,1.5
lee2019,21,EEGNet,TENT,94.5,87.0,EA,7.5
lee2019,22,EEGNet,TENT,78.0,69.5,EA,8.5
lee2019,23,EEGNet,TENT,71.5,74.0,EA,-2.5
lee2019,24,EEGNet,TENT,57.5,60.5,EA,-3.0
lee2019,25,EEGNet,TENT,59.5,61.0,EA,-1.5
lee2019,26,EEGNet,TENT,63.5,64.0,EA,-0.5
lee2019,27,EEGNet,TENT,53.5,56.0,EA,-2.5
lee2019,28,EEGNet,TENT,87.5,86.5,EA,1.0
lee2019,29,EEGNet,TENT,62.0,62.5,EA,-0.5
lee2019,30,EEGNet,TENT,65.5,66.0,EA,-0.5
lee2019,31,EEGNet,TENT,70.0,63.0,EA,7.0
lee2019,32,EEGNet,TENT,92.5,93.5,EA,-1.0
lee2019,33,EEGNet,TENT,94.5,94.0,EA,0.5
lee2019,34,EEGNet,TENT,45.0,48.5,EA,-3.5
lee2019,35,EEGNet,TENT,55.0,55.0,EA,0.0
lee2019,36,EEGNet,TENT,94.5,94.5,EA,0.0
lee2019,37,EEGNet,TENT,97.5,96.5,EA,1.0
lee2019,38,EEGNet,TENT,66.0,64.5,EA,1.5
lee2019,39,EEGNet,TENT,88.0,87.0,EA,1.0
lee2019,40,EEGNet,TENT,63.0,63.0,EA,0.0
lee2019,41,EEGNet,TENT,52.5,54.5,EA,-2.0
lee2019,42,EEGNet,TENT,72.0,72.5,EA,-0.5
lee2019,43,EEGNet,TENT,64.0,67.0,EA,-3.0
lee2019,44,EEGNet,TENT,90.0,88.0,EA,2.0
lee2019,45,EEGNet,TENT,79.0,79.0,EA,0.0
lee2019,46,EEGNet,TENT,77.0,73.5,EA,3.5
lee2019,47,EEGNet,TENT,76.0,74.0,EA,2.0
lee2019,48,EEGNet,TENT,57.0,58.0,EA,-1.0
lee2019,49,EEGNet,TENT,73.0,67.5,EA,5.5
lee2019,50,EEGNet,TENT,60.0,54.5,EA,5.5
lee2019,51,EEGNet,TENT,64.0,66.0,EA,-2.0
lee2019,52,EEGNet,TENT,66.5,64.0,EA,2.5
lee2019,53,EEGNet,TENT,64.0,66.0,EA,-2.0
lee2019,54,EEGNet,TENT,62.5,62.5,EA,0.0
cho2017,1,CSPNet,TENT,68.0,68.5,EA,-0.5
cho2017,2,CSPNet,TENT,56.0,58.5,EA,-2.5
cho2017,3,CSPNet,TENT,93.5,93.5,EA,0.0
cho2017,4,CSPNet,TENT,90.5,95.0,EA,-4.5
cho2017,5,CSPNet,TENT,74.0,72.0,EA,2.0
cho2017,6,CSPNet,TENT,62.0,67.5,EA,-5.5
cho2017,7,CSPNet,TENT,64.1667,62.5,EA,1.6667000000000058
cho2017,8,CSPNet,TENT,55.5,54.5,EA,1.0
cho2017,9,CSPNet,TENT,72.5,74.5833,EA,-2.083299999999994
cho2017,10,CSPNet,TENT,87.5,86.5,EA,1.0
cho2017,11,CSPNet,TENT,68.0,71.0,EA,-3.0
cho2017,12,CSPNet,TENT,74.5,71.5,EA,3.0
cho2017,13,CSPNet,TENT,52.0,53.0,EA,-1.0
cho2017,14,CSPNet,TENT,96.0,95.0,EA,1.0
cho2017,15,CSPNet,TENT,78.0,80.0,EA,-2.0
cho2017,16,CSPNet,TENT,68.0,63.0,EA,5.0
cho2017,17,CSPNet,TENT,55.0,55.5,EA,-0.5
cho2017,18,CSPNet,TENT,72.0,68.5,EA,3.5
cho2017,19,CSPNet,TENT,72.5,76.0,EA,-3.5
cho2017,20,CSPNet,TENT,67.5,70.5,EA,-3.0
cho2017,21,CSPNet,TENT,85.0,84.5,EA,0.5
cho2017,22,CSPNet,TENT,72.5,74.0,EA,-1.5
cho2017,23,CSPNet,TENT,90.0,89.5,EA,0.5
cho2017,24,CSPNet,TENT,76.0,70.5,EA,5.5
cho2017,25,CSPNet,TENT,79.5,79.5,EA,0.0
cho2017,26,CSPNet,TENT,73.0,72.0,EA,1.0
cho2017,27,CSPNet,TENT,54.0,58.0,EA,-4.0
cho2017,28,CSPNet,TENT,50.5,49.5,EA,1.0
cho2017,29,CSPNet,TENT,59.0,56.0,EA,3.0
cho2017,30,CSPNet,TENT,70.5,63.5,EA,7.0
cho2017,31,CSPNet,TENT,69.5,66.0,EA,3.5
cho2017,32,CSPNet,TENT,52.0,54.0,EA,-2.0
cho2017,33,CSPNet,TENT,69.5,67.5,EA,2.0
cho2017,34,CSPNet,TENT,52.5,52.0,EA,0.5
cho2017,35,CSPNet,TENT,59.0,57.5,EA,1.5
cho2017,36,CSPNet,TENT,69.0,71.5,EA,-2.5
cho2017,37,CSPNet,TENT,54.5,57.0,EA,-2.5
cho2017,38,CSPNet,TENT,68.0,69.5,EA,-1.5
cho2017,39,CSPNet,TENT,79.5,79.5,EA,0.0
cho2017,40,CSPNet,TENT,52.0,54.0,EA,-2.0
cho2017,41,CSPNet,TENT,95.0,96.5,EA,-1.5
cho2017,42,CSPNet,TENT,69.0,67.5,EA,1.5
cho2017,43,CSPNet,TENT,97.5,97.0,EA,0.5
cho2017,44,CSPNet,TENT,81.5,80.0,EA,1.5
cho2017,45,CSPNet,TENT,70.5,68.5,EA,2.0
cho2017,46,CSPNet,TENT,81.6667,81.25,EA,0.41670000000000584
cho2017,47,CSPNet,TENT,76.5,74.0,EA,2.5
cho2017,48,CSPNet,TENT,95.5,95.5,EA,0.0
cho2017,49,CSPNet,TENT,68.0,73.5,EA,-5.5
cho2017,50,CSPNet,TENT,69.5,70.5,EA,-1.0
cho2017,51,CSPNet,TENT,70.0,68.0,EA,2.0
cho2017,52,CSPNet,TENT,78.0,79.5,EA,-1.5
lee2019,1,CSPNet,TENT,88.5,86.5,EA,2.0
lee2019,2,CSPNet,TENT,77.0,80.0,EA,-3.0
lee2019,3,CSPNet,TENT,88.5,84.5,EA,4.0
lee2019,4,CSPNet,TENT,59.0,60.0,EA,-1.0
lee2019,5,CSPNet,TENT,92.0,93.0,EA,-1.0
lee2019,6,CSPNet,TENT,71.5,73.0,EA,-1.5
lee2019,7,CSPNet,TENT,63.0,64.5,EA,-1.5
lee2019,8,CSPNet,TENT,75.5,78.5,EA,-3.0
lee2019,9,CSPNet,TENT,78.5,83.0,EA,-4.5
lee2019,10,CSPNet,TENT,69.5,67.0,EA,2.5
lee2019,11,CSPNet,TENT,58.5,54.5,EA,4.0
lee2019,12,CSPNet,TENT,70.5,67.5,EA,3.0
lee2019,13,CSPNet,TENT,58.5,62.5,EA,-4.0
lee2019,14,CSPNet,TENT,85.0,77.5,EA,7.5
lee2019,15,CSPNet,TENT,63.0,60.0,EA,3.0
lee2019,16,CSPNet,TENT,61.0,58.0,EA,3.0
lee2019,17,CSPNet,TENT,71.0,68.0,EA,3.0
lee2019,18,CSPNet,TENT,86.0,85.0,EA,1.0
lee2019,19,CSPNet,TENT,84.5,84.5,EA,0.0
lee2019,20,CSPNet,TENT,71.0,73.0,EA,-2.0
lee2019,21,CSPNet,TENT,91.5,83.0,EA,8.5
lee2019,22,CSPNet,TENT,77.5,70.0,EA,7.5
lee2019,23,CSPNet,TENT,78.5,76.5,EA,2.0
lee2019,24,CSPNet,TENT,56.5,54.5,EA,2.0
lee2019,25,CSPNet,TENT,63.5,56.0,EA,7.5
lee2019,26,CSPNet,TENT,63.5,63.5,EA,0.0
lee2019,27,CSPNet,TENT,57.5,55.5,EA,2.0
lee2019,28,CSPNet,TENT,91.0,92.0,EA,-1.0
lee2019,29,CSPNet,TENT,63.0,71.5,EA,-8.5
lee2019,30,CSPNet,TENT,74.0,71.0,EA,3.0
lee2019,31,CSPNet,TENT,70.0,67.5,EA,2.5
lee2019,32,CSPNet,TENT,96.5,96.0,EA,0.5
lee2019,33,CSPNet,TENT,97.0,93.5,EA,3.5
lee2019,34,CSPNet,TENT,50.0,45.0,EA,5.0
lee2019,35,CSPNet,TENT,54.5,54.0,EA,0.5
lee2019,36,CSPNet,TENT,95.5,95.0,EA,0.5
lee2019,37,CSPNet,TENT,96.0,96.0,EA,0.0
lee2019,38,CSPNet,TENT,54.5,57.5,EA,-3.0
lee2019,39,CSPNet,TENT,82.5,87.0,EA,-4.5
lee2019,40,CSPNet,TENT,64.0,69.0,EA,-5.0
lee2019,41,CSPNet,TENT,58.0,59.5,EA,-1.5
lee2019,42,CSPNet,TENT,72.0,70.5,EA,1.5
lee2019,43,CSPNet,TENT,75.5,74.5,EA,1.0
lee2019,44,CSPNet,TENT,85.0,87.0,EA,-2.0
lee2019,45,CSPNet,TENT,79.0,77.0,EA,2.0
lee2019,46,CSPNet,TENT,77.0,74.5,EA,2.5
lee2019,47,CSPNet,TENT,77.5,76.5,EA,1.0
lee2019,48,CSPNet,TENT,56.0,58.5,EA,-2.5
lee2019,49,CSPNet,TENT,72.5,68.0,EA,4.5
lee2019,50,CSPNet,TENT,58.0,51.0,EA,7.0
lee2019,51,CSPNet,TENT,66.5,68.5,EA,-2.0
lee2019,52,CSPNet,TENT,68.5,65.5,EA,3.0
lee2019,53,CSPNet,TENT,59.5,64.0,EA,-4.5
lee2019,54,CSPNet,TENT,61.5,61.5,EA,0.0
cho2017,1,Conformer,TENT,66.5,66.5,EA,0.0
cho2017,2,Conformer,TENT,57.0,59.0,EA,-2.0
cho2017,3,Conformer,TENT,82.5,94.0,EA,-11.5
cho2017,4,Conformer,TENT,76.5,88.0,EA,-11.5
cho2017,5,Conformer,TENT,53.0,69.0,EA,-16.0
cho2017,6,Conformer,TENT,61.5,66.5,EA,-5.0
cho2017,7,Conformer,TENT,57.9167,58.3333,EA,-0.4166000000000025
cho2017,8,Conformer,TENT,55.0,64.0,EA,-9.0
cho2017,9,Conformer,TENT,70.8333,71.6667,EA,-0.8334000000000117
cho2017,10,Conformer,TENT,87.0,86.0,EA,1.0
cho2017,11,Conformer,TENT,63.0,71.5,EA,-8.5
cho2017,12,Conformer,TENT,72.0,73.0,EA,-1.0
cho2017,13,Conformer,TENT,51.0,55.0,EA,-4.0
cho2017,14,Conformer,TENT,90.0,91.5,EA,-1.5
cho2017,15,Conformer,TENT,76.5,73.5,EA,3.0
cho2017,16,Conformer,TENT,61.5,62.5,EA,-1.0
cho2017,17,Conformer,TENT,51.0,54.0,EA,-3.0
cho2017,18,Conformer,TENT,64.5,65.0,EA,-0.5
