method_final,backbone,dataset,n,mean_acc,sd_acc,median_acc,p10_acc,q1_acc,min_acc,coverage_ge_60_pct,coverage_ge_70_pct
Original,EEGNet,all,106,67.75,12.54,64.5,53.0,58.5,48.0,68.9,35.8
Original,EEGNet,cho2017,52,65.93,12.38,63.5,52.5,57.0,48.0,65.4,28.8
Original,EEGNet,lee2019,54,69.5,12.56,67.5,53.5,59.5,50.5,72.2,42.6
Original,CSPNet,all,106,67.92,13.11,66.0,52.0,58.0,46.0,70.8,37.7
Original,CSPNet,cho2017,52,65.77,12.11,63.5,52.0,56.5,48.5,67.3,28.8
Original,CSPNet,lee2019,54,69.99,13.8,66.5,53.5,59.0,46.0,74.1,46.3
Original,Conformer,all,106,66.49,12.18,64.0,53.0,57.0,47.5,66.0,32.1
Original,Conformer,cho2017,52,63.92,11.56,61.5,51.0,56.0,47.5,55.8,23.1
Original,Conformer,lee2019,54,68.95,12.37,66.5,54.5,60.5,50.0,75.9,40.7
EA,EEGNet,all,106,70.47,12.44,68.5,55.0,62.5,48.0,82.1,44.3
EA,EEGNet,cho2017,52,69.55,12.28,68.5,54.0,60.5,48.0,80.8,44.2
EA,EEGNet,lee2019,54,71.36,12.63,67.5,55.0,63.0,48.5,83.3,44.4
EA,CSPNet,all,106,71.56,12.78,70.5,54.5,62.5,45.0,78.3,52.8
EA,CSPNet,cho2017,52,71.43,12.79,70.5,54.5,62.5,49.5,76.9,53.8
EA,CSPNet,lee2019,54,71.69,12.89,70.0,55.5,61.5,45.0,79.6,51.9
EA,Conformer,all,106,69.54,11.81,67.5,55.0,62.0,47.5,80.2,44.3
EA,Conformer,cho2017,52,69.37,11.65,67.5,55.0,62.0,47.5,80.8,42.3
EA,Conformer,lee2019,54,69.69,12.07,67.5,55.0,62.0,49.5,79.6,46.3
TENT,EEGNet,all,106,70.57,12.95,69.0,54.0,62.0,45.0,79.2,47.2
TENT,EEGNet,cho2017,52,69.39,12.59,69.0,53.0,61.0,49.0,76.9,46.2
TENT,EEGNet,lee2019,54,71.69,13.3,69.0,56.5,62.0,45.0,81.5,48.1
TENT,CSPNet,all,106,71.99,12.77,70.5,55.0,62.0,50.0,77.4,54.7
TENT,CSPNet,cho2017,52,71.45,12.82,70.0,54.0,62.0,50.5,76.9,51.9
TENT,CSPNet,lee2019,54,72.51,12.83,71.0,57.5,61.5,50.0,77.8,57.4
TENT,Conformer,all,106,67.84,12.34,65.0,53.0,57.0,48.5,69.8,43.4
TENT,Conformer,cho2017,52,66.88,12.0,64.5,52.0,57.0,48.5,65.4,40.4
TENT,Conformer,lee2019,54,68.77,12.71,65.0,53.0,59.0,50.5,74.1,46.3
AdaBN,EEGNet,all,106,70.77,12.92,69.5,54.0,61.0,44.5,81.1,48.1
AdaBN,EEGNet,cho2017,52,69.89,12.74,69.0,54.0,60.5,44.5,78.8,46.2
AdaBN,EEGNet,lee2019,54,71.62,13.16,69.5,54.5,61.0,46.0,83.3,50.0
AdaBN,CSPNet,all,106,71.64,13.1,70.5,54.0,61.0,48.0,77.4,53.8
AdaBN,CSPNet,cho2017,52,71.04,12.7,71.0,53.5,58.5,48.0,75.0,57.7
AdaBN,CSPNet,lee2019,54,72.22,13.56,69.5,56.0,61.0,48.0,79.6,50.0
AdaBN,Conformer,all,106,71.4,12.23,70.5,56.5,62.0,50.0,84.0,53.8
AdaBN,Conformer,cho2017,52,70.46,12.05,70.0,53.0,61.5,50.0,84.6,51.9
AdaBN,Conformer,lee2019,54,72.3,12.45,70.5,57.0,62.0,52.0,83.3,55.6
Snapshot,EEGNet,all,106,70.08,13.14,68.5,53.5,60.0,46.5,76.4,47.2
Snapshot,EEGNet,cho2017,52,69.08,12.99,68.0,53.0,60.0,47.5,76.9,42.3
Snapshot,EEGNet,lee2019,54,71.05,13.33,70.5,55.0,60.0,46.5,75.9,51.9
Snapshot,CSPNet,all,106,72.09,12.38,71.5,56.5,63.0,45.5,82.1,55.7
Snapshot,CSPNet,cho2017,52,70.63,12.26,70.0,55.0,62.5,45.5,76.9,53.8
Snapshot,CSPNet,lee2019,54,73.5,12.44,72.5,58.5,63.0,50.0,87.0,57.4
Snapshot,Conformer,all,106,70.07,12.39,68.5,54.5,60.0,49.0,77.4,48.1
Snapshot,Conformer,cho2017,52,69.34,12.26,68.0,55.0,60.5,49.0,78.8,46.2
Snapshot,Conformer,lee2019,54,70.77,12.58,69.5,54.5,60.0,51.0,75.9,50.0
