dataset,subject,backbone,method,acc
cho2017,1,EEGNet,Original,65.0
cho2017,2,EEGNet,Original,54.0
cho2017,3,EEGNet,Original,89.5
cho2017,4,EEGNet,Original,90.0
cho2017,5,EEGNet,Original,63.0
cho2017,6,EEGNet,Original,57.0
cho2017,7,EEGNet,Original,62.0833
cho2017,8,EEGNet,Original,58.5
cho2017,9,EEGNet,Original,74.1667
cho2017,10,EEGNet,Original,86.0
cho2017,11,EEGNet,Original,63.5
cho2017,12,EEGNet,Original,61.0
cho2017,13,EEGNet,Original,48.0
cho2017,14,EEGNet,Original,84.5
cho2017,15,EEGNet,Original,67.0
cho2017,16,EEGNet,Original,59.0
cho2017,17,EEGNet,Original,49.5
cho2017,18,EEGNet,Original,68.5
cho2017,19,EEGNet,Original,64.5
cho2017,20,EEGNet,Original,56.5
cho2017,21,EEGNet,Original,63.5
cho2017,22,EEGNet,Original,72.5
cho2017,23,EEGNet,Original,80.0
cho2017,24,EEGNet,Original,75.0
cho2017,25,EEGNet,Original,74.5
cho2017,26,EEGNet,Original,72.5
cho2017,27,EEGNet,Original,49.0
cho2017,28,EEGNet,Original,54.5
cho2017,29,EEGNet,Original,64.5
cho2017,30,EEGNet,Original,59.5
cho2017,31,EEGNet,Original,66.5
cho2017,32,EEGNet,Original,52.5
cho2017,33,EEGNet,Original,63.0
cho2017,34,EEGNet,Original,49.0
cho2017,35,EEGNet,Original,56.0
cho2017,36,EEGNet,Original,67.5
cho2017,37,EEGNet,Original,50.0
cho2017,38,EEGNet,Original,64.0
cho2017,39,EEGNet,Original,53.0
cho2017,40,EEGNet,Original,52.5
cho2017,41,EEGNet,Original,94.0
cho2017,42,EEGNet,Original,72.0
cho2017,43,EEGNet,Original,97.0
cho2017,44,EEGNet,Original,67.0
cho2017,45,EEGNet,Original,58.5
cho2017,46,EEGNet,Original,72.9167
cho2017,47,EEGNet,Original,66.5
cho2017,48,EEGNet,Original,92.5
cho2017,49,EEGNet,Original,63.0
cho2017,50,EEGNet,Original,57.0
cho2017,51,EEGNet,Original,63.0
cho2017,52,EEGNet,Original,64.0
lee2019,1,EEGNet,Original,85.5
lee2019,2,EEGNet,Original,69.5
lee2019,3,EEGNet,Original,84.5
lee2019,4,EEGNet,Original,59.5
lee2019,5,EEGNet,Original,89.5
lee2019,6,EEGNet,Original,67.5
lee2019,7,EEGNet,Original,62.5
lee2019,8,EEGNet,Original,76.5
lee2019,9,EEGNet,Original,81.5
lee2019,10,EEGNet,Original,58.0
lee2019,11,EEGNet,Original,57.0
lee2019,12,EEGNet,Original,72.0
lee2019,13,EEGNet,Original,54.5
lee2019,14,EEGNet,Original,77.0
lee2019,15,EEGNet,Original,53.5
lee2019,16,EEGNet,Original,58.5
lee2019,17,EEGNet,Original,60.0
lee2019,18,EEGNet,Original,85.0
lee2019,19,EEGNet,Original,68.0
lee2019,20,EEGNet,Original,67.5
lee2019,21,EEGNet,Original,88.5
lee2019,22,EEGNet,Original,70.0
lee2019,23,EEGNet,Original,79.5
lee2019,24,EEGNet,Original,59.5
lee2019,25,EEGNet,Original,58.0
lee2019,26,EEGNet,Original,62.5
lee2019,27,EEGNet,Original,51.5
lee2019,28,EEGNet,Original,86.0
lee2019,29,EEGNet,Original,73.0
lee2019,30,EEGNet,Original,71.0
lee2019,31,EEGNet,Original,62.5
lee2019,32,EEGNet,Original,94.0
