dataset,subject,backbone,method,acc,reference_acc,reference,delta
cho2017,1,EEGNet,EA,70.0,65.0,Original,5.0
cho2017,2,EEGNet,EA,52.5,54.0,Original,-1.5
cho2017,3,EEGNet,EA,94.5,89.5,Original,5.0
cho2017,4,EEGNet,EA,89.0,90.0,Original,-1.0
cho2017,5,EEGNet,EA,70.5,63.0,Original,7.5
cho2017,6,EEGNet,EA,66.0,57.0,Original,9.0
cho2017,7,EEGNet,EA,62.0833,62.0833,Original,0.0
cho2017,8,EEGNet,EA,59.0,58.5,Original,0.5
cho2017,9,EEGNet,EA,68.3333,74.1667,Original,-5.833400000000012
cho2017,10,EEGNet,EA,84.5,86.0,Original,-1.5
cho2017,11,EEGNet,EA,74.5,63.5,Original,11.0
cho2017,12,EEGNet,EA,68.0,61.0,Original,7.0
cho2017,13,EEGNet,EA,48.0,48.0,Original,0.0
cho2017,14,EEGNet,EA,90.5,84.5,Original,6.0
cho2017,15,EEGNet,EA,85.0,67.0,Original,18.0
cho2017,16,EEGNet,EA,60.0,59.0,Original,1.0
cho2017,17,EEGNet,EA,54.5,49.5,Original,5.0
cho2017,18,EEGNet,EA,77.0,68.5,Original,8.5
cho2017,19,EEGNet,EA,67.5,64.5,Original,3.0
cho2017,20,EEGNet,EA,63.5,56.5,Original,7.0
cho2017,21,EEGNet,EA,72.0,63.5,Original,8.5
cho2017,22,EEGNet,EA,67.0,72.5,Original,-5.5
cho2017,23,EEGNet,EA,80.5,80.0,Original,0.5
cho2017,24,EEGNet,EA,70.0,75.0,Original,-5.0
cho2017,25,EEGNet,EA,76.0,74.5,Original,1.5
cho2017,26,EEGNet,EA,74.5,72.5,Original,2.0
cho2017,27,EEGNet,EA,54.0,49.0,Original,5.0
cho2017,28,EEGNet,EA,50.0,54.5,Original,-4.5
cho2017,29,EEGNet,EA,60.5,64.5,Original,-4.0
cho2017,30,EEGNet,EA,65.0,59.5,Original,5.5
cho2017,31,EEGNet,EA,64.0,66.5,Original,-2.5
cho2017,32,EEGNet,EA,55.5,52.5,Original,3.0
cho2017,33,EEGNet,EA,68.5,63.0,Original,5.5
cho2017,34,EEGNet,EA,59.5,49.0,Original,10.5
cho2017,35,EEGNet,EA,60.5,56.0,Original,4.5
cho2017,36,EEGNet,EA,69.0,67.5,Original,1.5
cho2017,37,EEGNet,EA,49.0,50.0,Original,-1.0
cho2017,38,EEGNet,EA,72.0,64.0,Original,8.0
cho2017,39,EEGNet,EA,74.5,53.0,Original,21.5
cho2017,40,EEGNet,EA,53.0,52.5,Original,0.5
cho2017,41,EEGNet,EA,97.0,94.0,Original,3.0
cho2017,42,EEGNet,EA,64.0,72.0,Original,-8.0
cho2017,43,EEGNet,EA,97.0,97.0,Original,0.0
cho2017,44,EEGNet,EA,74.0,67.0,Original,7.0
cho2017,45,EEGNet,EA,69.5,58.5,Original,11.0
cho2017,46,EEGNet,EA,77.0833,72.9167,Original,4.166599999999988
cho2017,47,EEGNet,EA,71.5,66.5,Original,5.0
cho2017,48,EEGNet,EA,95.5,92.5,Original,3.0
cho2017,49,EEGNet,EA,68.0,63.0,Original,5.0
cho2017,50,EEGNet,EA,69.5,57.0,Original,12.5
cho2017,51,EEGNet,EA,62.5,63.0,Original,-0.5
cho2017,52,EEGNet,EA,71.0,64.0,Original,7.0
lee2019,1,EEGNet,EA,86.0,85.5,Original,0.5
lee2019,2,EEGNet,EA,73.0,69.5,Original,3.5
lee2019,3,EEGNet,EA,88.0,84.5,Original,3.5
lee2019,4,EEGNet,EA,57.5,59.5,Original,-2.0
lee2019,5,EEGNet,EA,92.0,89.5,Original,2.5
lee2019,6,EEGNet,EA,71.5,67.5,Original,4.0
lee2019,7,EEGNet,EA,66.0,62.5,Original,3.5
lee2019,8,EEGNet,EA,81.0,76.5,Original,4.5
lee2019,9,EEGNet,EA,85.0,81.5,Original,3.5
lee2019,10,EEGNet,EA,68.5,58.0,Original,10.5
lee2019,11,EEGNet,EA,55.0,57.0,Original,-2.0
lee2019,12,EEGNet,EA,69.5,72.0,Original,-2.5
lee2019,13,EEGNet,EA,63.0,54.5,Original,8.5
lee2019,14,EEGNet,EA,79.5,77.0,Original,2.5
lee2019,15,EEGNet,EA,55.0,53.5,Original,1.5
lee2019,16,EEGNet,EA,64.0,58.5,Original,5.5
lee2019,17,EEGNet,EA,64.0,60.0,Original,4.0
lee2019,18,EEGNet,EA,91.0,85.0,Original,6.0
lee2019,19,EEGNet,EA,78.0,68.0,Original,10.0
lee2019,20,EEGNet,EA,72.5,67.5,Original,5.0
lee2019,21,EEGNet,EA,87.0,88.5,Original,-1.5
lee2019,22,EEGNet,EA,69.5,70.0,Original,-0.5
lee2019,23,EEGNet,EA,74.0,79.5,Original,-5.5
lee2019,24,EEGNet,EA,60.5,59.5,Original,1.0
lee2019,25,EEGNet,EA,61.0,58.0,Original,3.0
lee2019,26,EEGNet,EA,64.0,62.5,Original,1.5
lee2019,27,EEGNet,EA,56.0,51.5,Original,4.5
lee2019,28,EEGNet,EA,86.5,86.0,Original,0.5
lee2019,29,EEGNet,EA,62.5,73.0,Original,-10.5
lee2019,30,EEGNet,EA,66.0,71.0,Original,-5.0
lee2019,31,EEGNet,EA,63.0,62.5,Original,0.5
lee2019,32,EEGNet,EA,93.5,94.0,Original,-0.5
lee2019,33,EEGNet,EA,94.0,93.0,Original,1.0
lee2019,34,EEGNet,EA,48.5,51.0,Original,-2.5
lee2019,35,EEGNet,EA,55.0,55.0,Original,0.0
lee2019,36,EEGNet,EA,94.5,88.5,Original,6.0
lee2019,37,EEGNet,EA,96.5,96.0,Original,0.5
lee2019,38,EEGNet,EA,64.5,64.5,Original,0.0
lee2019,39,EEGNet,EA,87.0,82.5,Original,4.5
lee2019,40,EEGNet,EA,63.0,63.0,Original,0.0
lee2019,41,EEGNet,EA,54.5,53.5,Original,1.0
lee2019,42,EEGNet,EA,72.5,68.5,Original,4.0
lee2019,43,EEGNet,EA,67.0,68.0,Original,-1.0
lee2019,44,EEGNet,EA,88.0,85.0,Original,3.0
lee2019,45,EEGNet,EA,79.0,79.0,Original,0.0
lee2019,46,EEGNet,EA,73.5,70.0,Original,3.5
lee2019,47,EEGNet,EA,74.0,63.0,Original,11.0
lee2019,48,EEGNet,EA,58.0,53.0,Original,5.0
lee2019,49,EEGNet,EA,67.5,71.0,Original,-3.5
lee2019,50,EEGNet,EA,54.5,50.5,Original,4.0
lee2019,51,EEGNet,EA,66.0,62.0,Original,4.0
lee2019,52,EEGNet,EA,64.0,67.5,Original,-3.5
lee2019,53,EEGNet,EA,66.0,65.5,Original,0.5
lee2019,54,EEGNet,EA,62.5,59.5,Original,3.0
cho2017,1,CSPNet,EA,68.5,67.5,Original,1.0
cho2017,2,CSPNet,EA,58.5,53.5,Original,5.0
cho2017,3,CSPNet,EA,93.5,90.5,Original,3.0
cho2017,4,CSPNet,EA,95.0,84.0,Original,11.0
cho2017,5,CSPNet,EA,72.0,61.0,Original,11.0
cho2017,6,CSPNet,EA,67.5,61.0,Original,6.5
cho2017,7,CSPNet,EA,62.5,64.1667,Original,-1.6667000000000058
cho2017,8,CSPNet,EA,54.5,55.5,Original,-1.0
cho2017,9,CSPNet,EA,74.5833,69.5833,Original,5.0
cho2017,10,CSPNet,EA,86.5,80.0,Original,6.5
cho2017,11,CSPNet,EA,71.0,60.5,Original,10.5
cho2017,12,CSPNet,EA,71.5,55.0,Original,16.5
cho2017,13,CSPNet,EA,53.0,55.5,Original,-2.5
