"setting","direction","stage","acc","delta_vs_baseline","delta_vs_previous","note"
"classical_raw_unified","Cho->Lee","CSP-LDA baseline","55.15","0","0","No cross-dataset alignment"
"classical_raw_unified","Cho->Lee","DatasetEA+SubjectEA+CSP-LDA","68.96","13.81","13.81","Dataset/subject alignment impact"
"classical_raw_unified","Cho->Lee","SessionEA+CSP-LDA","70.74","15.59","1.78","Session-level alignment on top of aligned baseline"
"classical_raw_unified","Lee->Cho","CSP-LDA baseline","52.76","0","0","No cross-dataset alignment"
"classical_raw_unified","Lee->Cho","DatasetEA+SubjectEA+CSP-LDA","65.1","12.34","12.34","Dataset/subject alignment impact"
"classical_raw_unified","Lee->Cho","SessionEA+CSP-LDA","65.14","12.38","0.04","Session-level alignment on top of aligned baseline"
"sfreq100_deep_sourceweight","Cho->Lee","DSA+SEA+SourceWeight+CSPNet","71.93","0","0","SourceWeight baseline before SessionEA"
"sfreq100_deep_sourceweight","Cho->Lee","DSA+SEA+SessionEA+SourceWeight+CSPNet","73.24","1.31","1.31","SessionEA added to best source-weighted CSPNet"
"sfreq100_deep_sourceweight","Lee->Cho","DSA+SEA+SourceWeight+CSPNet","69.12","0","0","SourceWeight baseline before SessionEA"
"sfreq100_deep_sourceweight","Lee->Cho","DSA+SEA+SessionEA+SourceWeight+CSPNet","69.21","0.09","0.09","SessionEA added to best source-weighted CSPNet"
