dataset,subject,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
cho2017,1,66.33333333333333,68.33333333333333,66.16666666666667,65.16666666666667,67.0,True,False,2.166666666666657,False,0.8333333333333286,False,0.1666666666666572,False,-1.0,False,True,0,68.33333333333333,EA,2.166666666666657
cho2017,2,57.666666666666664,56.666666666666664,54.833333333333336,60.333333333333336,56.0,True,False,1.8333333333333286,False,1.1666666666666643,False,2.8333333333333286,False,5.5,False,True,0,60.333333333333336,Snapshot,5.5
cho2017,3,92.16666666666667,94.0,89.33333333333333,91.5,89.66666666666667,False,True,4.666666666666671,True,0.3333333333333428,True,2.833333333333343,True,2.1666666666666714,True,False,4,94.0,EA,4.666666666666671
cho2017,4,89.0,90.66666666666667,82.83333333333333,92.33333333333333,85.66666666666667,False,True,7.833333333333343,True,2.833333333333343,True,6.166666666666671,True,9.5,True,False,4,92.33333333333333,Snapshot,9.5
cho2017,5,68.16666666666667,70.5,60.0,69.66666666666667,64.5,True,True,10.5,False,4.5,False,8.166666666666671,False,9.666666666666671,True,False,1,70.5,EA,10.5
cho2017,6,62.5,66.66666666666667,59.0,62.833333333333336,62.333333333333336,True,False,7.666666666666671,False,3.3333333333333357,False,3.5,False,3.8333333333333357,False,True,0,66.66666666666667,EA,7.666666666666671
cho2017,7,61.51666666666667,60.97220000000001,62.916666666666664,59.73333333333333,61.111133333333335,True,False,-1.9444666666666564,False,-1.8055333333333294,False,-1.3999999999999915,False,-3.183333333333337,False,True,0,61.51666666666667,AdaBN,-1.3999999999999915
cho2017,8,57.5,59.166666666666664,57.333333333333336,56.833333333333336,55.5,True,False,1.8333333333333286,False,-1.8333333333333357,False,0.1666666666666643,False,-0.5,False,True,0,59.166666666666664,EA,1.8333333333333286
cho2017,9,71.81666666666666,71.52776666666666,70.55556666666666,69.57223333333333,72.08333333333333,False,True,0.9722000000000008,True,1.5277666666666647,True,1.261099999999999,False,-0.9833333333333343,True,False,3,72.08333333333333,TENT,1.5277666666666647
cho2017,10,85.83333333333333,85.66666666666667,77.16666666666667,84.33333333333333,86.5,False,True,8.5,True,9.333333333333329,True,8.666666666666657,True,7.166666666666657,True,False,4,86.5,TENT,9.333333333333329
cho2017,11,69.5,72.33333333333333,61.833333333333336,69.5,68.83333333333333,True,True,10.499999999999993,False,6.999999999999993,False,7.666666666666664,False,7.666666666666664,True,False,1,72.33333333333333,EA,10.499999999999993
cho2017,12,72.33333333333333,70.83333333333333,57.666666666666664,73.16666666666667,72.0,True,True,13.166666666666664,True,14.333333333333336,True,14.666666666666664,True,15.500000000000007,True,False,4,73.16666666666667,Snapshot,15.500000000000007
cho2017,13,54.833333333333336,52.0,52.333333333333336,53.666666666666664,50.833333333333336,True,False,-0.3333333333333357,False,-1.5,False,2.5,False,1.3333333333333286,False,True,0,54.833333333333336,AdaBN,2.5
cho2017,14,91.66666666666667,92.33333333333333,88.83333333333333,90.5,92.5,False,True,3.5,True,3.6666666666666714,True,2.833333333333343,True,1.6666666666666714,True,False,4,92.5,TENT,3.6666666666666714
cho2017,15,82.16666666666667,79.5,64.83333333333333,78.16666666666667,79.66666666666667,True,True,14.666666666666671,True,14.833333333333343,True,17.333333333333343,True,13.333333333333343,True,False,4,82.16666666666667,AdaBN,17.333333333333343
cho2017,16,63.833333333333336,61.833333333333336,59.833333333333336,61.833333333333336,63.5,True,False,2.0,False,3.6666666666666643,False,4.0,False,2.0,False,True,0,63.833333333333336,AdaBN,4.0
