dataset,subject,Original,EA,TENT,AdaBN,Snapshot,best_adaptive_acc,best_adaptive_method,best_delta
cho2017,17,48.83,54.67,53.0,54.17,53.67,54.67,EA,5.83
lee2019,34,49.17,49.5,50.0,50.33,49.17,50.33,AdaBN,1.17
cho2017,27,49.83,56.0,54.33,55.0,57.5,57.5,Snapshot,7.67
cho2017,40,50.67,54.0,51.17,52.33,53.83,54.0,EA,3.33
cho2017,34,51.0,55.0,54.5,52.33,52.0,55.0,EA,4.0
cho2017,37,51.17,51.17,52.0,50.33,49.33,52.0,TENT,0.83
cho2017,28,51.67,49.33,49.33,49.67,47.5,49.67,AdaBN,-2.0
lee2019,35,51.83,52.83,53.33,53.0,57.0,57.0,Snapshot,5.17
lee2019,48,52.0,57.33,56.33,56.5,57.5,57.5,Snapshot,5.5
cho2017,13,52.33,52.0,50.83,54.83,53.67,54.83,AdaBN,2.5
lee2019,50,52.5,53.33,57.0,55.17,54.67,57.0,TENT,4.5
lee2019,15,52.83,56.17,56.5,60.17,56.17,60.17,AdaBN,7.33
lee2019,27,53.67,54.17,53.83,53.17,57.67,57.67,Snapshot,4.0
cho2017,32,54.17,54.5,52.0,52.67,54.0,54.5,EA,0.33
lee2019,41,54.83,58.17,55.83,58.17,57.67,58.17,EA,3.33
cho2017,2,54.83,56.67,56.0,57.67,60.33,60.33,Snapshot,5.5
lee2019,24,55.0,57.83,57.0,57.17,56.5,57.83,EA,2.83
cho2017,35,56.17,60.5,58.5,56.83,60.17,60.5,EA,4.33
lee2019,13,56.17,62.83,61.83,63.17,59.17,63.17,AdaBN,7.0
lee2019,11,56.5,53.17,55.5,53.17,56.67,56.67,Snapshot,0.17
cho2017,20,56.5,66.5,64.83,68.67,67.83,68.67,AdaBN,12.17
cho2017,8,57.33,59.17,55.5,57.5,56.83,59.17,EA,1.83
lee2019,54,57.33,63.0,62.33,64.33,61.17,64.33,AdaBN,7.0
lee2019,4,59.0,57.5,55.83,59.5,56.83,59.5,AdaBN,0.5
cho2017,6,59.0,66.67,62.33,62.5,62.83,66.67,EA,7.67
cho2017,16,59.83,61.83,63.5,63.83,61.83,63.83,AdaBN,4.0
cho2017,38,59.83,67.83,65.17,69.33,62.0,69.33,AdaBN,9.5
lee2019,25,60.0,60.17,61.17,59.17,60.5,61.17,TENT,1.17
lee2019,51,60.0,64.33,64.33,64.5,64.5,64.5,AdaBN,4.5
cho2017,50,60.17,66.67,65.17,69.0,65.17,69.0,AdaBN,8.83
lee2019,16,60.5,61.5,61.0,60.0,61.33,61.5,EA,1.0
cho2017,29,61.17,60.67,58.17,58.83,56.33,60.67,EA,-0.5
lee2019,7,61.17,64.5,64.67,64.83,62.67,64.83,AdaBN,3.67
cho2017,30,61.17,63.33,65.5,66.67,65.5,66.67,AdaBN,5.5
cho2017,51,61.83,66.0,65.5,67.33,64.83,67.33,AdaBN,5.5
lee2019,38,62.17,59.83,60.17,60.0,61.5,61.5,Snapshot,-0.67
lee2019,10,62.33,68.33,69.83,69.83,68.67,69.83,TENT,7.5
lee2019,40,62.83,64.67,60.0,62.33,62.0,64.67,EA,1.83
cho2017,7,62.92,60.97,61.11,61.52,59.73,61.52,AdaBN,-1.4
lee2019,26,63.0,64.67,61.17,62.0,63.83,64.67,EA,1.67
cho2017,45,63.17,68.0,65.67,67.0,64.83,68.0,EA,4.83
lee2019,53,64.67,64.33,62.83,63.67,63.0,64.33,EA,-0.33
lee2019,31,64.67,66.83,67.83,68.5,68.5,68.5,AdaBN,3.83
cho2017,1,66.17,68.33,67.0,66.33,65.17,68.33,EA,2.17
cho2017,42,69.17,66.0,67.5,67.83,67.83,67.83,AdaBN,-1.33
