dataset,subject,Original,EA,TENT,AdaBN,Snapshot,best_adaptive_acc,best_adaptive_method,best_delta,n_methods_pass70
cho2017,39,51.33,75.17,70.83,76.33,75.33,76.33,AdaBN,25.0,4
cho2017,15,64.83,79.5,79.67,82.17,78.17,82.17,AdaBN,17.33,4
cho2017,12,57.67,70.83,72.0,72.33,73.17,73.17,Snapshot,15.5,4
cho2017,21,67.83,78.67,78.67,81.67,83.17,83.17,Snapshot,15.33,4
lee2019,47,63.5,74.33,75.33,75.0,75.67,75.67,Snapshot,12.17,4
lee2019,22,65.33,67.67,75.33,76.5,72.5,76.5,AdaBN,11.17,3
cho2017,19,60.0,71.0,69.17,70.5,70.17,71.0,EA,11.0,3
cho2017,5,60.0,70.5,64.5,68.17,69.67,70.5,EA,10.5,1
cho2017,11,61.83,72.33,68.83,69.5,69.5,72.33,EA,10.5,1
cho2017,52,66.17,76.5,74.0,75.83,73.5,76.5,EA,10.33,4
cho2017,31,62.5,66.5,71.33,70.33,71.67,71.67,Snapshot,9.17,3
lee2019,49,66.33,67.67,72.0,74.67,68.83,74.67,AdaBN,8.33,2
cho2017,18,64.67,70.17,71.33,72.67,70.0,72.67,AdaBN,8.0,4
cho2017,33,62.83,67.83,70.33,66.33,65.0,70.33,TENT,7.5,1
cho2017,47,67.5,72.83,73.5,74.67,72.0,74.67,AdaBN,7.17,4
lee2019,17,63.83,67.33,65.5,69.0,71.0,71.0,Snapshot,7.17,1
cho2017,49,64.5,68.33,68.0,71.5,70.5,71.5,AdaBN,7.0,2
lee2019,52,65.17,63.83,65.83,69.5,72.17,72.17,Snapshot,7.0,1
cho2017,26,68.83,70.0,70.33,74.67,69.33,74.67,AdaBN,5.83,3
lee2019,42,67.83,70.17,72.0,70.67,68.33,72.0,TENT,4.17,3
lee2019,30,68.67,65.67,66.83,71.33,70.33,71.33,AdaBN,2.67,2
cho2017,36,68.83,71.17,70.5,70.5,67.17,71.17,EA,2.33,3
lee2019,12,69.0,69.5,70.0,68.0,70.0,70.0,TENT,1.0,2
