"group","baseline","candidate","dataset","n","mean_delta","median_delta","p10_delta","min_delta","max_delta","wins","ties","losses","win_rate_pct","ntr_pct"
"NoEA_to_EA","eegnet_noea","ea_eegnet","all","106","2.72","3","-3.5","-10.5","21.5","74","7","25","69.8","23.6"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","52","3.62","3","-4","-8","21.5","37","3","12","71.2","23.1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","54","1.86","1.5","-2.5","-10.5","11","37","4","13","68.5","24.1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","all","106","3.64","3","-3","-5.5","29","74","4","28","69.8","26.4"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","52","5.66","5","-1.67","-5.5","29","42","1","9","80.8","17.3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","54","1.69","1.5","-3.5","-4.5","12","32","3","19","59.3","35.2"
"NoEA_to_EA","conformer_noea","ea_conformer","all","106","3.05","1.5","-3.5","-11","33","66","5","35","62.3","33"
"NoEA_to_EA","conformer_noea","ea_conformer","cho2017","52","5.45","4","-2.5","-7","33","38","2","12","73.1","23.1"
"NoEA_to_EA","conformer_noea","ea_conformer","lee2019","54","0.74","0.5","-4","-11","15.5","28","3","23","51.9","42.6"
"EA_to_TTA","ea_eegnet","ea_tent_eegnet","all","106","0.09","-0.5","-3","-5.5","8.5","45","6","55","42.5","51.9"
"EA_to_TTA","ea_eegnet","ea_tent_eegnet","cho2017","52","-0.15","-0.5","-3","-5.5","8.5","23","0","29","44.2","55.8"
"EA_to_TTA","ea_eegnet","ea_tent_eegnet","lee2019","54","0.33","0","-2.5","-4","8.5","22","6","26","40.7","48.1"
"EA_to_TTA","ea_eegnet","ea_adabn_eegnet","all","106","0.3","0","-4.5","-11.5","11","50","9","47","47.2","44.3"
"EA_to_TTA","ea_eegnet","ea_adabn_eegnet","cho2017","52","0.34","0.5","-5","-7.5","11","27","4","21","51.9","40.4"
"EA_to_TTA","ea_eegnet","ea_adabn_eegnet","lee2019","54","0.26","0","-4","-11.5","8","23","5","26","42.6","48.1"
"EA_to_Snapshot","ea_eegnet","ea_snapshot_eegnet","all","106","-0.39","-1","-6","-11.5","11","40","6","60","37.7","56.6"
"EA_to_Snapshot","ea_eegnet","ea_snapshot_eegnet","cho2017","52","-0.47","-1.5","-6.5","-11.5","11","19","3","30","36.5","57.7"
"EA_to_Snapshot","ea_eegnet","ea_snapshot_eegnet","lee2019","54","-0.31","-1","-4.5","-6.5","9","21","3","30","38.9","55.6"
"EA_to_TTA","ea_cspnet","ea_tent_cspnet","all","106","0.43","0.5","-3.5","-8.5","8.5","57","8","41","53.8","38.7"
"EA_to_TTA","ea_cspnet","ea_tent_cspnet","cho2017","52","0.02","0","-3","-5.5","7","26","4","22","50","42.3"
"EA_to_TTA","ea_cspnet","ea_tent_cspnet","lee2019","54","0.82","1","-4","-8.5","8.5","31","4","19","57.4","35.2"
"EA_to_TTA","ea_cspnet","ea_adabn_cspnet","all","106","0.08","-0.5","-3.5","-9","11","47","6","53","44.3","50"
"EA_to_TTA","ea_cspnet","ea_adabn_cspnet","cho2017","52","-0.38","-1","-3.5","-9","8.5","19","0","33","36.5","63.5"
"EA_to_TTA","ea_cspnet","ea_adabn_cspnet","lee2019","54","0.54","0.5","-3","-8","11","28","6","20","51.9","37"
"EA_to_Snapshot","ea_cspnet","ea_snapshot_adabn_cspnet","all","106","0.53","0.5","-3.5","-9","12","56","5","45","52.8","42.5"
"EA_to_Snapshot","ea_cspnet","ea_snapshot_adabn_cspnet","cho2017","52","-0.8","-1","-4","-9","12","18","2","32","34.6","61.5"
"EA_to_Snapshot","ea_cspnet","ea_snapshot_adabn_cspnet","lee2019","54","1.81","2","-2.5","-6","11.5","38","3","13","70.4","24.1"
"EA_to_Contrastive","ea_cspnet","ea_supcon_cspnet","all","106","-0.21","0","-3.5","-8","7.5","43","11","52","40.6","49.1"
"EA_to_Contrastive","ea_cspnet","ea_supcon_cspnet","cho2017","52","-0.2","-0.5","-3","-8","7.5","20","3","29","38.5","55.8"
"EA_to_Contrastive","ea_cspnet","ea_supcon_cspnet","lee2019","54","-0.22","0","-4","-8","5","23","8","23","42.6","42.6"
"EA_to_Contrastive_TTA","ea_cspnet","ea_supcon_adabn_cspnet","all","106","0.52","0.42","-3","-9.5","10.5","54","5","47","50.9","44.3"
"EA_to_Contrastive_TTA","ea_cspnet","ea_supcon_adabn_cspnet","cho2017","52","0.38","0","-3","-5","10.5","24","3","25","46.2","48.1"
"EA_to_Contrastive_TTA","ea_cspnet","ea_supcon_adabn_cspnet","lee2019","54","0.65","0.5","-3","-9.5","9.5","30","2","22","55.6","40.7"
"EA_to_Contrastive_Align","ea_cspnet","ea_supcon_coral_cspnet","all","106","-0.22","0","-3.5","-8","6","46","8","52","43.4","49.1"
"EA_to_Contrastive_Align","ea_cspnet","ea_supcon_coral_cspnet","cho2017","52","0","0","-2.5","-5","5.5","22","5","25","42.3","48.1"
