"group","baseline","candidate","dataset","subject","baseline_acc","candidate_acc","delta"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","1","65","70","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","2","54","52.5","-1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","3","89.5","94.5","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","4","90","89","-1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","5","63","70.5","7.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","6","57","66","9"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","7","62.0833","62.0833","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","8","58.5","59","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","9","74.1667","68.3333","-5.83"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","10","86","84.5","-1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","11","63.5","74.5","11"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","12","61","68","7"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","13","48","48","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","14","84.5","90.5","6"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","15","67","85","18"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","16","59","60","1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","17","49.5","54.5","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","18","68.5","77","8.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","19","64.5","67.5","3"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","20","56.5","63.5","7"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","21","63.5","72","8.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","22","72.5","67","-5.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","23","80","80.5","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","24","75","70","-5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","25","74.5","76","1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","26","72.5","74.5","2"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","27","49","54","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","28","54.5","50","-4.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","29","64.5","60.5","-4"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","30","59.5","65","5.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","31","66.5","64","-2.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","32","52.5","55.5","3"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","33","63","68.5","5.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","34","49","59.5","10.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","35","56","60.5","4.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","36","67.5","69","1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","37","50","49","-1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","38","64","72","8"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","39","53","74.5","21.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","40","52.5","53","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","41","94","97","3"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","42","72","64","-8"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","43","97","97","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","44","67","74","7"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","45","58.5","69.5","11"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","46","72.9167","77.0833","4.17"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","47","66.5","71.5","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","48","92.5","95.5","3"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","49","63","68","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","50","57","69.5","12.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","51","63","62.5","-0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","52","64","71","7"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","1","85.5","86","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","2","69.5","73","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","3","84.5","88","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","4","59.5","57.5","-2"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","5","89.5","92","2.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","6","67.5","71.5","4"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","7","62.5","66","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","8","76.5","81","4.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","9","81.5","85","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","10","58","68.5","10.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","11","57","55","-2"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","12","72","69.5","-2.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","13","54.5","63","8.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","14","77","79.5","2.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","15","53.5","55","1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","16","58.5","64","5.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","17","60","64","4"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","18","85","91","6"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","19","68","78","10"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","20","67.5","72.5","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","21","88.5","87","-1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","22","70","69.5","-0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","23","79.5","74","-5.5"
