"method","backbone","gen_method","dataset","n","mean_acc","sd_acc","median_acc","p10_acc","q1_acc","q3_acc","iqr_acc","min_acc","max_acc","coverage_ge_60_pct","coverage_ge_70_pct"
"conformer_noea","Conformer","No EA","all","106","66.49","12.18","64","53","57","74.5","17.5","47.5","98","66","32.1"
"conformer_noea","Conformer","No EA","cho2017","52","63.92","11.56","61.5","51","56","67.92","11.92","47.5","98","55.8","23.1"
"conformer_noea","Conformer","No EA","lee2019","54","68.95","12.37","66.5","54.5","60.5","77.5","17","50","97.5","75.9","40.7"
"csp_lda","CSP-LDA","Baseline","all","106","61.74","11.22","59","50","53","68","15","45","94.5","45.3","20.8"
"csp_lda","CSP-LDA","Baseline","cho2017","52","60.66","11.34","58.33","49.5","52.08","68","15.92","46","94.5","42.3","17.3"
"csp_lda","CSP-LDA","Baseline","lee2019","54","62.78","11.11","59.5","50.5","55","69","14","45","91.5","48.1","24.1"
"cspnet_noea","CSPNet","No EA","all","106","67.92","13.11","66","52","58","77","19","46","96.5","70.8","37.7"
"cspnet_noea","CSPNet","No EA","cho2017","52","65.77","12.11","63.5","52","56.5","72.5","16","48.5","96.5","67.3","28.8"
"cspnet_noea","CSPNet","No EA","lee2019","54","69.99","13.8","66.5","53.5","59","81.5","22.5","46","96.5","74.1","46.3"
"dann_cspnet","CSPNet","DANN","all","106","67.94","12.87","65","52","58.5","77","18.5","47","96.5","67","37.7"
"dann_cspnet","CSPNet","DANN","cho2017","52","65","11.79","62","51.5","57","69.5","12.5","47","96.5","57.7","25"
"dann_cspnet","CSPNet","DANN","lee2019","54","70.78","13.33","69.5","53.5","60","80.5","20.5","47","96.5","75.9","50"
"ea_adabn_conformer","Conformer","EA+AdaBN","all","106","71.4","12.23","70.5","56.5","62","81","19","50","97.5","84","53.8"
"ea_adabn_conformer","Conformer","EA+AdaBN","cho2017","52","70.46","12.05","70","53","61.5","76.5","15","50","97.5","84.6","51.9"
"ea_adabn_conformer","Conformer","EA+AdaBN","lee2019","54","72.3","12.45","70.5","57","62","81","19","52","97","83.3","55.6"
"ea_adabn_cspnet","CSPNet","EA+AdaBN","all","106","71.64","13.1","70.5","54","61","81.5","20.5","48","97","77.4","53.8"
"ea_adabn_cspnet","CSPNet","EA+AdaBN","cho2017","52","71.04","12.7","71","53.5","58.5","79.5","21","48","96","75","57.7"
"ea_adabn_cspnet","CSPNet","EA+AdaBN","lee2019","54","72.22","13.56","69.5","56","61","82","21","48","97","79.6","50"
"ea_adabn_eegnet","EEGNet","EA+AdaBN","all","106","70.77","12.92","69.5","54","61","79","18","44.5","96.5","81.1","48.1"
"ea_adabn_eegnet","EEGNet","EA+AdaBN","cho2017","52","69.89","12.74","69","54","60.5","74.5","14","44.5","96","78.8","46.2"
"ea_adabn_eegnet","EEGNet","EA+AdaBN","lee2019","54","71.62","13.16","69.5","54.5","61","81","20","46","96.5","83.3","50"
"ea_conformer","Conformer","EA","all","106","69.54","11.81","67.5","55","62","76","14","47.5","97.5","80.2","44.3"
"ea_conformer","Conformer","EA","cho2017","52","69.37","11.65","67.5","55","62","73.5","11.5","47.5","97.5","80.8","42.3"
"ea_conformer","Conformer","EA","lee2019","54","69.69","12.07","67.5","55","62","77.5","15.5","49.5","96","79.6","46.3"
