train_dataset,test_dataset,subject,baseline_acc,baseline_bac,baseline_file,candidate_acc,candidate_bac,candidate_file,comparison,delta,common_n_channels,source_dataset_mean_dist,source_dataset_min_dist,source_dataset_knn3_dist,source_dataset_knn5_dist,source_dataset_knn10_dist,source_dataset_sim_weight
cho2017,lee2019,1,53.5,53.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,51.5,51.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-2.0,48,0.2360319963758656,0.048335288473528755,0.06641562139482719,0.07327459030285907,0.08467745697054758,41.951082909839435
cho2017,lee2019,2,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.5,50.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-0.5,48,0.23619238909903462,0.048475403147266685,0.06657643032675581,0.07343168352749906,0.08483369878323252,41.944361637131095
cho2017,lee2019,3,71.0,71.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,64.0,64.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-7.0,48,0.23605552032917768,0.04835383011684928,0.06644314728484375,0.07329801114245467,0.08470024065731371,41.950112626461284
cho2017,lee2019,4,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.5,50.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,0.5,48,0.23621021637227516,0.048491507409858185,0.06659451352356716,0.07344939480584382,0.08485146247949141,41.943612021054776
cho2017,lee2019,5,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,53.0,53.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-1.0,48,0.23618691692243893,0.0484696602160504,0.06657100398527575,0.07342629286617305,0.08482833493793128,41.944594038643245
cho2017,lee2019,6,49.5,49.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,53.0,53.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,3.5,48,0.23612270378918174,0.04841082129750286,0.06650691393141275,0.07336275673742586,0.08476552247622915,41.94728723003744
cho2017,lee2019,7,60.0,60.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,51.5,51.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-8.5,48,0.2360965079598149,0.04839331696792007,0.06648207799481916,0.07333685202254717,0.08474046286216627,41.94839196180971
cho2017,lee2019,8,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,54.5,54.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,2.0,48,0.23593819205843447,0.0482549982911164,0.06632220837587359,0.07318260035344151,0.08458574547892425,41.95500066034246
cho2017,lee2019,9,52.0,52.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,51.5,51.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-0.5,48,0.23618381834194183,0.048467974212219204,0.06656734625107963,0.07342325214394531,0.08482528044451285,41.94471977993776
cho2017,lee2019,10,57.5,57.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,52.5,52.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-5.0,48,0.2358880991777861,0.04822006708349149,0.06627340847021392,0.07313450635917992,0.08453925661160319,41.95711745226574
cho2017,lee2019,11,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.0,50.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-0.5,48,0.2361777316218302,0.048465479444790634,0.06656266260156879,0.07341833808053512,0.08482030916760078,41.94496917938698
cho2017,lee2019,12,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,49.5,49.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-4.5,48,0.2361201538315324,0.048415543556743906,0.06650507249294559,0.07336126286315028,0.08476387373857824,41.947387556807406
cho2017,lee2019,13,48.5,48.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,49.0,49.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,0.5,48,0.23589855842217589,0.04822871372291142,0.06628404961174449,0.07314178227004113,0.08454841058629213,41.9566975685193
