comparison,train_dataset,test_dataset,feature,n,rho,p
CrossCSP_to_DatasetEA_SubjectEA,cho2017,lee2019,baseline_acc,54,0.19543214192348723,0.15671078523224913
CrossCSP_to_DatasetEA_SubjectEA,cho2017,lee2019,source_dataset_mean_dist,54,0.02886834153905201,0.8358400335850641
CrossCSP_to_DatasetEA_SubjectEA,cho2017,lee2019,source_dataset_min_dist,54,0.04320717432463135,0.7563919810380586
CrossCSP_to_DatasetEA_SubjectEA,cho2017,lee2019,source_dataset_knn3_dist,54,0.021813330726998353,0.8755897046301112
CrossCSP_to_DatasetEA_SubjectEA,cho2017,lee2019,source_dataset_knn5_dist,54,0.027152257828011932,0.8454753954995355
CrossCSP_to_DatasetEA_SubjectEA,cho2017,lee2019,source_dataset_knn10_dist,54,0.02555057969770786,0.8544887191645214
CrossCSP_to_DatasetEA_SubjectEA,cho2017,lee2019,source_dataset_sim_weight,54,-0.026198877988545224,0.850838180433956
CrossCSP_to_DatasetEA_SubjectEA,lee2019,cho2017,baseline_acc,52,0.2056509893013157,0.14357532523050362
CrossCSP_to_DatasetEA_SubjectEA,lee2019,cho2017,source_dataset_mean_dist,52,0.5009183704722873,0.00015543731103095424
CrossCSP_to_DatasetEA_SubjectEA,lee2019,cho2017,source_dataset_min_dist,52,0.5009183704722873,0.00015543731103095424
CrossCSP_to_DatasetEA_SubjectEA,lee2019,cho2017,source_dataset_knn3_dist,52,0.5009183704722873,0.00015543731103095424
CrossCSP_to_DatasetEA_SubjectEA,lee2019,cho2017,source_dataset_knn5_dist,52,0.5009183704722873,0.00015543731103095424
CrossCSP_to_DatasetEA_SubjectEA,lee2019,cho2017,source_dataset_knn10_dist,52,0.5009183704722873,0.00015543731103095424
CrossCSP_to_DatasetEA_SubjectEA,lee2019,cho2017,source_dataset_sim_weight,52,-0.5009183704722873,0.00015543731103095424
CrossCSP_to_SubjectEA,cho2017,lee2019,baseline_acc,54,-0.6880154698911167,9.01479270385356e-09
CrossCSP_to_SubjectEA,cho2017,lee2019,source_dataset_mean_dist,54,0.1813254582489049,0.1894545537265545
CrossCSP_to_SubjectEA,cho2017,lee2019,source_dataset_min_dist,54,0.15755133619350462,0.25520643480695937
CrossCSP_to_SubjectEA,cho2017,lee2019,source_dataset_knn3_dist,54,0.16672463087726036,0.22821926485003716
CrossCSP_to_SubjectEA,cho2017,lee2019,source_dataset_knn5_dist,54,0.16649529851016645,0.22886889908797264
CrossCSP_to_SubjectEA,cho2017,lee2019,source_dataset_knn10_dist,54,0.16920906485411086,0.2212632212276821
CrossCSP_to_SubjectEA,cho2017,lee2019,source_dataset_sim_weight,54,-0.1772356977023971,0.19980257948862976
CrossCSP_to_SubjectEA,lee2019,cho2017,baseline_acc,52,0.11166117315994795,0.4306407291564973
CrossCSP_to_SubjectEA,lee2019,cho2017,source_dataset_mean_dist,52,0.3152746408982323,0.022809265666277587
CrossCSP_to_SubjectEA,lee2019,cho2017,source_dataset_min_dist,52,0.3152746408982323,0.022809265666277587
CrossCSP_to_SubjectEA,lee2019,cho2017,source_dataset_knn3_dist,52,0.3152746408982323,0.022809265666277587
CrossCSP_to_SubjectEA,lee2019,cho2017,source_dataset_knn5_dist,52,0.3152746408982323,0.022809265666277587
CrossCSP_to_SubjectEA,lee2019,cho2017,source_dataset_knn10_dist,52,0.3152746408982323,0.022809265666277587
CrossCSP_to_SubjectEA,lee2019,cho2017,source_dataset_sim_weight,52,-0.3152746408982323,0.022809265666277587
