group,baseline,candidate,dataset,feature,n,rho,p
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,baseline_acc,52,-0.19036470216678736,0.17644955801995751
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,cov_condition_num,52,-0.044496067798705255,0.7541127974495767
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,source_pool_mean_dist,52,-0.21691297728627731,0.12243996149949334
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,source_pool_min_dist,52,-0.1366144911240325,0.3341787853327012
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,source_pool_knn3_dist,52,-0.134473198159706,0.3418816868674167
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,source_pool_knn5_dist,52,-0.12530846427238845,0.37607990458255536
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,source_pool_knn10_dist,52,-0.12488020567952313,0.3777264123180356
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,source_pool_sim_weight,52,0.21755536517557528,0.12130965708598418
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,lee2019,baseline_acc,54,-0.06906999634877573,0.6196998200831532
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,lee2019,cov_condition_num,54,0.022253770533259446,0.8730981637582478
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,lee2019,source_pool_mean_dist,54,-0.003632488317284617,0.9792025359804223
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,lee2019,source_pool_min_dist,54,-0.042022154323113625,0.7628759873345954
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,lee2019,source_pool_knn3_dist,54,-0.046916454371665535,0.7362053772371432
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,lee2019,source_pool_knn5_dist,54,-0.04741353172034659,0.7335132339083941
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,lee2019,source_pool_knn10_dist,54,-0.07264976634569234,0.6016261343178182
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,lee2019,source_pool_sim_weight,54,0.003632488317284617,0.9792025359804223
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,cho2017,baseline_acc,52,-0.20308181511022536,0.14875586720981995
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,cho2017,cov_condition_num,52,-0.03845833575076437,0.7866328707389034
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,cho2017,source_pool_mean_dist,52,-0.21278282761323913,0.12989852948767577
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,cho2017,source_pool_min_dist,52,-0.15314887874052996,0.2783931941748155
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,cho2017,source_pool_knn3_dist,52,-0.15836791874230224,0.26214297540071296
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,cho2017,source_pool_knn5_dist,52,-0.1479298387387577,0.29529448059820507
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,cho2017,source_pool_knn10_dist,52,-0.1376628748008451,0.3304473126610492
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,cho2017,source_pool_sim_weight,52,0.20379923416756557,0.14729552290072523
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,lee2019,baseline_acc,54,-0.2179817242163087,0.11331705384978807
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,lee2019,cov_condition_num,54,-0.19829371863300857,0.15061094159099261
EA_to_Contrastive_Align,ea_cspnet,ea_supcon_coral_cspnet,lee2019,source_pool_mean_dist,54,-0.12086983311361284,0.38395985114541153
