method,Cho->Lee,Lee->Cho,avg_acc
SessionEA+Feature-CORAL+MMD-resample+CSP-LDA,70.287,65.657,67.97200000000001
SessionEA+CSP-LDA,70.741,65.135,67.938
SessionEA+Feature-CORAL+CSP-LDA,70.204,65.663,67.9335
SessionEA+MMD-resample+CSP-LDA,70.676,65.16,67.918
Feature-CORAL+CSP-LDA,69.611,65.49,67.5505
SourceSelect-k30+CSP-LDA,69.574,65.138,67.356
RawUnified+DatasetEA+SubjectEA+CSP-LDA,68.963,65.101,67.032
raw+unified,68.963,65.1,67.0315
MMD-resample+CSP-LDA,69.0,65.002,67.001
SourceSelect-k20+CSP-LDA,69.407,64.561,66.98400000000001
ZscoreBeforeEA+DatasetEA+SubjectEA+CSP-LDA,68.815,65.056,66.93549999999999
SourceSelect-k40+CSP-LDA,69.0,64.825,66.9125
WeightedDatasetEA+SubjectEA+CSP-LDA,68.574,64.978,66.776
DatasetEA+Zscore+SubjectEA+CSP-LDA,68.102,64.95,66.52600000000001
SourceSelect-k10+CSP-LDA,68.287,64.391,66.339
StdMI+DatasetEA+SubjectEA+CSP-LDA,68.102,63.948,66.025
FrequencySpecificEA+CSP-LDA,67.185,62.157,64.67099999999999
RiemannianDatasetEA+SubjectEA+CSP-LDA,64.25,58.891,61.570499999999996
psd+DatasetEA+SubjectEA+adabn+con+AdaBN_eval,62.287,60.529,61.408
DatasetEA+SubjectEA+cspnet,62.352,60.188,61.269999999999996
DatasetEA+SubjectEA+adabn+con+AdaBN_eval,62.694,59.796,61.245000000000005
StdMI+DatasetEA+SubjectEA+SourceWeightTau0.1+cspnet,62.889,59.373,61.131
psd+DatasetEA+SubjectEA+adabn+con,62.019,60.079,61.049
DatasetEA+SubjectEA+adabn+con,62.352,59.715,61.033500000000004
psd+DatasetEA+SubjectEA+tent+TENT_eval,62.287,59.513,60.9
psd+DatasetEA+SubjectEA+cspnet,62.019,59.61,60.814499999999995
StdMI+DatasetEA+SubjectEA+PseudoLabel0.80+cspnet,60.954,60.537,60.7455
EA+PSDNorm+cspnet,62.324,59.123,60.7235
StdMI+DatasetEA+SubjectEA+cspnet,62.139,59.198,60.6685
psd+DatasetEA+SubjectEA+tent,62.019,58.144,60.0815
StdMI+DatasetEA+SubjectEA+DSBN+con,62.602,57.431,60.01649999999999
StdMI+DatasetEA+SubjectEA+DSBN+cspnet,62.602,57.408,60.004999999999995
SubjectEA+DatasetEA+cspnet,60.806,58.523,59.664500000000004
StdMI+DatasetEA+SubjectEA+SourceWeightTau0.5+cspnet,60.824,58.404,59.614000000000004
StdMI+DatasetEA+SubjectEA+SourceWeightTau1.0+cspnet,60.954,58.213,59.5835
StdMI+DatasetEA+SubjectEA+adabn+con+PseudoLabel0.85,61.852,56.912,59.382
StdMI+DatasetEA+SubjectEA+adabn+con+PseudoLabel0.85+AdaBN_eval,62.083,56.5,59.2915
StdMI+DatasetEA+SubjectEA+PseudoLabel0.85+cspnet,61.852,56.323,59.0875
EA+AdaBN+Con+AdaBN_eval,59.796,57.187,58.4915
EA+TENT+TENT_eval,59.796,56.09,57.943
GaussianOT+SubjectEA+CSP-LDA,54.713,60.7,57.706500000000005
PhysioNetPivot+CSP-LDA,55.028,58.79,56.909
GaussianOT+CSP-LDA,54.852,58.614,56.733
StdMI+DatasetEA+SubjectEA+PseudoLabel0.90+cspnet,61.528,51.487,56.5075
StdMI+EA+CSP-LDA,52.87,59.233,56.0515
EA+AdaBN+Con,53.685,54.256,53.9705
StdMI+CSP-LDA,55.148,52.756,53.952
EA+TENT,53.685,53.094,53.3895
EA+CSPNet,53.685,52.6,53.1425
CSPNet baseline,50.019,52.698,51.3585
contrastive,50.019,52.698,51.3585
cspnet,50.019,52.698,51.3585
