source_file,method_id,eval_type,train_dataset,test_dataset,model,n_subjects,mean_acc,mean_precision_macro,mean_f1_macro,mean_bac,mean_kappa
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,adabn,cho2017,lee2019,cspnetcontrastive,54,62.0833,,,62.0833,0.2417
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,base,cho2017,lee2019,csp_lda,54,55.1481,,,55.1481,0.103
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,base,cho2017,lee2019,cspnetcontrastive,54,61.8519,,,61.8519,0.237
loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,base,cho2017,lee2019,csp_lda,54,68.1019,,,68.1019,0.362
loso_results_20260604_cross_stdmi_datasetea_ea_dsbn_con_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,base,cho2017,lee2019,cspnetcontrastive,54,62.6019,,,62.6019,0.252
loso_results_20260604_cross_stdmi_datasetea_ea_pseudo080_cspnet_cross_cho2017_to_lee2019_cspnet.csv,20260604,base,cho2017,lee2019,cspnet,54,60.9537,,,60.9537,0.2191
loso_results_20260604_cross_stdmi_datasetea_ea_pseudo085_cspnet_cross_cho2017_to_lee2019_cspnet.csv,20260604,base,cho2017,lee2019,cspnet,54,61.8519,,,61.8519,0.237
loso_results_20260604_cross_stdmi_datasetea_ea_pseudo090_cspnet_cross_cho2017_to_lee2019_cspnet.csv,20260604,base,cho2017,lee2019,cspnet,54,61.5278,,,61.5278,0.2306
loso_results_20260604_cross_stdmi_datasetea_ea_weight_tau01_cspnet_cross_cho2017_to_lee2019_cspnet.csv,20260604,base,cho2017,lee2019,cspnet,54,62.8889,,,62.8889,0.2578
loso_results_20260604_cross_stdmi_datasetea_ea_weight_tau05_cspnet_cross_cho2017_to_lee2019_cspnet.csv,20260604,base,cho2017,lee2019,cspnet,54,60.8241,,,60.8241,0.2165
loso_results_20260604_cross_stdmi_datasetea_ea_weight_tau10_cspnet_cross_cho2017_to_lee2019_cspnet.csv,20260604,base,cho2017,lee2019,cspnet,54,60.9537,,,60.9537,0.2191
loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,base,cho2017,lee2019,csp_lda,54,52.8704,,,52.8704,0.0574
