source_file,method_id,train_dataset,test_dataset,model,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,1,200,53.5,,,53.5,0.07,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,2,200,51.0,,,51.0,0.02,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,3,200,71.0,,,71.0,0.42,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,4,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,5,200,54.0,,,54.0,0.08,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,6,200,49.5,,,49.5,-0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,7,200,60.0,,,60.0,0.2,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,8,200,52.5,,,52.5,0.05,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,9,200,52.0,,,52.0,0.04,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,10,200,57.5,,,57.5,0.15,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,11,200,50.5,,,50.5,0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,12,200,54.0,,,54.0,0.08,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,13,200,48.5,,,48.5,-0.03,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,14,200,58.0,,,58.0,0.16,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,15,200,53.0,,,53.0,0.06,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,16,200,52.5,,,52.5,0.05,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,17,200,57.0,,,57.0,0.14,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,18,200,57.5,,,57.5,0.15,,,,,,,,,,,,
