train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,conformer,1,200,78.0,78.0,0.56,,,,,,,82.0,82.0,0.64,83.0,83.0,0.66
cho2017,lee2019,conformer,2,200,66.5,66.5,0.33,,,,,,,69.5,69.5,0.39,69.5,69.5,0.39
cho2017,lee2019,conformer,3,200,88.0,88.0,0.76,,,,,,,92.0,92.0,0.84,92.0,92.0,0.84
cho2017,lee2019,conformer,4,200,62.0,62.0,0.24,,,,,,,54.5,54.5,0.09,60.0,60.0,0.2
cho2017,lee2019,conformer,5,200,88.0,88.0,0.76,,,,,,,86.5,86.5,0.73,88.5,88.5,0.77
cho2017,lee2019,conformer,6,200,77.5,77.5,0.55,,,,,,,70.0,70.0,0.4,69.5,69.5,0.39
cho2017,lee2019,conformer,7,200,69.0,69.0,0.38,,,,,,,68.0,68.0,0.36,65.5,65.5,0.31
cho2017,lee2019,conformer,8,200,77.5,77.5,0.55,,,,,,,79.5,79.5,0.59,75.0,75.0,0.5
cho2017,lee2019,conformer,9,200,84.5,84.5,0.69,,,,,,,79.0,79.0,0.58,77.5,77.5,0.55
cho2017,lee2019,conformer,10,200,62.5,62.5,0.25,,,,,,,62.5,62.5,0.25,59.5,59.5,0.19
cho2017,lee2019,conformer,11,200,59.0,59.0,0.18,,,,,,,58.0,58.0,0.16,58.5,58.5,0.17
cho2017,lee2019,conformer,12,200,66.5,66.5,0.33,,,,,,,62.5,62.5,0.25,63.5,63.5,0.27
cho2017,lee2019,conformer,13,200,60.5,60.5,0.21,,,,,,,59.5,59.5,0.19,59.0,59.0,0.18
cho2017,lee2019,conformer,14,200,69.0,69.0,0.38,,,,,,,68.5,68.5,0.37,69.0,69.0,0.38
cho2017,lee2019,conformer,15,200,55.0,55.0,0.1,,,,,,,52.5,52.5,0.05,54.0,54.0,0.08
cho2017,lee2019,conformer,16,200,62.5,62.5,0.25,,,,,,,65.0,65.0,0.3,66.0,66.0,0.32
cho2017,lee2019,conformer,17,200,75.5,75.5,0.51,,,,,,,75.5,75.5,0.51,73.5,73.5,0.47
cho2017,lee2019,conformer,18,200,93.0,93.0,0.86,,,,,,,92.5,92.5,0.85,92.0,92.0,0.84
cho2017,lee2019,conformer,19,200,81.0,81.0,0.62,,,,,,,75.5,75.5,0.51,74.0,74.0,0.48
cho2017,lee2019,conformer,20,200,74.5,74.5,0.49,,,,,,,74.0,74.0,0.48,72.5,72.5,0.45
cho2017,lee2019,conformer,21,200,93.5,93.5,0.87,,,,,,,94.5,94.5,0.89,92.5,92.5,0.85
cho2017,lee2019,conformer,22,200,71.0,71.0,0.42,,,,,,,72.0,72.0,0.44,73.5,73.5,0.47
cho2017,lee2019,conformer,23,200,78.5,78.5,0.57,,,,,,,76.0,76.0,0.52,79.0,79.0,0.58
cho2017,lee2019,conformer,24,200,55.5,55.5,0.11,,,,,,,61.0,61.0,0.22,59.0,59.0,0.18
cho2017,lee2019,conformer,25,200,58.5,58.5,0.17,,,,,,,63.0,63.0,0.26,63.0,63.0,0.26
cho2017,lee2019,conformer,26,200,62.0,62.0,0.24,,,,,,,59.0,59.0,0.18,62.0,62.0,0.24
