train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,conformer,1,200,62.5,62.5,0.25,,,,,,,67.5,67.5,0.35,65.0,65.0,0.3
lee2019,cho2017,conformer,2,200,58.0,58.0,0.16,,,,,,,53.5,53.5,0.07,55.0,55.0,0.1
lee2019,cho2017,conformer,3,200,90.5,90.5,0.81,,,,,,,88.5,88.5,0.77,87.0,87.0,0.74
lee2019,cho2017,conformer,4,200,92.0,92.0,0.84,,,,,,,90.5,90.5,0.81,89.5,89.5,0.79
lee2019,cho2017,conformer,5,200,65.5,65.5,0.31,,,,,,,66.5,66.5,0.33,66.0,66.0,0.32
lee2019,cho2017,conformer,6,200,58.0,58.0,0.16,,,,,,,55.5,55.5,0.11,55.5,55.5,0.11
lee2019,cho2017,conformer,7,240,59.6,59.6,0.192,,,,,,,58.8,58.7,0.175,58.3,58.3,0.167
lee2019,cho2017,conformer,8,200,55.0,55.0,0.1,,,,,,,54.5,54.5,0.09,55.0,55.0,0.1
lee2019,cho2017,conformer,9,240,69.2,69.2,0.383,,,,,,,67.5,67.5,0.35,67.1,67.1,0.342
lee2019,cho2017,conformer,10,200,83.5,83.5,0.67,,,,,,,82.0,82.0,0.64,81.5,81.5,0.63
lee2019,cho2017,conformer,11,200,71.5,71.5,0.43,,,,,,,66.5,66.5,0.33,65.5,65.5,0.31
lee2019,cho2017,conformer,12,200,73.0,73.0,0.46,,,,,,,70.5,70.5,0.41,72.5,72.5,0.45
lee2019,cho2017,conformer,13,200,53.5,53.5,0.07,,,,,,,57.5,57.5,0.15,56.5,56.5,0.13
lee2019,cho2017,conformer,14,200,92.5,92.5,0.85,,,,,,,91.5,91.5,0.83,90.0,90.0,0.8
lee2019,cho2017,conformer,15,200,74.0,74.0,0.48,,,,,,,74.0,74.0,0.48,72.5,72.5,0.45
lee2019,cho2017,conformer,16,200,64.5,64.5,0.29,,,,,,,62.5,62.5,0.25,62.5,62.5,0.25
lee2019,cho2017,conformer,17,200,53.5,53.5,0.07,,,,,,,54.0,54.0,0.08,52.5,52.5,0.05
lee2019,cho2017,conformer,18,200,63.5,63.5,0.27,,,,,,,62.5,62.5,0.25,61.5,61.5,0.23
lee2019,cho2017,conformer,19,200,65.5,65.5,0.31,,,,,,,64.5,64.5,0.29,69.5,69.5,0.39
lee2019,cho2017,conformer,20,200,72.0,72.0,0.44,,,,,,,67.5,67.5,0.35,71.5,71.5,0.43
lee2019,cho2017,conformer,21,200,79.0,79.0,0.58,,,,,,,81.0,81.0,0.62,80.0,80.0,0.6
lee2019,cho2017,conformer,22,200,69.0,69.0,0.38,,,,,,,65.0,65.0,0.3,67.5,67.5,0.35
lee2019,cho2017,conformer,23,200,85.0,85.0,0.7,,,,,,,85.0,85.0,0.7,85.0,85.0,0.7
lee2019,cho2017,conformer,24,200,73.0,73.0,0.46,,,,,,,69.0,69.0,0.38,69.5,69.5,0.39
lee2019,cho2017,conformer,25,200,79.0,79.0,0.58,,,,,,,74.0,74.0,0.48,73.5,73.5,0.47
lee2019,cho2017,conformer,26,200,63.0,63.0,0.26,,,,,,,67.5,67.5,0.35,66.0,66.0,0.32
lee2019,cho2017,conformer,27,200,63.0,63.0,0.26,,,,,,,58.5,58.5,0.17,56.0,56.0,0.12
lee2019,cho2017,conformer,28,200,56.0,56.0,0.12,,,,,,,50.5,50.5,0.01,51.5,51.5,0.03
lee2019,cho2017,conformer,29,200,54.5,54.5,0.09,,,,,,,51.0,51.0,0.02,52.0,52.0,0.04
lee2019,cho2017,conformer,30,200,72.5,72.5,0.45,,,,,,,71.5,71.5,0.43,69.5,69.5,0.39
lee2019,cho2017,conformer,31,200,72.0,72.0,0.44,,,,,,,70.0,70.0,0.4,70.5,70.5,0.41
lee2019,cho2017,conformer,32,200,43.0,43.0,-0.14,,,,,,,44.5,44.5,-0.11,43.5,43.5,-0.13
lee2019,cho2017,conformer,33,200,62.5,62.5,0.25,,,,,,,58.0,58.0,0.16,59.5,59.5,0.19
lee2019,cho2017,conformer,34,200,46.5,46.5,-0.07,,,,,,,53.5,53.5,0.07,53.0,53.0,0.06
lee2019,cho2017,conformer,35,200,58.5,58.5,0.17,,,,,,,56.5,56.5,0.13,57.0,57.0,0.14
lee2019,cho2017,conformer,36,200,74.0,74.0,0.48,,,,,,,68.5,68.5,0.37,68.0,68.0,0.36
lee2019,cho2017,conformer,37,200,53.0,53.0,0.06,,,,,,,53.5,53.5,0.07,52.0,52.0,0.04
lee2019,cho2017,conformer,38,200,65.5,65.5,0.31,,,,,,,63.5,63.5,0.27,62.5,62.5,0.25
lee2019,cho2017,conformer,39,200,81.5,81.5,0.63,,,,,,,75.0,75.0,0.5,76.5,76.5,0.53
lee2019,cho2017,conformer,40,200,50.0,50.0,0.0,,,,,,,52.5,52.5,0.05,52.0,52.0,0.04
lee2019,cho2017,conformer,41,200,93.0,93.0,0.86,,,,,,,91.5,91.5,0.83,92.0,92.0,0.84
lee2019,cho2017,conformer,42,200,68.0,68.0,0.36,,,,,,,68.0,68.0,0.36,69.0,69.0,0.38
lee2019,cho2017,conformer,43,200,97.5,97.5,0.95,,,,,,,97.0,97.0,0.94,97.0,97.0,0.94
lee2019,cho2017,conformer,44,200,74.0,74.0,0.48,,,,,,,70.5,70.5,0.41,72.0,72.0,0.44
lee2019,cho2017,conformer,45,200,66.0,66.0,0.32,,,,,,,64.5,64.5,0.29,63.0,63.0,0.26
lee2019,cho2017,conformer,46,240,73.8,73.8,0.475,,,,,,,73.3,73.3,0.467,72.5,72.5,0.45
lee2019,cho2017,conformer,47,200,61.5,61.5,0.23,,,,,,,63.0,63.0,0.26,63.0,63.0,0.26
