train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,cspnet,1,100,85.0,85.0,0.7,,,,,,,84.0,84.0,0.68,85.0,85.0,0.7
cho2017,lee2019,cspnet,2,100,75.0,75.0,0.5,,,,,,,80.0,80.0,0.6,80.0,80.0,0.6
cho2017,lee2019,cspnet,3,100,95.0,95.0,0.9,,,,,,,95.0,95.0,0.9,93.0,93.0,0.86
cho2017,lee2019,cspnet,4,100,64.0,64.0,0.28,,,,,,,61.0,61.0,0.22,62.0,62.0,0.24
cho2017,lee2019,cspnet,5,100,90.0,90.0,0.8,,,,,,,86.0,86.0,0.72,87.0,87.0,0.74
cho2017,lee2019,cspnet,6,100,82.0,82.0,0.64,,,,,,,80.0,80.0,0.6,79.0,79.0,0.58
cho2017,lee2019,cspnet,7,100,74.0,74.0,0.48,,,,,,,80.0,80.0,0.6,78.0,78.0,0.56
cho2017,lee2019,cspnet,8,100,93.0,93.0,0.86,,,,,,,82.0,82.0,0.64,79.0,79.0,0.58
cho2017,lee2019,cspnet,9,100,76.0,76.0,0.52,,,,,,,77.0,77.0,0.54,78.0,78.0,0.56
cho2017,lee2019,cspnet,10,100,62.0,62.0,0.24,,,,,,,53.0,53.0,0.06,58.0,58.0,0.16
cho2017,lee2019,cspnet,11,100,64.0,64.0,0.28,,,,,,,60.0,60.0,0.2,59.0,59.0,0.18
cho2017,lee2019,cspnet,12,100,75.0,75.0,0.5,,,,,,,73.0,73.0,0.46,72.0,72.0,0.44
cho2017,lee2019,cspnet,13,100,62.0,62.0,0.24,,,,,,,53.0,53.0,0.06,54.0,54.0,0.08
cho2017,lee2019,cspnet,14,100,81.0,81.0,0.62,,,,,,,78.0,78.0,0.56,77.0,77.0,0.54
cho2017,lee2019,cspnet,15,100,57.0,57.0,0.14,,,,,,,54.0,54.0,0.08,52.0,52.0,0.04
cho2017,lee2019,cspnet,16,100,65.0,65.0,0.3,,,,,,,60.0,60.0,0.2,60.0,60.0,0.2
cho2017,lee2019,cspnet,17,100,75.0,75.0,0.5,,,,,,,76.0,76.0,0.52,76.0,76.0,0.52
cho2017,lee2019,cspnet,18,100,89.0,89.0,0.78,,,,,,,92.0,92.0,0.84,91.0,91.0,0.82
cho2017,lee2019,cspnet,19,100,84.0,84.0,0.68,,,,,,,79.0,79.0,0.58,82.0,82.0,0.64
cho2017,lee2019,cspnet,20,100,84.0,84.0,0.68,,,,,,,84.0,84.0,0.68,81.0,81.0,0.62
cho2017,lee2019,cspnet,21,100,93.0,93.0,0.86,,,,,,,93.0,93.0,0.86,95.0,95.0,0.9
cho2017,lee2019,cspnet,22,100,70.0,70.0,0.4,,,,,,,68.0,68.0,0.36,69.0,69.0,0.38
cho2017,lee2019,cspnet,23,100,82.0,82.0,0.64,,,,,,,77.0,77.0,0.54,77.0,77.0,0.54
cho2017,lee2019,cspnet,24,100,54.0,54.0,0.08,,,,,,,47.0,47.0,-0.06,55.0,55.0,0.1
cho2017,lee2019,cspnet,25,100,68.0,68.0,0.36,,,,,,,70.0,70.0,0.4,70.0,70.0,0.4
cho2017,lee2019,cspnet,26,100,67.0,67.0,0.34,,,,,,,70.0,70.0,0.4,70.0,70.0,0.4
cho2017,lee2019,cspnet,27,100,48.0,48.0,-0.04,,,,,,,43.0,43.0,-0.14,47.0,47.0,-0.06
cho2017,lee2019,cspnet,28,100,92.0,92.0,0.84,,,,,,,91.0,91.0,0.82,88.0,88.0,0.76
cho2017,lee2019,cspnet,29,100,74.0,74.0,0.48,,,,,,,74.0,74.0,0.48,74.0,74.0,0.48
cho2017,lee2019,cspnet,30,100,65.0,65.0,0.3,,,,,,,64.0,64.0,0.28,64.0,64.0,0.28
cho2017,lee2019,cspnet,31,100,71.0,71.0,0.42,,,,,,,71.0,71.0,0.42,72.0,72.0,0.44
cho2017,lee2019,cspnet,32,100,95.0,95.0,0.9,,,,,,,88.0,88.0,0.76,88.0,88.0,0.76
cho2017,lee2019,cspnet,33,100,92.0,92.0,0.84,,,,,,,95.0,95.0,0.9,94.0,94.0,0.88
cho2017,lee2019,cspnet,34,100,48.0,48.0,-0.04,,,,,,,50.0,50.0,0.0,49.0,49.0,-0.02
cho2017,lee2019,cspnet,35,100,51.0,51.0,0.02,,,,,,,48.0,48.0,-0.04,46.0,46.0,-0.08
cho2017,lee2019,cspnet,36,100,95.0,95.0,0.9,,,,,,,95.0,95.0,0.9,94.0,94.0,0.88
cho2017,lee2019,cspnet,37,100,94.0,94.0,0.88,,,,,,,94.0,94.0,0.88,94.0,94.0,0.88
cho2017,lee2019,cspnet,38,100,63.0,63.0,0.26,,,,,,,64.0,64.0,0.28,62.0,62.0,0.24
cho2017,lee2019,cspnet,39,100,89.0,89.0,0.78,,,,,,,87.0,87.0,0.74,86.0,86.0,0.72
cho2017,lee2019,cspnet,40,100,67.0,67.0,0.34,,,,,,,66.0,66.0,0.32,65.0,65.0,0.3
cho2017,lee2019,cspnet,41,100,60.0,60.0,0.2,,,,,,,60.0,60.0,0.2,61.0,61.0,0.22
cho2017,lee2019,cspnet,42,100,70.0,70.0,0.4,,,,,,,70.0,70.0,0.4,67.0,67.0,0.34
cho2017,lee2019,cspnet,43,100,72.0,72.0,0.44,,,,,,,72.0,72.0,0.44,72.0,72.0,0.44
cho2017,lee2019,cspnet,44,100,91.0,91.0,0.82,,,,,,,90.0,90.0,0.8,90.0,90.0,0.8
cho2017,lee2019,cspnet,45,100,81.0,81.0,0.62,,,,,,,80.0,80.0,0.6,84.0,84.0,0.68
cho2017,lee2019,cspnet,46,100,81.0,81.0,0.62,,,,,,,86.0,86.0,0.72,86.0,86.0,0.72
cho2017,lee2019,cspnet,47,100,80.0,80.0,0.6,,,,,,,82.0,82.0,0.64,82.0,82.0,0.64
cho2017,lee2019,cspnet,48,100,52.0,52.0,0.04,,,,,,,58.0,58.0,0.16,57.0,57.0,0.14
cho2017,lee2019,cspnet,49,100,81.0,81.0,0.62,,,,,,,77.0,77.0,0.54,78.0,78.0,0.56
cho2017,lee2019,cspnet,50,100,64.0,64.0,0.28,,,,,,,65.0,65.0,0.3,65.0,65.0,0.3
cho2017,lee2019,cspnet,51,100,66.0,66.0,0.32,,,,,,,64.0,64.0,0.28,62.0,62.0,0.24
cho2017,lee2019,cspnet,52,100,71.0,71.0,0.42,,,,,,,67.0,67.0,0.34,68.0,68.0,0.36
cho2017,lee2019,cspnet,53,100,67.0,67.0,0.34,,,,,,,62.0,62.0,0.24,68.0,68.0,0.36
cho2017,lee2019,cspnet,54,100,61.0,61.0,0.22,,,,,,,66.0,66.0,0.32,66.0,66.0,0.32
