train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,cspnet,1,200,70.5,70.5,0.41,,,,,,,62.0,62.0,0.24,63.5,63.5,0.27
lee2019,cho2017,cspnet,2,200,54.5,54.5,0.09,,,,,,,54.5,54.5,0.09,57.0,57.0,0.14
lee2019,cho2017,cspnet,3,200,91.0,91.0,0.82,,,,,,,93.0,93.0,0.86,92.5,92.5,0.85
lee2019,cho2017,cspnet,4,200,92.0,92.0,0.84,,,,,,,92.5,92.5,0.85,92.0,92.0,0.84
lee2019,cho2017,cspnet,5,200,70.5,70.5,0.41,,,,,,,68.5,68.5,0.37,67.0,67.0,0.34
lee2019,cho2017,cspnet,6,200,58.5,58.5,0.17,,,,,,,58.5,58.5,0.17,59.5,59.5,0.19
lee2019,cho2017,cspnet,7,240,65.4,65.4,0.308,,,,,,,61.3,61.3,0.225,61.3,61.3,0.225
lee2019,cho2017,cspnet,8,200,56.0,56.0,0.12,,,,,,,57.5,57.5,0.15,57.5,57.5,0.15
lee2019,cho2017,cspnet,9,240,71.7,71.7,0.433,,,,,,,69.6,69.6,0.392,68.3,68.3,0.367
lee2019,cho2017,cspnet,10,200,85.5,85.5,0.71,,,,,,,83.5,83.5,0.67,82.5,82.5,0.65
lee2019,cho2017,cspnet,11,200,75.5,75.5,0.51,,,,,,,65.5,65.5,0.31,66.0,66.0,0.32
lee2019,cho2017,cspnet,12,200,80.0,80.0,0.6,,,,,,,74.0,74.0,0.48,72.5,72.5,0.45
lee2019,cho2017,cspnet,13,200,51.5,51.5,0.03,,,,,,,54.0,54.0,0.08,55.0,55.0,0.1
lee2019,cho2017,cspnet,14,200,91.0,91.0,0.82,,,,,,,89.0,89.0,0.78,88.0,88.0,0.76
lee2019,cho2017,cspnet,15,200,76.5,76.5,0.53,,,,,,,76.5,76.5,0.53,76.5,76.5,0.53
lee2019,cho2017,cspnet,16,200,63.5,63.5,0.27,,,,,,,66.5,66.5,0.33,67.5,67.5,0.35
lee2019,cho2017,cspnet,17,200,54.5,54.5,0.09,,,,,,,54.5,54.5,0.09,53.0,53.0,0.06
lee2019,cho2017,cspnet,18,200,69.0,69.0,0.38,,,,,,,64.0,64.0,0.28,63.5,63.5,0.27
lee2019,cho2017,cspnet,19,200,74.0,74.0,0.48,,,,,,,71.5,71.5,0.43,75.0,75.0,0.5
lee2019,cho2017,cspnet,20,200,70.5,70.5,0.41,,,,,,,70.0,70.0,0.4,72.5,72.5,0.45
lee2019,cho2017,cspnet,21,200,77.5,77.5,0.55,,,,,,,72.5,72.5,0.45,74.0,74.0,0.48
lee2019,cho2017,cspnet,22,200,69.0,69.0,0.38,,,,,,,67.5,67.5,0.35,65.5,65.5,0.31
lee2019,cho2017,cspnet,23,200,88.0,88.0,0.76,,,,,,,86.5,86.5,0.73,84.5,84.5,0.69
lee2019,cho2017,cspnet,24,200,77.0,77.0,0.54,,,,,,,73.5,73.5,0.47,74.0,74.0,0.48
lee2019,cho2017,cspnet,25,200,79.0,79.0,0.58,,,,,,,75.5,75.5,0.51,76.5,76.5,0.53
lee2019,cho2017,cspnet,26,200,69.0,69.0,0.38,,,,,,,69.0,69.0,0.38,72.0,72.0,0.44
lee2019,cho2017,cspnet,27,200,58.5,58.5,0.17,,,,,,,61.0,61.0,0.22,63.5,63.5,0.27
lee2019,cho2017,cspnet,28,200,50.0,50.0,0.0,,,,,,,50.5,50.5,0.01,53.0,53.0,0.06
lee2019,cho2017,cspnet,29,200,57.5,57.5,0.15,,,,,,,52.5,52.5,0.05,52.0,52.0,0.04
lee2019,cho2017,cspnet,30,200,76.0,76.0,0.52,,,,,,,72.5,72.5,0.45,74.0,74.0,0.48
lee2019,cho2017,cspnet,31,200,69.5,69.5,0.39,,,,,,,70.5,70.5,0.41,74.0,74.0,0.48
lee2019,cho2017,cspnet,32,200,50.5,50.5,0.01,,,,,,,49.0,49.0,-0.02,48.0,48.0,-0.04
lee2019,cho2017,cspnet,33,200,61.5,61.5,0.23,,,,,,,60.5,60.5,0.21,60.0,60.0,0.2
lee2019,cho2017,cspnet,34,200,45.0,45.0,-0.1,,,,,,,47.0,47.0,-0.06,50.0,50.0,0.0
lee2019,cho2017,cspnet,35,200,52.5,52.5,0.05,,,,,,,58.5,58.5,0.17,57.5,57.5,0.15
lee2019,cho2017,cspnet,36,200,70.5,70.5,0.41,,,,,,,72.5,72.5,0.45,71.0,71.0,0.42
lee2019,cho2017,cspnet,37,200,52.0,52.0,0.04,,,,,,,57.5,57.5,0.15,56.0,56.0,0.12
lee2019,cho2017,cspnet,38,200,69.5,69.5,0.39,,,,,,,68.5,68.5,0.37,65.0,65.0,0.3
lee2019,cho2017,cspnet,39,200,77.5,77.5,0.55,,,,,,,76.0,76.0,0.52,77.0,77.0,0.54
lee2019,cho2017,cspnet,40,200,52.5,52.5,0.05,,,,,,,49.0,49.0,-0.02,49.0,49.0,-0.02
lee2019,cho2017,cspnet,41,200,93.5,93.5,0.87,,,,,,,90.5,90.5,0.81,89.5,89.5,0.79
lee2019,cho2017,cspnet,42,200,72.5,72.5,0.45,,,,,,,69.5,69.5,0.39,68.5,68.5,0.37
lee2019,cho2017,cspnet,43,200,96.5,96.5,0.93,,,,,,,96.5,96.5,0.93,97.5,97.5,0.95
lee2019,cho2017,cspnet,44,200,80.0,80.0,0.6,,,,,,,73.5,73.5,0.47,73.5,73.5,0.47
lee2019,cho2017,cspnet,45,200,63.5,63.5,0.27,,,,,,,67.5,67.5,0.35,67.0,67.0,0.34
lee2019,cho2017,cspnet,46,240,76.2,76.2,0.525,,,,,,,75.4,75.4,0.508,74.6,74.6,0.492
lee2019,cho2017,cspnet,47,200,68.0,68.0,0.36,,,,,,,68.5,68.5,0.37,69.0,69.0,0.38
lee2019,cho2017,cspnet,48,200,91.0,91.0,0.82,,,,,,,88.5,88.5,0.77,88.0,88.0,0.76
lee2019,cho2017,cspnet,49,200,61.5,61.5,0.23,,,,,,,64.5,64.5,0.29,63.5,63.5,0.27
lee2019,cho2017,cspnet,50,200,66.5,66.5,0.33,,,,,,,61.0,61.0,0.22,63.5,63.5,0.27
lee2019,cho2017,cspnet,51,200,64.0,64.0,0.28,,,,,,,58.0,58.0,0.16,59.0,59.0,0.18
lee2019,cho2017,cspnet,52,200,77.0,77.0,0.54,,,,,,,77.5,77.5,0.55,77.0,77.0,0.54
