train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,eegnet,1,100,89.0,89.0,0.78,,,,,,,89.0,89.0,0.78,85.0,85.0,0.7
cho2017,lee2019,eegnet,2,100,85.0,85.0,0.7,,,,,,,81.0,81.0,0.62,80.0,80.0,0.6
cho2017,lee2019,eegnet,3,100,93.0,93.0,0.86,,,,,,,94.0,94.0,0.88,93.0,93.0,0.86
cho2017,lee2019,eegnet,4,100,63.0,63.0,0.26,,,,,,,62.0,62.0,0.24,63.0,63.0,0.26
cho2017,lee2019,eegnet,5,100,90.0,90.0,0.8,,,,,,,90.0,90.0,0.8,91.0,91.0,0.82
cho2017,lee2019,eegnet,6,100,77.0,77.0,0.54,,,,,,,78.0,78.0,0.56,76.0,76.0,0.52
cho2017,lee2019,eegnet,7,100,74.0,74.0,0.48,,,,,,,76.0,76.0,0.52,70.0,70.0,0.4
cho2017,lee2019,eegnet,8,100,80.0,80.0,0.6,,,,,,,78.0,78.0,0.56,86.0,86.0,0.72
cho2017,lee2019,eegnet,9,100,73.0,73.0,0.46,,,,,,,69.0,69.0,0.38,70.0,70.0,0.4
cho2017,lee2019,eegnet,10,100,54.0,54.0,0.08,,,,,,,57.0,57.0,0.14,58.0,58.0,0.16
cho2017,lee2019,eegnet,11,100,60.0,60.0,0.2,,,,,,,61.0,61.0,0.22,61.0,61.0,0.22
cho2017,lee2019,eegnet,12,100,74.0,74.0,0.48,,,,,,,72.0,72.0,0.44,69.0,69.0,0.38
cho2017,lee2019,eegnet,13,100,65.0,65.0,0.3,,,,,,,61.0,61.0,0.22,61.0,61.0,0.22
cho2017,lee2019,eegnet,14,100,76.0,76.0,0.52,,,,,,,73.0,73.0,0.46,74.0,74.0,0.48
cho2017,lee2019,eegnet,15,100,49.0,49.0,-0.02,,,,,,,49.0,49.0,-0.02,47.0,47.0,-0.06
cho2017,lee2019,eegnet,16,100,69.0,69.0,0.38,,,,,,,68.0,68.0,0.36,67.0,67.0,0.34
cho2017,lee2019,eegnet,17,100,75.0,75.0,0.5,,,,,,,75.0,75.0,0.5,74.0,74.0,0.48
cho2017,lee2019,eegnet,18,100,89.0,89.0,0.78,,,,,,,89.0,89.0,0.78,89.0,89.0,0.78
cho2017,lee2019,eegnet,19,100,77.0,77.0,0.54,,,,,,,78.0,78.0,0.56,78.0,78.0,0.56
cho2017,lee2019,eegnet,20,100,89.0,89.0,0.78,,,,,,,86.0,86.0,0.72,81.0,81.0,0.62
cho2017,lee2019,eegnet,21,100,94.0,94.0,0.88,,,,,,,92.0,92.0,0.84,92.0,92.0,0.84
cho2017,lee2019,eegnet,22,100,70.0,70.0,0.4,,,,,,,68.0,68.0,0.36,68.0,68.0,0.36
cho2017,lee2019,eegnet,23,100,73.0,73.0,0.46,,,,,,,67.0,67.0,0.34,70.0,70.0,0.4
cho2017,lee2019,eegnet,24,100,52.0,52.0,0.04,,,,,,,50.0,50.0,0.0,50.0,50.0,0.0
cho2017,lee2019,eegnet,25,100,64.0,64.0,0.28,,,,,,,62.0,62.0,0.24,61.0,61.0,0.22
cho2017,lee2019,eegnet,26,100,58.0,58.0,0.16,,,,,,,59.0,59.0,0.18,57.0,57.0,0.14
cho2017,lee2019,eegnet,27,100,51.0,51.0,0.02,,,,,,,49.0,49.0,-0.02,47.0,47.0,-0.06
cho2017,lee2019,eegnet,28,100,86.0,86.0,0.72,,,,,,,86.0,86.0,0.72,86.0,86.0,0.72
cho2017,lee2019,eegnet,29,100,61.0,61.0,0.22,,,,,,,63.0,63.0,0.26,65.0,65.0,0.3
cho2017,lee2019,eegnet,30,100,68.0,68.0,0.36,,,,,,,65.0,65.0,0.3,65.0,65.0,0.3
cho2017,lee2019,eegnet,31,100,64.0,64.0,0.28,,,,,,,64.0,64.0,0.28,64.0,64.0,0.28
cho2017,lee2019,eegnet,32,100,91.0,91.0,0.82,,,,,,,92.0,92.0,0.84,90.0,90.0,0.8
cho2017,lee2019,eegnet,33,100,97.0,97.0,0.94,,,,,,,96.0,96.0,0.92,91.0,91.0,0.82
cho2017,lee2019,eegnet,34,100,49.0,49.0,-0.02,,,,,,,49.0,49.0,-0.02,48.0,48.0,-0.04
cho2017,lee2019,eegnet,35,100,52.0,52.0,0.04,,,,,,,53.0,53.0,0.06,53.0,53.0,0.06
cho2017,lee2019,eegnet,36,100,84.0,84.0,0.68,,,,,,,82.0,82.0,0.64,79.0,79.0,0.58
cho2017,lee2019,eegnet,37,100,96.0,96.0,0.92,,,,,,,95.0,95.0,0.9,96.0,96.0,0.92
cho2017,lee2019,eegnet,38,100,65.0,65.0,0.3,,,,,,,62.0,62.0,0.24,64.0,64.0,0.28
cho2017,lee2019,eegnet,39,100,78.0,78.0,0.56,,,,,,,75.0,75.0,0.5,78.0,78.0,0.56
cho2017,lee2019,eegnet,40,100,70.0,70.0,0.4,,,,,,,67.0,67.0,0.34,68.0,68.0,0.36
cho2017,lee2019,eegnet,41,100,64.0,64.0,0.28,,,,,,,62.0,62.0,0.24,64.0,64.0,0.28
cho2017,lee2019,eegnet,42,100,70.0,70.0,0.4,,,,,,,71.0,71.0,0.42,71.0,71.0,0.42
cho2017,lee2019,eegnet,43,100,69.0,69.0,0.38,,,,,,,66.0,66.0,0.32,68.0,68.0,0.36
cho2017,lee2019,eegnet,44,100,90.0,90.0,0.8,,,,,,,90.0,90.0,0.8,87.0,87.0,0.74
cho2017,lee2019,eegnet,45,100,89.0,89.0,0.78,,,,,,,88.0,88.0,0.76,86.0,86.0,0.72
cho2017,lee2019,eegnet,46,100,71.0,71.0,0.42,,,,,,,74.0,74.0,0.48,72.0,72.0,0.44
cho2017,lee2019,eegnet,47,100,72.0,72.0,0.44,,,,,,,72.0,72.0,0.44,77.0,77.0,0.54
cho2017,lee2019,eegnet,48,100,50.0,50.0,0.0,,,,,,,53.0,53.0,0.06,53.0,53.0,0.06
