train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,69.5,69.5,0.39,,,,,,,68.0,68.0,0.36,68.5,68.5,0.37
lee2019,cho2017,eegnet,2,200,58.0,58.0,0.16,,,,,,,60.0,60.0,0.2,57.0,57.0,0.14
lee2019,cho2017,eegnet,3,200,94.0,94.0,0.88,,,,,,,93.0,93.0,0.86,92.0,92.0,0.84
lee2019,cho2017,eegnet,4,200,91.0,91.0,0.82,,,,,,,92.0,92.0,0.84,90.5,90.5,0.81
lee2019,cho2017,eegnet,5,200,73.0,73.0,0.46,,,,,,,73.5,73.5,0.47,74.0,74.0,0.48
lee2019,cho2017,eegnet,6,200,61.5,61.5,0.23,,,,,,,63.0,63.0,0.26,60.5,60.5,0.21
lee2019,cho2017,eegnet,7,240,61.3,61.3,0.225,,,,,,,61.7,61.7,0.233,61.7,61.7,0.233
lee2019,cho2017,eegnet,8,200,60.5,60.5,0.21,,,,,,,57.5,57.5,0.15,60.5,60.5,0.21
lee2019,cho2017,eegnet,9,240,72.5,72.5,0.45,,,,,,,73.3,73.3,0.467,72.5,72.5,0.45
lee2019,cho2017,eegnet,10,200,80.5,80.5,0.61,,,,,,,81.0,81.0,0.62,80.5,80.5,0.61
lee2019,cho2017,eegnet,11,200,66.5,66.5,0.33,,,,,,,65.5,65.5,0.31,71.0,71.0,0.42
lee2019,cho2017,eegnet,12,200,77.0,77.0,0.54,,,,,,,76.5,76.5,0.53,76.5,76.5,0.53
lee2019,cho2017,eegnet,13,200,47.5,47.5,-0.05,,,,,,,46.0,46.0,-0.08,46.5,46.5,-0.07
lee2019,cho2017,eegnet,14,200,93.5,93.5,0.87,,,,,,,92.0,92.0,0.84,90.5,90.5,0.81
lee2019,cho2017,eegnet,15,200,73.0,73.0,0.46,,,,,,,74.0,74.0,0.48,73.0,73.0,0.46
lee2019,cho2017,eegnet,16,200,65.0,65.0,0.3,,,,,,,64.0,64.0,0.28,66.0,66.0,0.32
lee2019,cho2017,eegnet,17,200,57.0,57.0,0.14,,,,,,,53.0,53.0,0.06,53.0,53.0,0.06
