train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
cho2017,lee2019,cspnetcontrastive,1,200,66.5,66.5,0.33,68.5,68.5,0.37,,,
cho2017,lee2019,cspnetcontrastive,2,200,59.5,59.5,0.19,56.0,56.0,0.12,,,
cho2017,lee2019,cspnetcontrastive,3,200,70.5,70.5,0.41,72.0,72.0,0.44,,,
cho2017,lee2019,cspnetcontrastive,4,200,52.0,52.0,0.04,56.0,56.0,0.12,,,
cho2017,lee2019,cspnetcontrastive,5,200,70.0,70.0,0.4,73.5,73.5,0.47,,,
cho2017,lee2019,cspnetcontrastive,6,200,54.5,54.5,0.09,54.5,54.5,0.09,,,
cho2017,lee2019,cspnetcontrastive,7,200,57.5,57.5,0.15,57.0,57.0,0.14,,,
cho2017,lee2019,cspnetcontrastive,8,200,57.0,57.0,0.14,57.0,57.0,0.14,,,
cho2017,lee2019,cspnetcontrastive,9,200,66.5,66.5,0.33,67.5,67.5,0.35,,,
cho2017,lee2019,cspnetcontrastive,10,200,59.5,59.5,0.19,59.5,59.5,0.19,,,
cho2017,lee2019,cspnetcontrastive,11,200,50.5,50.5,0.01,47.5,47.5,-0.05,,,
cho2017,lee2019,cspnetcontrastive,12,200,59.5,59.5,0.19,60.0,60.0,0.2,,,
cho2017,lee2019,cspnetcontrastive,13,200,61.0,61.0,0.22,55.5,55.5,0.11,,,
cho2017,lee2019,cspnetcontrastive,14,200,63.0,63.0,0.26,63.0,63.0,0.26,,,
cho2017,lee2019,cspnetcontrastive,15,200,51.0,51.0,0.02,56.0,56.0,0.12,,,
cho2017,lee2019,cspnetcontrastive,16,200,58.5,58.5,0.17,59.5,59.5,0.19,,,
cho2017,lee2019,cspnetcontrastive,17,200,60.5,60.5,0.21,61.5,61.5,0.23,,,
cho2017,lee2019,cspnetcontrastive,18,200,68.5,68.5,0.37,68.0,68.0,0.36,,,
cho2017,lee2019,cspnetcontrastive,19,200,75.5,75.5,0.51,75.0,75.0,0.5,,,
cho2017,lee2019,cspnetcontrastive,20,200,61.0,61.0,0.22,61.5,61.5,0.23,,,
cho2017,lee2019,cspnetcontrastive,21,200,69.0,69.0,0.38,73.0,73.0,0.46,,,
cho2017,lee2019,cspnetcontrastive,22,200,70.0,70.0,0.4,69.5,69.5,0.39,,,
cho2017,lee2019,cspnetcontrastive,23,200,75.5,75.5,0.51,74.5,74.5,0.49,,,
cho2017,lee2019,cspnetcontrastive,24,200,54.0,54.0,0.08,55.0,55.0,0.1,,,
cho2017,lee2019,cspnetcontrastive,25,200,52.0,52.0,0.04,53.5,53.5,0.07,,,
cho2017,lee2019,cspnetcontrastive,26,200,58.0,58.0,0.16,55.0,55.0,0.1,,,
cho2017,lee2019,cspnetcontrastive,27,200,45.5,45.5,-0.09,46.5,46.5,-0.07,,,
cho2017,lee2019,cspnetcontrastive,28,200,60.0,60.0,0.2,62.5,62.5,0.25,,,
cho2017,lee2019,cspnetcontrastive,29,200,73.5,73.5,0.47,73.5,73.5,0.47,,,
cho2017,lee2019,cspnetcontrastive,30,200,56.0,56.0,0.12,61.5,61.5,0.23,,,
cho2017,lee2019,cspnetcontrastive,31,200,54.0,54.0,0.08,53.5,53.5,0.07,,,
cho2017,lee2019,cspnetcontrastive,32,200,77.5,77.5,0.55,77.0,77.0,0.54,,,
cho2017,lee2019,cspnetcontrastive,33,200,66.5,66.5,0.33,68.0,68.0,0.36,,,
cho2017,lee2019,cspnetcontrastive,34,200,54.0,54.0,0.08,51.5,51.5,0.03,,,
cho2017,lee2019,cspnetcontrastive,35,200,46.5,46.5,-0.07,48.0,48.0,-0.04,,,
cho2017,lee2019,cspnetcontrastive,36,200,96.5,96.5,0.93,95.5,95.5,0.91,,,
cho2017,lee2019,cspnetcontrastive,37,200,70.0,70.0,0.4,75.5,75.5,0.51,,,
cho2017,lee2019,cspnetcontrastive,38,200,53.5,53.5,0.07,51.0,51.0,0.02,,,
cho2017,lee2019,cspnetcontrastive,39,200,72.5,72.5,0.45,69.5,69.5,0.39,,,
cho2017,lee2019,cspnetcontrastive,40,200,56.5,56.5,0.13,54.5,54.5,0.09,,,
cho2017,lee2019,cspnetcontrastive,41,200,53.0,53.0,0.06,55.5,55.5,0.11,,,
cho2017,lee2019,cspnetcontrastive,42,200,62.0,62.0,0.24,61.5,61.5,0.23,,,
cho2017,lee2019,cspnetcontrastive,43,200,58.0,58.0,0.16,58.0,58.0,0.16,,,
cho2017,lee2019,cspnetcontrastive,44,200,75.0,75.0,0.5,73.0,73.0,0.46,,,
cho2017,lee2019,cspnetcontrastive,45,200,75.0,75.0,0.5,74.0,74.0,0.48,,,
cho2017,lee2019,cspnetcontrastive,46,200,67.0,67.0,0.34,65.0,65.0,0.3,,,
cho2017,lee2019,cspnetcontrastive,47,200,64.5,64.5,0.29,65.0,65.0,0.3,,,
cho2017,lee2019,cspnetcontrastive,48,200,50.5,50.5,0.01,51.5,51.5,0.03,,,
