train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
lee2019,cho2017,cspnetcontrastive,1,200,56.0,56.0,0.12,52.5,52.5,0.05,,,
lee2019,cho2017,cspnetcontrastive,2,200,53.0,53.0,0.06,51.0,51.0,0.02,,,
lee2019,cho2017,cspnetcontrastive,3,200,82.0,82.0,0.64,81.0,81.0,0.62,,,
lee2019,cho2017,cspnetcontrastive,4,200,58.0,58.0,0.16,57.0,57.0,0.14,,,
lee2019,cho2017,cspnetcontrastive,5,200,59.0,59.0,0.18,57.5,57.5,0.15,,,
lee2019,cho2017,cspnetcontrastive,6,200,57.5,57.5,0.15,52.5,52.5,0.05,,,
lee2019,cho2017,cspnetcontrastive,7,240,51.7,51.7,0.033,46.7,46.7,-0.067,,,
lee2019,cho2017,cspnetcontrastive,8,200,55.0,55.0,0.1,50.5,50.5,0.01,,,
lee2019,cho2017,cspnetcontrastive,9,240,50.8,50.8,0.017,57.1,57.1,0.142,,,
lee2019,cho2017,cspnetcontrastive,10,200,56.5,56.5,0.13,54.5,54.5,0.09,,,
lee2019,cho2017,cspnetcontrastive,11,200,54.5,54.5,0.09,54.0,54.0,0.08,,,
lee2019,cho2017,cspnetcontrastive,12,200,61.5,61.5,0.23,61.0,61.0,0.22,,,
lee2019,cho2017,cspnetcontrastive,13,200,52.5,52.5,0.05,51.0,51.0,0.02,,,
lee2019,cho2017,cspnetcontrastive,14,200,68.5,68.5,0.37,72.5,72.5,0.45,,,
lee2019,cho2017,cspnetcontrastive,15,200,51.0,51.0,0.02,50.0,50.0,0.0,,,
lee2019,cho2017,cspnetcontrastive,16,200,51.0,51.0,0.02,51.5,51.5,0.03,,,
lee2019,cho2017,cspnetcontrastive,17,200,48.0,48.0,-0.04,54.0,54.0,0.08,,,
lee2019,cho2017,cspnetcontrastive,18,200,58.5,58.5,0.17,55.5,55.5,0.11,,,
lee2019,cho2017,cspnetcontrastive,19,200,60.5,60.5,0.21,59.5,59.5,0.19,,,
lee2019,cho2017,cspnetcontrastive,20,200,52.5,52.5,0.05,54.5,54.5,0.09,,,
lee2019,cho2017,cspnetcontrastive,21,200,65.5,65.5,0.31,65.0,65.0,0.3,,,
lee2019,cho2017,cspnetcontrastive,22,200,57.0,57.0,0.14,55.0,55.0,0.1,,,
lee2019,cho2017,cspnetcontrastive,23,200,60.5,60.5,0.21,59.5,59.5,0.19,,,
lee2019,cho2017,cspnetcontrastive,24,200,60.0,60.0,0.2,61.5,61.5,0.23,,,
lee2019,cho2017,cspnetcontrastive,25,200,58.0,58.0,0.16,52.0,52.0,0.04,,,
lee2019,cho2017,cspnetcontrastive,26,200,50.0,50.0,0.0,53.5,53.5,0.07,,,
lee2019,cho2017,cspnetcontrastive,27,200,54.5,54.5,0.09,56.5,56.5,0.13,,,
lee2019,cho2017,cspnetcontrastive,28,200,51.0,51.0,0.02,51.5,51.5,0.03,,,
lee2019,cho2017,cspnetcontrastive,29,200,52.0,52.0,0.04,49.0,49.0,-0.02,,,
lee2019,cho2017,cspnetcontrastive,30,200,59.5,59.5,0.19,56.5,56.5,0.13,,,
lee2019,cho2017,cspnetcontrastive,31,200,60.5,60.5,0.21,61.0,61.0,0.22,,,
lee2019,cho2017,cspnetcontrastive,32,200,40.5,40.5,-0.19,45.5,45.5,-0.09,,,
lee2019,cho2017,cspnetcontrastive,33,200,60.5,60.5,0.21,59.0,59.0,0.18,,,
lee2019,cho2017,cspnetcontrastive,34,200,53.0,53.0,0.06,47.0,47.0,-0.06,,,
lee2019,cho2017,cspnetcontrastive,35,200,46.0,46.0,-0.08,49.0,49.0,-0.02,,,
lee2019,cho2017,cspnetcontrastive,36,200,56.0,56.0,0.12,65.5,65.5,0.31,,,
lee2019,cho2017,cspnetcontrastive,37,200,50.0,50.0,0.0,51.0,51.0,0.02,,,
lee2019,cho2017,cspnetcontrastive,38,200,49.5,49.5,-0.01,54.0,54.0,0.08,,,
lee2019,cho2017,cspnetcontrastive,39,200,60.0,60.0,0.2,60.0,60.0,0.2,,,
lee2019,cho2017,cspnetcontrastive,40,200,49.5,49.5,-0.01,50.0,50.0,0.0,,,
lee2019,cho2017,cspnetcontrastive,41,200,56.5,56.5,0.13,57.0,57.0,0.14,,,
lee2019,cho2017,cspnetcontrastive,42,200,57.0,57.0,0.14,62.5,62.5,0.25,,,
lee2019,cho2017,cspnetcontrastive,43,200,76.0,76.0,0.52,79.0,79.0,0.58,,,
lee2019,cho2017,cspnetcontrastive,44,200,61.5,61.5,0.23,62.5,62.5,0.25,,,
lee2019,cho2017,cspnetcontrastive,45,200,56.0,56.0,0.12,52.5,52.5,0.05,,,
lee2019,cho2017,cspnetcontrastive,46,240,57.9,57.9,0.158,54.2,54.2,0.083,,,
lee2019,cho2017,cspnetcontrastive,47,200,58.5,58.5,0.17,55.0,55.0,0.1,,,
lee2019,cho2017,cspnetcontrastive,48,200,73.0,73.0,0.46,68.5,68.5,0.37,,,
lee2019,cho2017,cspnetcontrastive,49,200,56.5,56.5,0.13,55.5,55.5,0.11,,,
lee2019,cho2017,cspnetcontrastive,50,200,54.5,54.5,0.09,50.5,50.5,0.01,,,
lee2019,cho2017,cspnetcontrastive,51,200,55.0,55.0,0.1,54.0,54.0,0.08,,,
lee2019,cho2017,cspnetcontrastive,52,200,65.5,65.5,0.31,61.0,61.0,0.22,,,
