train_ds,test_ds,model,subject,n_test,acc,bac,kappa
cho2017,lee2019,csp_lda,1,200,66.5,66.5,0.33
cho2017,lee2019,csp_lda,2,200,62.0,62.0,0.24
cho2017,lee2019,csp_lda,3,200,81.5,81.5,0.63
cho2017,lee2019,csp_lda,4,200,59.5,59.5,0.19
cho2017,lee2019,csp_lda,5,200,79.0,79.0,0.58
cho2017,lee2019,csp_lda,6,200,61.0,61.0,0.22
cho2017,lee2019,csp_lda,7,200,56.0,56.0,0.12
cho2017,lee2019,csp_lda,8,200,67.5,67.5,0.35
cho2017,lee2019,csp_lda,9,200,74.5,74.5,0.49
cho2017,lee2019,csp_lda,10,200,63.0,63.0,0.26
cho2017,lee2019,csp_lda,11,200,51.5,51.5,0.03
cho2017,lee2019,csp_lda,12,200,64.0,64.0,0.28
cho2017,lee2019,csp_lda,13,200,62.5,62.5,0.25
cho2017,lee2019,csp_lda,14,200,70.0,70.0,0.4
cho2017,lee2019,csp_lda,15,200,53.5,53.5,0.07
cho2017,lee2019,csp_lda,16,200,61.0,61.0,0.22
cho2017,lee2019,csp_lda,17,200,71.0,71.0,0.42
cho2017,lee2019,csp_lda,18,200,89.0,89.0,0.78
cho2017,lee2019,csp_lda,19,200,81.5,81.5,0.63
cho2017,lee2019,csp_lda,20,200,59.5,59.5,0.19
cho2017,lee2019,csp_lda,21,200,93.5,93.5,0.87
cho2017,lee2019,csp_lda,22,200,72.5,72.5,0.45
cho2017,lee2019,csp_lda,23,200,74.5,74.5,0.49
cho2017,lee2019,csp_lda,24,200,54.5,54.5,0.09
cho2017,lee2019,csp_lda,25,200,56.0,56.0,0.12
cho2017,lee2019,csp_lda,26,200,62.5,62.5,0.25
cho2017,lee2019,csp_lda,27,200,52.5,52.5,0.05
cho2017,lee2019,csp_lda,28,200,79.5,79.5,0.59
cho2017,lee2019,csp_lda,29,200,79.0,79.0,0.58
cho2017,lee2019,csp_lda,30,200,62.0,62.0,0.24
cho2017,lee2019,csp_lda,31,200,63.0,63.0,0.26
cho2017,lee2019,csp_lda,32,200,94.0,94.0,0.88
cho2017,lee2019,csp_lda,33,200,85.5,85.5,0.71
cho2017,lee2019,csp_lda,34,200,44.0,44.0,-0.12
cho2017,lee2019,csp_lda,35,200,48.5,48.5,-0.03
cho2017,lee2019,csp_lda,36,200,96.5,96.5,0.93
cho2017,lee2019,csp_lda,37,200,91.0,91.0,0.82
cho2017,lee2019,csp_lda,38,200,61.0,61.0,0.22
cho2017,lee2019,csp_lda,39,200,84.0,84.0,0.68
cho2017,lee2019,csp_lda,40,200,54.0,54.0,0.08
cho2017,lee2019,csp_lda,41,200,60.0,60.0,0.2
cho2017,lee2019,csp_lda,42,200,71.0,71.0,0.42
cho2017,lee2019,csp_lda,43,200,73.0,73.0,0.46
cho2017,lee2019,csp_lda,44,200,84.0,84.0,0.68
cho2017,lee2019,csp_lda,45,200,70.5,70.5,0.41
cho2017,lee2019,csp_lda,46,200,72.0,72.0,0.44
cho2017,lee2019,csp_lda,47,200,65.5,65.5,0.31
cho2017,lee2019,csp_lda,48,200,58.0,58.0,0.16
cho2017,lee2019,csp_lda,49,200,76.0,76.0,0.52
cho2017,lee2019,csp_lda,50,200,54.0,54.0,0.08
cho2017,lee2019,csp_lda,51,200,61.5,61.5,0.23
cho2017,lee2019,csp_lda,52,200,69.0,69.0,0.38
cho2017,lee2019,csp_lda,53,200,62.5,62.5,0.25
cho2017,lee2019,csp_lda,54,200,58.5,58.5,0.17
