train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
lee2019,cho2017,cspnet,1,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,2,200,52.0,52.0,0.04,,,,,,
lee2019,cho2017,cspnet,3,200,81.0,81.0,0.62,,,,,,
lee2019,cho2017,cspnet,4,200,61.5,61.5,0.23,,,,,,
lee2019,cho2017,cspnet,5,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnet,6,200,58.5,58.5,0.17,,,,,,
lee2019,cho2017,cspnet,7,240,54.2,54.2,0.083,,,,,,
lee2019,cho2017,cspnet,8,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnet,9,240,52.9,52.9,0.058,,,,,,
lee2019,cho2017,cspnet,10,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnet,11,200,53.5,53.5,0.07,,,,,,
lee2019,cho2017,cspnet,12,200,61.0,61.0,0.22,,,,,,
lee2019,cho2017,cspnet,13,200,48.5,48.5,-0.03,,,,,,
lee2019,cho2017,cspnet,14,200,64.0,64.0,0.28,,,,,,
lee2019,cho2017,cspnet,15,200,51.0,51.0,0.02,,,,,,
lee2019,cho2017,cspnet,16,200,50.5,50.5,0.01,,,,,,
lee2019,cho2017,cspnet,17,200,47.5,47.5,-0.05,,,,,,
lee2019,cho2017,cspnet,18,200,52.0,52.0,0.04,,,,,,
lee2019,cho2017,cspnet,19,200,61.5,61.5,0.23,,,,,,
lee2019,cho2017,cspnet,20,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnet,21,200,64.5,64.5,0.29,,,,,,
lee2019,cho2017,cspnet,22,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnet,23,200,63.5,63.5,0.27,,,,,,
lee2019,cho2017,cspnet,24,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnet,25,200,55.0,55.0,0.1,,,,,,
lee2019,cho2017,cspnet,26,200,47.0,47.0,-0.06,,,,,,
lee2019,cho2017,cspnet,27,200,54.0,54.0,0.08,,,,,,
lee2019,cho2017,cspnet,28,200,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,cspnet,29,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnet,30,200,57.5,57.5,0.15,,,,,,
lee2019,cho2017,cspnet,31,200,61.0,61.0,0.22,,,,,,
lee2019,cho2017,cspnet,32,200,42.0,42.0,-0.16,,,,,,
lee2019,cho2017,cspnet,33,200,58.5,58.5,0.17,,,,,,
lee2019,cho2017,cspnet,34,200,53.0,53.0,0.06,,,,,,
lee2019,cho2017,cspnet,35,200,44.5,44.5,-0.11,,,,,,
lee2019,cho2017,cspnet,36,200,53.0,53.0,0.06,,,,,,
lee2019,cho2017,cspnet,37,200,47.0,47.0,-0.06,,,,,,
lee2019,cho2017,cspnet,38,200,48.5,48.5,-0.03,,,,,,
lee2019,cho2017,cspnet,39,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnet,40,200,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,cspnet,41,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnet,42,200,56.5,56.5,0.13,,,,,,
lee2019,cho2017,cspnet,43,200,76.5,76.5,0.53,,,,,,
lee2019,cho2017,cspnet,44,200,58.5,58.5,0.17,,,,,,
lee2019,cho2017,cspnet,45,200,55.0,55.0,0.1,,,,,,
lee2019,cho2017,cspnet,46,240,56.7,56.7,0.133,,,,,,
lee2019,cho2017,cspnet,47,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnet,48,200,74.5,74.5,0.49,,,,,,
lee2019,cho2017,cspnet,49,200,57.0,57.0,0.14,,,,,,
lee2019,cho2017,cspnet,50,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnet,51,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnet,52,200,62.5,62.5,0.25,,,,,,
