train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
lee2019,cho2017,cspnet,1,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnet,2,200,50.0,50.0,0.0,,,,,,
lee2019,cho2017,cspnet,3,200,83.5,83.5,0.67,,,,,,
lee2019,cho2017,cspnet,4,200,62.5,62.5,0.25,,,,,,
lee2019,cho2017,cspnet,5,200,59.5,59.5,0.19,,,,,,
lee2019,cho2017,cspnet,6,200,58.5,58.5,0.17,,,,,,
lee2019,cho2017,cspnet,7,240,45.4,45.4,-0.092,,,,,,
lee2019,cho2017,cspnet,8,200,55.5,55.5,0.11,,,,,,
lee2019,cho2017,cspnet,9,240,56.2,56.2,0.125,,,,,,
lee2019,cho2017,cspnet,10,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnet,11,200,57.0,57.0,0.14,,,,,,
lee2019,cho2017,cspnet,12,200,65.5,65.5,0.31,,,,,,
lee2019,cho2017,cspnet,13,200,55.5,55.5,0.11,,,,,,
lee2019,cho2017,cspnet,14,200,76.0,76.0,0.52,,,,,,
lee2019,cho2017,cspnet,15,200,50.5,50.5,0.01,,,,,,
lee2019,cho2017,cspnet,16,200,47.5,47.5,-0.05,,,,,,
lee2019,cho2017,cspnet,17,200,50.5,50.5,0.01,,,,,,
lee2019,cho2017,cspnet,18,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnet,19,200,61.0,61.0,0.22,,,,,,
lee2019,cho2017,cspnet,20,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnet,21,200,65.5,65.5,0.31,,,,,,
lee2019,cho2017,cspnet,22,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,23,200,62.5,62.5,0.25,,,,,,
lee2019,cho2017,cspnet,24,200,65.0,65.0,0.3,,,,,,
lee2019,cho2017,cspnet,25,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnet,26,200,53.0,53.0,0.06,,,,,,
lee2019,cho2017,cspnet,27,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnet,28,200,51.0,51.0,0.02,,,,,,
lee2019,cho2017,cspnet,29,200,50.5,50.5,0.01,,,,,,
lee2019,cho2017,cspnet,30,200,63.0,63.0,0.26,,,,,,
lee2019,cho2017,cspnet,31,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,32,200,43.5,43.5,-0.13,,,,,,
lee2019,cho2017,cspnet,33,200,63.5,63.5,0.27,,,,,,
lee2019,cho2017,cspnet,34,200,46.5,46.5,-0.07,,,,,,
lee2019,cho2017,cspnet,35,200,41.0,41.0,-0.18,,,,,,
lee2019,cho2017,cspnet,36,200,61.5,61.5,0.23,,,,,,
lee2019,cho2017,cspnet,37,200,48.5,48.5,-0.03,,,,,,
lee2019,cho2017,cspnet,38,200,54.0,54.0,0.08,,,,,,
lee2019,cho2017,cspnet,39,200,61.5,61.5,0.23,,,,,,
lee2019,cho2017,cspnet,40,200,50.5,50.5,0.01,,,,,,
lee2019,cho2017,cspnet,41,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnet,42,200,65.0,65.0,0.3,,,,,,
lee2019,cho2017,cspnet,43,200,81.0,81.0,0.62,,,,,,
lee2019,cho2017,cspnet,44,200,68.5,68.5,0.37,,,,,,
lee2019,cho2017,cspnet,45,200,57.5,57.5,0.15,,,,,,
lee2019,cho2017,cspnet,46,240,57.9,57.9,0.158,,,,,,
lee2019,cho2017,cspnet,47,200,55.0,55.0,0.1,,,,,,
lee2019,cho2017,cspnet,48,200,73.5,73.5,0.47,,,,,,
lee2019,cho2017,cspnet,49,200,65.0,65.0,0.3,,,,,,
lee2019,cho2017,cspnet,50,200,55.0,55.0,0.1,,,,,,
lee2019,cho2017,cspnet,51,200,59.5,59.5,0.19,,,,,,
lee2019,cho2017,cspnet,52,200,66.0,66.0,0.32,,,,,,
