train_ds,test_ds,model,subject,n_test,acc,bac,kappa
cho2017,lee2019,csp_lda,1,200,51.5,51.5,0.03
cho2017,lee2019,csp_lda,2,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,3,200,64.0,64.0,0.28
cho2017,lee2019,csp_lda,4,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,5,200,53.0,53.0,0.06
cho2017,lee2019,csp_lda,6,200,53.0,53.0,0.06
cho2017,lee2019,csp_lda,7,200,51.5,51.5,0.03
cho2017,lee2019,csp_lda,8,200,54.5,54.5,0.09
cho2017,lee2019,csp_lda,9,200,51.5,51.5,0.03
cho2017,lee2019,csp_lda,10,200,52.5,52.5,0.05
cho2017,lee2019,csp_lda,11,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,12,200,49.5,49.5,-0.01
cho2017,lee2019,csp_lda,13,200,49.0,49.0,-0.02
cho2017,lee2019,csp_lda,14,200,52.5,52.5,0.05
cho2017,lee2019,csp_lda,15,200,49.0,49.0,-0.02
cho2017,lee2019,csp_lda,16,200,49.0,49.0,-0.02
cho2017,lee2019,csp_lda,17,200,53.5,53.5,0.07
cho2017,lee2019,csp_lda,18,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,19,200,54.5,54.5,0.09
cho2017,lee2019,csp_lda,20,200,49.5,49.5,-0.01
cho2017,lee2019,csp_lda,21,200,55.0,55.0,0.1
cho2017,lee2019,csp_lda,22,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,23,200,60.0,60.0,0.2
cho2017,lee2019,csp_lda,24,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,25,200,51.5,51.5,0.03
cho2017,lee2019,csp_lda,26,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,27,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,28,200,53.0,53.0,0.06
cho2017,lee2019,csp_lda,29,200,57.0,57.0,0.14
cho2017,lee2019,csp_lda,30,200,51.0,51.0,0.02
cho2017,lee2019,csp_lda,31,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,32,200,63.5,63.5,0.27
cho2017,lee2019,csp_lda,33,200,53.0,53.0,0.06
cho2017,lee2019,csp_lda,34,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,35,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,36,200,80.5,80.5,0.61
cho2017,lee2019,csp_lda,37,200,55.0,55.0,0.1
cho2017,lee2019,csp_lda,38,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,39,200,59.0,59.0,0.18
cho2017,lee2019,csp_lda,40,200,49.5,49.5,-0.01
cho2017,lee2019,csp_lda,41,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,42,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,43,200,52.0,52.0,0.04
cho2017,lee2019,csp_lda,44,200,56.5,56.5,0.13
cho2017,lee2019,csp_lda,45,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,46,200,59.5,59.5,0.19
cho2017,lee2019,csp_lda,47,200,53.0,53.0,0.06
cho2017,lee2019,csp_lda,48,200,51.0,51.0,0.02
cho2017,lee2019,csp_lda,49,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,50,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,51,200,49.0,49.0,-0.02
cho2017,lee2019,csp_lda,52,200,49.5,49.5,-0.01
cho2017,lee2019,csp_lda,53,200,53.0,53.0,0.06
cho2017,lee2019,csp_lda,54,200,52.5,52.5,0.05
