train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,weighted_dataset_ea,1,200,72.0,72.0,0.44
lee2019,cho2017,weighted_dataset_ea,2,200,53.0,53.0,0.06
lee2019,cho2017,weighted_dataset_ea,3,200,91.5,91.5,0.83
lee2019,cho2017,weighted_dataset_ea,4,200,82.0,82.0,0.64
lee2019,cho2017,weighted_dataset_ea,5,200,61.0,61.0,0.22
lee2019,cho2017,weighted_dataset_ea,6,200,56.5,56.5,0.13
lee2019,cho2017,weighted_dataset_ea,7,240,55.0,55.0,0.1
lee2019,cho2017,weighted_dataset_ea,8,200,60.5,60.5,0.21
lee2019,cho2017,weighted_dataset_ea,9,240,67.92,67.92,0.358
lee2019,cho2017,weighted_dataset_ea,10,200,77.5,77.5,0.55
lee2019,cho2017,weighted_dataset_ea,11,200,63.5,63.5,0.27
lee2019,cho2017,weighted_dataset_ea,12,200,76.0,76.0,0.52
lee2019,cho2017,weighted_dataset_ea,13,200,45.5,45.5,-0.09
lee2019,cho2017,weighted_dataset_ea,14,200,95.5,95.5,0.91
lee2019,cho2017,weighted_dataset_ea,15,200,66.0,66.0,0.32
lee2019,cho2017,weighted_dataset_ea,16,200,61.5,61.5,0.23
lee2019,cho2017,weighted_dataset_ea,17,200,50.5,50.5,0.01
lee2019,cho2017,weighted_dataset_ea,18,200,61.5,61.5,0.23
lee2019,cho2017,weighted_dataset_ea,19,200,66.0,66.0,0.32
lee2019,cho2017,weighted_dataset_ea,20,200,68.5,68.5,0.37
lee2019,cho2017,weighted_dataset_ea,21,200,68.5,68.5,0.37
lee2019,cho2017,weighted_dataset_ea,22,200,69.0,69.0,0.38
lee2019,cho2017,weighted_dataset_ea,23,200,78.5,78.5,0.57
lee2019,cho2017,weighted_dataset_ea,24,200,70.5,70.5,0.41
lee2019,cho2017,weighted_dataset_ea,25,200,67.0,67.0,0.34
lee2019,cho2017,weighted_dataset_ea,26,200,56.5,56.5,0.13
lee2019,cho2017,weighted_dataset_ea,27,200,60.5,60.5,0.21
lee2019,cho2017,weighted_dataset_ea,28,200,47.5,47.5,-0.05
lee2019,cho2017,weighted_dataset_ea,29,200,55.5,55.5,0.11
lee2019,cho2017,weighted_dataset_ea,30,200,70.5,70.5,0.41
lee2019,cho2017,weighted_dataset_ea,31,200,60.0,60.0,0.2
lee2019,cho2017,weighted_dataset_ea,32,200,45.0,45.0,-0.1
lee2019,cho2017,weighted_dataset_ea,33,200,62.5,62.5,0.25
lee2019,cho2017,weighted_dataset_ea,34,200,46.0,46.0,-0.08
lee2019,cho2017,weighted_dataset_ea,35,200,44.0,44.0,-0.12
lee2019,cho2017,weighted_dataset_ea,36,200,72.0,72.0,0.44
lee2019,cho2017,weighted_dataset_ea,37,200,54.0,54.0,0.08
lee2019,cho2017,weighted_dataset_ea,38,200,59.0,59.0,0.18
lee2019,cho2017,weighted_dataset_ea,39,200,68.0,68.0,0.36
lee2019,cho2017,weighted_dataset_ea,40,200,50.0,50.0,0.0
lee2019,cho2017,weighted_dataset_ea,41,200,87.0,87.0,0.74
lee2019,cho2017,weighted_dataset_ea,42,200,65.5,65.5,0.31
lee2019,cho2017,weighted_dataset_ea,43,200,94.5,94.5,0.89
lee2019,cho2017,weighted_dataset_ea,44,200,68.0,68.0,0.36
lee2019,cho2017,weighted_dataset_ea,45,200,55.5,55.5,0.11
lee2019,cho2017,weighted_dataset_ea,46,240,70.42,70.42,0.408
lee2019,cho2017,weighted_dataset_ea,47,200,64.0,64.0,0.28
lee2019,cho2017,weighted_dataset_ea,48,200,86.0,86.0,0.72
lee2019,cho2017,weighted_dataset_ea,49,200,60.0,60.0,0.2
lee2019,cho2017,weighted_dataset_ea,50,200,57.5,57.5,0.15
lee2019,cho2017,weighted_dataset_ea,51,200,60.5,60.5,0.21
lee2019,cho2017,weighted_dataset_ea,52,200,74.0,74.0,0.48
