train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,gaussian_ot_then_subject_ea,1,200,54.0,54.0,0.08
cho2017,lee2019,gaussian_ot_then_subject_ea,2,200,51.0,51.0,0.02
cho2017,lee2019,gaussian_ot_then_subject_ea,3,200,64.5,64.5,0.29
cho2017,lee2019,gaussian_ot_then_subject_ea,4,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,5,200,57.5,57.5,0.15
cho2017,lee2019,gaussian_ot_then_subject_ea,6,200,53.0,53.0,0.06
cho2017,lee2019,gaussian_ot_then_subject_ea,7,200,52.5,52.5,0.05
cho2017,lee2019,gaussian_ot_then_subject_ea,8,200,56.0,56.0,0.12
cho2017,lee2019,gaussian_ot_then_subject_ea,9,200,52.0,52.0,0.04
cho2017,lee2019,gaussian_ot_then_subject_ea,10,200,53.0,53.0,0.06
cho2017,lee2019,gaussian_ot_then_subject_ea,11,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_then_subject_ea,12,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_then_subject_ea,13,200,48.5,48.5,-0.03
cho2017,lee2019,gaussian_ot_then_subject_ea,14,200,56.5,56.5,0.13
cho2017,lee2019,gaussian_ot_then_subject_ea,15,200,49.5,49.5,-0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,16,200,51.0,51.0,0.02
cho2017,lee2019,gaussian_ot_then_subject_ea,17,200,52.5,52.5,0.05
cho2017,lee2019,gaussian_ot_then_subject_ea,18,200,51.5,51.5,0.03
cho2017,lee2019,gaussian_ot_then_subject_ea,19,200,59.5,59.5,0.19
cho2017,lee2019,gaussian_ot_then_subject_ea,20,200,53.5,53.5,0.07
cho2017,lee2019,gaussian_ot_then_subject_ea,21,200,65.0,65.0,0.3
cho2017,lee2019,gaussian_ot_then_subject_ea,22,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_then_subject_ea,23,200,68.0,68.0,0.36
cho2017,lee2019,gaussian_ot_then_subject_ea,24,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_then_subject_ea,25,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,26,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_then_subject_ea,27,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,28,200,58.0,58.0,0.16
cho2017,lee2019,gaussian_ot_then_subject_ea,29,200,59.5,59.5,0.19
cho2017,lee2019,gaussian_ot_then_subject_ea,30,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_then_subject_ea,31,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,32,200,70.0,70.0,0.4
cho2017,lee2019,gaussian_ot_then_subject_ea,33,200,56.0,56.0,0.12
cho2017,lee2019,gaussian_ot_then_subject_ea,34,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,35,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_then_subject_ea,36,200,88.0,88.0,0.76
cho2017,lee2019,gaussian_ot_then_subject_ea,37,200,66.0,66.0,0.32
cho2017,lee2019,gaussian_ot_then_subject_ea,38,200,51.0,51.0,0.02
cho2017,lee2019,gaussian_ot_then_subject_ea,39,200,63.0,63.0,0.26
cho2017,lee2019,gaussian_ot_then_subject_ea,40,200,49.5,49.5,-0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,41,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_then_subject_ea,42,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,43,200,52.5,52.5,0.05
cho2017,lee2019,gaussian_ot_then_subject_ea,44,200,62.5,62.5,0.25
cho2017,lee2019,gaussian_ot_then_subject_ea,45,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,46,200,59.5,59.5,0.19
cho2017,lee2019,gaussian_ot_then_subject_ea,47,200,57.5,57.5,0.15
cho2017,lee2019,gaussian_ot_then_subject_ea,48,200,51.0,51.0,0.02
cho2017,lee2019,gaussian_ot_then_subject_ea,49,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_then_subject_ea,50,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_then_subject_ea,51,200,48.5,48.5,-0.03
cho2017,lee2019,gaussian_ot_then_subject_ea,52,200,51.5,51.5,0.03
cho2017,lee2019,gaussian_ot_then_subject_ea,53,200,55.5,55.5,0.11
cho2017,lee2019,gaussian_ot_then_subject_ea,54,200,52.0,52.0,0.04
