train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,physionet_pivot_dataset,1,200,51.0,51.0,0.02
lee2019,cho2017,physionet_pivot_dataset,2,200,50.5,50.5,0.01
lee2019,cho2017,physionet_pivot_dataset,3,200,88.5,88.5,0.77
lee2019,cho2017,physionet_pivot_dataset,4,200,76.5,76.5,0.53
lee2019,cho2017,physionet_pivot_dataset,5,200,54.0,54.0,0.08
lee2019,cho2017,physionet_pivot_dataset,6,200,52.5,52.5,0.05
lee2019,cho2017,physionet_pivot_dataset,7,240,52.92,52.92,0.058
lee2019,cho2017,physionet_pivot_dataset,8,200,53.5,53.5,0.07
lee2019,cho2017,physionet_pivot_dataset,9,240,62.5,62.5,0.25
lee2019,cho2017,physionet_pivot_dataset,10,200,62.0,62.0,0.24
lee2019,cho2017,physionet_pivot_dataset,11,200,51.0,51.0,0.02
lee2019,cho2017,physionet_pivot_dataset,12,200,71.0,71.0,0.42
lee2019,cho2017,physionet_pivot_dataset,13,200,54.0,54.0,0.08
lee2019,cho2017,physionet_pivot_dataset,14,200,96.0,96.0,0.92
lee2019,cho2017,physionet_pivot_dataset,15,200,64.0,64.0,0.28
lee2019,cho2017,physionet_pivot_dataset,16,200,50.0,50.0,0.0
lee2019,cho2017,physionet_pivot_dataset,17,200,50.0,50.0,0.0
lee2019,cho2017,physionet_pivot_dataset,18,200,58.0,58.0,0.16
lee2019,cho2017,physionet_pivot_dataset,19,200,64.5,64.5,0.29
lee2019,cho2017,physionet_pivot_dataset,20,200,58.0,58.0,0.16
lee2019,cho2017,physionet_pivot_dataset,21,200,57.0,57.0,0.14
lee2019,cho2017,physionet_pivot_dataset,22,200,58.5,58.5,0.17
lee2019,cho2017,physionet_pivot_dataset,23,200,53.5,53.5,0.07
lee2019,cho2017,physionet_pivot_dataset,24,200,64.0,64.0,0.28
lee2019,cho2017,physionet_pivot_dataset,25,200,64.0,64.0,0.28
lee2019,cho2017,physionet_pivot_dataset,26,200,56.5,56.5,0.13
lee2019,cho2017,physionet_pivot_dataset,27,200,59.0,59.0,0.18
lee2019,cho2017,physionet_pivot_dataset,28,200,49.0,49.0,-0.02
lee2019,cho2017,physionet_pivot_dataset,29,200,54.5,54.5,0.09
lee2019,cho2017,physionet_pivot_dataset,30,200,57.0,57.0,0.14
lee2019,cho2017,physionet_pivot_dataset,31,200,55.5,55.5,0.11
lee2019,cho2017,physionet_pivot_dataset,32,200,48.0,48.0,-0.04
lee2019,cho2017,physionet_pivot_dataset,33,200,56.5,56.5,0.13
lee2019,cho2017,physionet_pivot_dataset,34,200,45.0,45.0,-0.1
lee2019,cho2017,physionet_pivot_dataset,35,200,42.0,42.0,-0.16
lee2019,cho2017,physionet_pivot_dataset,36,200,71.0,71.0,0.42
lee2019,cho2017,physionet_pivot_dataset,37,200,50.0,50.0,0.0
lee2019,cho2017,physionet_pivot_dataset,38,200,50.0,50.0,0.0
lee2019,cho2017,physionet_pivot_dataset,39,200,57.0,57.0,0.14
lee2019,cho2017,physionet_pivot_dataset,40,200,51.5,51.5,0.03
lee2019,cho2017,physionet_pivot_dataset,41,200,76.5,76.5,0.53
lee2019,cho2017,physionet_pivot_dataset,42,200,63.0,63.0,0.26
lee2019,cho2017,physionet_pivot_dataset,43,200,58.5,58.5,0.17
lee2019,cho2017,physionet_pivot_dataset,44,200,54.5,54.5,0.09
lee2019,cho2017,physionet_pivot_dataset,45,200,51.5,51.5,0.03
lee2019,cho2017,physionet_pivot_dataset,46,240,56.67,56.67,0.133
lee2019,cho2017,physionet_pivot_dataset,47,200,62.0,62.0,0.24
lee2019,cho2017,physionet_pivot_dataset,48,200,79.5,79.5,0.59
lee2019,cho2017,physionet_pivot_dataset,49,200,62.5,62.5,0.25
lee2019,cho2017,physionet_pivot_dataset,50,200,52.0,52.0,0.04
lee2019,cho2017,physionet_pivot_dataset,51,200,62.5,62.5,0.25
lee2019,cho2017,physionet_pivot_dataset,52,200,58.0,58.0,0.16
