train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
cho2017,lee2019,base,1,200,73.0,74.41,72.61,73.0,0.46
cho2017,lee2019,base,2,200,71.5,71.99,71.34,71.5,0.43
cho2017,lee2019,base,3,200,84.5,84.59,84.49,84.5,0.69
cho2017,lee2019,base,4,200,63.5,64.56,62.82,63.5,0.27
cho2017,lee2019,base,5,200,79.5,79.53,79.5,79.5,0.59
cho2017,lee2019,base,6,200,62.0,62.04,61.97,62.0,0.24
cho2017,lee2019,base,7,200,59.5,59.62,59.38,59.5,0.19
cho2017,lee2019,base,8,200,69.5,69.6,69.46,69.5,0.39
cho2017,lee2019,base,9,200,75.0,75.04,74.99,75.0,0.5
cho2017,lee2019,base,10,200,61.5,61.59,61.42,61.5,0.23
cho2017,lee2019,base,11,200,51.0,51.03,50.68,51.0,0.02
cho2017,lee2019,base,12,200,67.0,67.06,66.97,67.0,0.34
cho2017,lee2019,base,13,200,62.0,62.04,61.97,62.0,0.24
cho2017,lee2019,base,14,200,66.0,66.32,65.83,66.0,0.32
cho2017,lee2019,base,15,200,52.0,52.2,50.9,52.0,0.04
cho2017,lee2019,base,16,200,59.0,59.55,58.4,59.0,0.18
cho2017,lee2019,base,17,200,74.0,74.09,73.98,74.0,0.48
cho2017,lee2019,base,18,200,88.0,88.0,88.0,88.0,0.76
cho2017,lee2019,base,19,200,79.0,79.05,78.99,79.0,0.58
cho2017,lee2019,base,20,200,58.5,58.82,58.12,58.5,0.17
cho2017,lee2019,base,21,200,92.5,92.71,92.49,92.5,0.85
cho2017,lee2019,base,22,200,69.0,69.19,68.92,69.0,0.38
cho2017,lee2019,base,23,200,76.5,76.57,76.49,76.5,0.53
cho2017,lee2019,base,24,200,52.0,52.01,51.92,52.0,0.04
cho2017,lee2019,base,25,200,60.0,60.33,59.67,60.0,0.2
cho2017,lee2019,base,26,200,63.0,63.08,62.94,63.0,0.26
cho2017,lee2019,base,27,200,48.0,47.7,46.26,48.0,-0.04
cho2017,lee2019,base,28,200,80.5,80.53,80.5,80.5,0.61
cho2017,lee2019,base,29,200,77.5,80.03,77.02,77.5,0.55
cho2017,lee2019,base,30,200,58.0,58.12,57.85,58.0,0.16
cho2017,lee2019,base,31,200,66.5,66.5,66.5,66.5,0.33
cho2017,lee2019,base,32,200,93.0,93.02,93.0,93.0,0.86
cho2017,lee2019,base,33,200,87.5,87.96,87.46,87.5,0.75
cho2017,lee2019,base,34,200,53.0,54.23,49.3,53.0,0.06
cho2017,lee2019,base,35,200,52.0,52.01,51.96,52.0,0.04
cho2017,lee2019,base,36,200,97.0,97.08,97.0,97.0,0.94
cho2017,lee2019,base,37,200,90.0,90.06,90.0,90.0,0.8
cho2017,lee2019,base,38,200,61.0,62.86,59.54,61.0,0.22
cho2017,lee2019,base,39,200,84.0,84.05,83.99,84.0,0.68
cho2017,lee2019,base,40,200,59.0,59.01,58.98,59.0,0.18
cho2017,lee2019,base,41,200,62.5,62.51,62.49,62.5,0.25
cho2017,lee2019,base,42,200,67.0,67.45,66.79,67.0,0.34
cho2017,lee2019,base,43,200,73.5,74.04,73.35,73.5,0.47
cho2017,lee2019,base,44,200,84.5,85.79,84.36,84.5,0.69
cho2017,lee2019,base,45,200,86.0,86.95,85.91,86.0,0.72
cho2017,lee2019,base,46,200,73.0,73.23,72.93,73.0,0.46
cho2017,lee2019,base,47,200,68.5,68.52,68.49,68.5,0.37
cho2017,lee2019,base,48,200,57.0,57.05,56.93,57.0,0.14
cho2017,lee2019,base,49,200,76.5,76.82,76.43,76.5,0.53
cho2017,lee2019,base,50,200,51.0,51.01,50.92,51.0,0.02
cho2017,lee2019,base,51,200,58.5,58.5,58.5,58.5,0.17
cho2017,lee2019,base,52,200,68.0,68.01,68.0,68.0,0.36
cho2017,lee2019,base,53,200,64.0,64.2,63.87,64.0,0.28
cho2017,lee2019,base,54,200,58.0,58.16,57.79,58.0,0.16
