train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
lee2019,cho2017,base,1,200,72.5,72.89,72.38,72.5,0.45
lee2019,cho2017,base,2,200,53.0,53.04,52.83,53.0,0.06
lee2019,cho2017,base,3,200,91.0,91.26,90.99,91.0,0.82
lee2019,cho2017,base,4,200,82.0,82.12,81.98,82.0,0.64
lee2019,cho2017,base,5,200,62.5,62.56,62.45,62.5,0.25
lee2019,cho2017,base,6,200,57.0,57.07,56.89,57.0,0.14
lee2019,cho2017,base,7,240,55.42,56.4,53.64,55.42,0.108
lee2019,cho2017,base,8,200,59.5,59.58,59.42,59.5,0.19
lee2019,cho2017,base,9,240,67.5,67.82,67.35,67.5,0.35
lee2019,cho2017,base,10,200,78.0,78.0,78.0,78.0,0.56
lee2019,cho2017,base,11,200,63.5,63.53,63.48,63.5,0.27
lee2019,cho2017,base,12,200,75.0,75.84,74.8,75.0,0.5
lee2019,cho2017,base,13,200,46.5,46.5,46.49,46.5,-0.07
lee2019,cho2017,base,14,200,96.0,96.17,96.0,96.0,0.92
lee2019,cho2017,base,15,200,67.5,67.52,67.49,67.5,0.35
lee2019,cho2017,base,16,200,61.5,61.7,61.34,61.5,0.23
lee2019,cho2017,base,17,200,50.0,50.0,49.87,50.0,0.0
lee2019,cho2017,base,18,200,61.0,61.02,60.98,61.0,0.22
lee2019,cho2017,base,19,200,66.5,66.54,66.48,66.5,0.33
lee2019,cho2017,base,20,200,68.5,68.5,68.5,68.5,0.37
lee2019,cho2017,base,21,200,69.0,69.38,68.85,69.0,0.38
lee2019,cho2017,base,22,200,71.0,71.08,70.97,71.0,0.42
lee2019,cho2017,base,23,200,78.0,78.18,77.96,78.0,0.56
lee2019,cho2017,base,24,200,70.5,70.6,70.46,70.5,0.41
lee2019,cho2017,base,25,200,68.0,68.18,67.92,68.0,0.36
lee2019,cho2017,base,26,200,56.0,58.74,52.26,56.0,0.12
lee2019,cho2017,base,27,200,60.5,60.51,60.49,60.5,0.21
lee2019,cho2017,base,28,200,47.5,47.36,46.8,47.5,-0.05
lee2019,cho2017,base,29,200,55.5,55.63,55.25,55.5,0.11
lee2019,cho2017,base,30,200,70.5,70.67,70.44,70.5,0.41
lee2019,cho2017,base,31,200,60.0,60.2,59.8,60.0,0.2
lee2019,cho2017,base,32,200,45.0,44.98,44.95,45.0,-0.1
lee2019,cho2017,base,33,200,61.5,61.7,61.34,61.5,0.23
lee2019,cho2017,base,34,200,46.5,46.37,46.01,46.5,-0.07
lee2019,cho2017,base,35,200,43.5,43.5,43.5,43.5,-0.13
lee2019,cho2017,base,36,200,72.0,73.12,71.66,72.0,0.44
lee2019,cho2017,base,37,200,55.0,55.01,54.98,55.0,0.1
lee2019,cho2017,base,38,200,59.0,59.0,59.0,59.0,0.18
lee2019,cho2017,base,39,200,68.0,68.12,67.95,68.0,0.36
lee2019,cho2017,base,40,200,51.0,51.0,51.0,51.0,0.02
lee2019,cho2017,base,41,200,87.0,87.0,87.0,87.0,0.74
lee2019,cho2017,base,42,200,65.5,65.51,65.49,65.5,0.31
lee2019,cho2017,base,43,200,94.5,94.72,94.49,94.5,0.89
lee2019,cho2017,base,44,200,67.5,73.65,65.24,67.5,0.35
lee2019,cho2017,base,45,200,55.5,55.66,55.18,55.5,0.11
lee2019,cho2017,base,46,240,70.83,70.93,70.8,70.83,0.417
lee2019,cho2017,base,47,200,63.5,64.56,62.82,63.5,0.27
lee2019,cho2017,base,48,200,86.0,86.01,86.0,86.0,0.72
lee2019,cho2017,base,49,200,59.5,59.51,59.49,59.5,0.19
lee2019,cho2017,base,50,200,57.0,57.03,56.96,57.0,0.14
lee2019,cho2017,base,51,200,59.0,59.18,58.8,59.0,0.18
lee2019,cho2017,base,52,200,77.0,77.04,76.99,77.0,0.54
