train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
cho2017,lee2019,session_ea,1,200,74.5,76.75,73.95,74.5,0.49
cho2017,lee2019,session_ea,2,200,85.5,85.5,85.5,85.5,0.71
cho2017,lee2019,session_ea,3,200,90.0,90.02,90.0,90.0,0.8
cho2017,lee2019,session_ea,4,200,64.5,65.83,63.74,64.5,0.29
cho2017,lee2019,session_ea,5,200,86.0,86.72,85.93,86.0,0.72
cho2017,lee2019,session_ea,6,200,63.0,63.05,62.97,63.0,0.26
cho2017,lee2019,session_ea,7,200,59.0,59.0,59.0,59.0,0.18
cho2017,lee2019,session_ea,8,200,70.0,70.0,70.0,70.0,0.4
cho2017,lee2019,session_ea,9,200,78.5,78.64,78.47,78.5,0.57
cho2017,lee2019,session_ea,10,200,62.5,62.6,62.42,62.5,0.25
cho2017,lee2019,session_ea,11,200,48.5,48.5,48.47,48.5,-0.03
cho2017,lee2019,session_ea,12,200,70.5,70.5,70.5,70.5,0.41
cho2017,lee2019,session_ea,13,200,62.5,63.08,62.08,62.5,0.25
cho2017,lee2019,session_ea,14,200,67.5,67.8,67.36,67.5,0.35
cho2017,lee2019,session_ea,15,200,57.5,58.55,56.16,57.5,0.15
cho2017,lee2019,session_ea,16,200,63.5,63.67,63.39,63.5,0.27
cho2017,lee2019,session_ea,17,200,76.5,76.82,76.43,76.5,0.53
cho2017,lee2019,session_ea,18,200,89.0,89.25,88.98,89.0,0.78
cho2017,lee2019,session_ea,19,200,80.0,80.01,80.0,80.0,0.6
cho2017,lee2019,session_ea,20,200,63.5,66.93,61.55,63.5,0.27
cho2017,lee2019,session_ea,21,200,93.0,93.28,92.99,93.0,0.86
cho2017,lee2019,session_ea,22,200,75.0,75.04,74.99,75.0,0.5
cho2017,lee2019,session_ea,23,200,89.0,89.02,89.0,89.0,0.78
cho2017,lee2019,session_ea,24,200,56.0,57.29,53.97,56.0,0.12
cho2017,lee2019,session_ea,25,200,61.0,62.44,59.84,61.0,0.22
cho2017,lee2019,session_ea,26,200,65.0,65.02,64.99,65.0,0.3
cho2017,lee2019,session_ea,27,200,45.5,42.83,39.91,45.5,-0.09
cho2017,lee2019,session_ea,28,200,85.5,85.59,85.49,85.5,0.71
cho2017,lee2019,session_ea,29,200,76.0,78.97,75.37,76.0,0.52
cho2017,lee2019,session_ea,30,200,59.0,65.24,54.32,59.0,0.18
cho2017,lee2019,session_ea,31,200,67.0,67.06,66.97,67.0,0.34
cho2017,lee2019,session_ea,32,200,95.0,95.16,95.0,95.0,0.9
cho2017,lee2019,session_ea,33,200,87.0,87.37,86.97,87.0,0.74
cho2017,lee2019,session_ea,34,200,52.5,54.54,46.5,52.5,0.05
cho2017,lee2019,session_ea,35,200,49.0,41.41,34.54,49.0,-0.02
cho2017,lee2019,session_ea,36,200,96.5,96.62,96.5,96.5,0.93
cho2017,lee2019,session_ea,37,200,90.5,90.6,90.49,90.5,0.81
cho2017,lee2019,session_ea,38,200,63.0,64.29,62.15,63.0,0.26
cho2017,lee2019,session_ea,39,200,85.0,85.0,85.0,85.0,0.7
cho2017,lee2019,session_ea,40,200,65.0,65.02,64.99,65.0,0.3
cho2017,lee2019,session_ea,41,200,61.0,61.8,60.33,61.0,0.22
cho2017,lee2019,session_ea,42,200,69.5,69.5,69.5,69.5,0.39
cho2017,lee2019,session_ea,43,200,71.0,72.79,70.42,71.0,0.42
cho2017,lee2019,session_ea,44,200,88.5,89.39,88.43,88.5,0.77
cho2017,lee2019,session_ea,45,200,84.5,86.8,84.25,84.5,0.69
cho2017,lee2019,session_ea,46,200,72.5,72.61,72.47,72.5,0.45
cho2017,lee2019,session_ea,47,200,65.5,65.63,65.43,65.5,0.31
cho2017,lee2019,session_ea,48,200,59.0,59.0,59.0,59.0,0.18
cho2017,lee2019,session_ea,49,200,77.0,77.0,77.0,77.0,0.54
cho2017,lee2019,session_ea,50,200,55.0,56.67,52.0,55.0,0.1
cho2017,lee2019,session_ea,51,200,61.0,61.16,60.86,61.0,0.22
cho2017,lee2019,session_ea,52,200,69.5,69.6,69.46,69.5,0.39
cho2017,lee2019,session_ea,53,200,63.0,63.79,62.46,63.0,0.26
cho2017,lee2019,session_ea,54,200,55.0,55.25,54.45,55.0,0.1
