train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,feature_coral,1,200,69.0,69.0,0.38
lee2019,cho2017,feature_coral,2,200,55.0,55.0,0.1
lee2019,cho2017,feature_coral,3,200,84.5,84.5,0.69
lee2019,cho2017,feature_coral,4,200,82.5,82.5,0.65
lee2019,cho2017,feature_coral,5,200,63.5,63.5,0.27
lee2019,cho2017,feature_coral,6,200,60.5,60.5,0.21
lee2019,cho2017,feature_coral,7,240,51.25,51.25,0.025
lee2019,cho2017,feature_coral,8,200,60.5,60.5,0.21
lee2019,cho2017,feature_coral,9,240,65.42,65.42,0.308
lee2019,cho2017,feature_coral,10,200,76.5,76.5,0.53
lee2019,cho2017,feature_coral,11,200,63.5,63.5,0.27
lee2019,cho2017,feature_coral,12,200,74.5,74.5,0.49
lee2019,cho2017,feature_coral,13,200,49.5,49.5,-0.01
lee2019,cho2017,feature_coral,14,200,91.5,91.5,0.83
lee2019,cho2017,feature_coral,15,200,71.0,71.0,0.42
lee2019,cho2017,feature_coral,16,200,61.5,61.5,0.23
lee2019,cho2017,feature_coral,17,200,51.0,51.0,0.02
lee2019,cho2017,feature_coral,18,200,63.0,63.0,0.26
lee2019,cho2017,feature_coral,19,200,69.0,69.0,0.38
lee2019,cho2017,feature_coral,20,200,69.0,69.0,0.38
lee2019,cho2017,feature_coral,21,200,72.0,72.0,0.44
lee2019,cho2017,feature_coral,22,200,72.5,72.5,0.45
lee2019,cho2017,feature_coral,23,200,80.0,80.0,0.6
lee2019,cho2017,feature_coral,24,200,70.0,70.0,0.4
lee2019,cho2017,feature_coral,25,200,65.5,65.5,0.31
lee2019,cho2017,feature_coral,26,200,60.0,60.0,0.2
lee2019,cho2017,feature_coral,27,200,59.0,59.0,0.18
lee2019,cho2017,feature_coral,28,200,48.5,48.5,-0.03
lee2019,cho2017,feature_coral,29,200,53.0,53.0,0.06
lee2019,cho2017,feature_coral,30,200,71.5,71.5,0.43
lee2019,cho2017,feature_coral,31,200,68.0,68.0,0.36
lee2019,cho2017,feature_coral,32,200,45.0,45.0,-0.1
lee2019,cho2017,feature_coral,33,200,60.5,60.5,0.21
lee2019,cho2017,feature_coral,34,200,46.5,46.5,-0.07
lee2019,cho2017,feature_coral,35,200,42.5,42.5,-0.15
lee2019,cho2017,feature_coral,36,200,70.0,70.0,0.4
lee2019,cho2017,feature_coral,37,200,56.5,56.5,0.13
lee2019,cho2017,feature_coral,38,200,61.0,61.0,0.22
lee2019,cho2017,feature_coral,39,200,71.5,71.5,0.43
lee2019,cho2017,feature_coral,40,200,48.5,48.5,-0.03
lee2019,cho2017,feature_coral,41,200,81.0,81.0,0.62
lee2019,cho2017,feature_coral,42,200,65.0,65.0,0.3
lee2019,cho2017,feature_coral,43,200,95.5,95.5,0.91
lee2019,cho2017,feature_coral,44,200,72.5,72.5,0.45
lee2019,cho2017,feature_coral,45,200,58.5,58.5,0.17
lee2019,cho2017,feature_coral,46,240,68.33,68.33,0.367
lee2019,cho2017,feature_coral,47,200,67.0,67.0,0.34
lee2019,cho2017,feature_coral,48,200,83.5,83.5,0.67
lee2019,cho2017,feature_coral,49,200,63.5,63.5,0.27
lee2019,cho2017,feature_coral,50,200,57.0,57.0,0.14
lee2019,cho2017,feature_coral,51,200,62.0,62.0,0.24
lee2019,cho2017,feature_coral,52,200,77.5,77.5,0.55
