train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,mmd_resample,1,200,71.5,71.5,0.43
lee2019,cho2017,mmd_resample,2,200,52.0,52.0,0.04
lee2019,cho2017,mmd_resample,3,200,90.0,90.0,0.8
lee2019,cho2017,mmd_resample,4,200,82.5,82.5,0.65
lee2019,cho2017,mmd_resample,5,200,62.5,62.5,0.25
lee2019,cho2017,mmd_resample,6,200,55.5,55.5,0.11
lee2019,cho2017,mmd_resample,7,240,55.0,55.0,0.1
lee2019,cho2017,mmd_resample,8,200,60.0,60.0,0.2
lee2019,cho2017,mmd_resample,9,240,67.5,67.5,0.35
lee2019,cho2017,mmd_resample,10,200,78.5,78.5,0.57
lee2019,cho2017,mmd_resample,11,200,62.0,62.0,0.24
lee2019,cho2017,mmd_resample,12,200,75.0,75.0,0.5
lee2019,cho2017,mmd_resample,13,200,45.5,45.5,-0.09
lee2019,cho2017,mmd_resample,14,200,95.5,95.5,0.91
lee2019,cho2017,mmd_resample,15,200,70.0,70.0,0.4
lee2019,cho2017,mmd_resample,16,200,61.5,61.5,0.23
lee2019,cho2017,mmd_resample,17,200,51.0,51.0,0.02
lee2019,cho2017,mmd_resample,18,200,60.5,60.5,0.21
lee2019,cho2017,mmd_resample,19,200,66.0,66.0,0.32
lee2019,cho2017,mmd_resample,20,200,67.5,67.5,0.35
lee2019,cho2017,mmd_resample,21,200,67.0,67.0,0.34
lee2019,cho2017,mmd_resample,22,200,71.5,71.5,0.43
lee2019,cho2017,mmd_resample,23,200,78.5,78.5,0.57
lee2019,cho2017,mmd_resample,24,200,71.0,71.0,0.42
lee2019,cho2017,mmd_resample,25,200,67.5,67.5,0.35
lee2019,cho2017,mmd_resample,26,200,59.0,59.0,0.18
lee2019,cho2017,mmd_resample,27,200,60.5,60.5,0.21
lee2019,cho2017,mmd_resample,28,200,47.5,47.5,-0.05
lee2019,cho2017,mmd_resample,29,200,56.0,56.0,0.12
lee2019,cho2017,mmd_resample,30,200,70.5,70.5,0.41
lee2019,cho2017,mmd_resample,31,200,60.0,60.0,0.2
lee2019,cho2017,mmd_resample,32,200,44.5,44.5,-0.11
lee2019,cho2017,mmd_resample,33,200,61.0,61.0,0.22
lee2019,cho2017,mmd_resample,34,200,46.0,46.0,-0.08
lee2019,cho2017,mmd_resample,35,200,42.0,42.0,-0.16
lee2019,cho2017,mmd_resample,36,200,71.0,71.0,0.42
lee2019,cho2017,mmd_resample,37,200,56.0,56.0,0.12
lee2019,cho2017,mmd_resample,38,200,60.0,60.0,0.2
lee2019,cho2017,mmd_resample,39,200,66.0,66.0,0.32
lee2019,cho2017,mmd_resample,40,200,48.5,48.5,-0.03
lee2019,cho2017,mmd_resample,41,200,87.0,87.0,0.74
lee2019,cho2017,mmd_resample,42,200,62.5,62.5,0.25
lee2019,cho2017,mmd_resample,43,200,94.5,94.5,0.89
lee2019,cho2017,mmd_resample,44,200,69.5,69.5,0.39
lee2019,cho2017,mmd_resample,45,200,55.5,55.5,0.11
lee2019,cho2017,mmd_resample,46,240,69.58,69.58,0.392
lee2019,cho2017,mmd_resample,47,200,64.0,64.0,0.28
lee2019,cho2017,mmd_resample,48,200,87.0,87.0,0.74
lee2019,cho2017,mmd_resample,49,200,60.0,60.0,0.2
lee2019,cho2017,mmd_resample,50,200,58.0,58.0,0.16
lee2019,cho2017,mmd_resample,51,200,59.0,59.0,0.18
lee2019,cho2017,mmd_resample,52,200,80.0,80.0,0.6
