train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,session_ea_feature_coral_mmd_resample,1,200,70.0,70.0,0.4
lee2019,cho2017,session_ea_feature_coral_mmd_resample,2,200,57.0,57.0,0.14
lee2019,cho2017,session_ea_feature_coral_mmd_resample,3,200,82.5,82.5,0.65
lee2019,cho2017,session_ea_feature_coral_mmd_resample,4,200,82.0,82.0,0.64
lee2019,cho2017,session_ea_feature_coral_mmd_resample,5,200,60.5,60.5,0.21
lee2019,cho2017,session_ea_feature_coral_mmd_resample,6,200,59.0,59.0,0.18
lee2019,cho2017,session_ea_feature_coral_mmd_resample,7,240,51.25,51.25,0.025
lee2019,cho2017,session_ea_feature_coral_mmd_resample,8,200,61.0,61.0,0.22
lee2019,cho2017,session_ea_feature_coral_mmd_resample,9,240,66.25,66.25,0.325
lee2019,cho2017,session_ea_feature_coral_mmd_resample,10,200,77.5,77.5,0.55
lee2019,cho2017,session_ea_feature_coral_mmd_resample,11,200,63.5,63.5,0.27
lee2019,cho2017,session_ea_feature_coral_mmd_resample,12,200,77.0,77.0,0.54
lee2019,cho2017,session_ea_feature_coral_mmd_resample,13,200,51.5,51.5,0.03
lee2019,cho2017,session_ea_feature_coral_mmd_resample,14,200,86.5,86.5,0.73
lee2019,cho2017,session_ea_feature_coral_mmd_resample,15,200,72.5,72.5,0.45
lee2019,cho2017,session_ea_feature_coral_mmd_resample,16,200,61.0,61.0,0.22
lee2019,cho2017,session_ea_feature_coral_mmd_resample,17,200,53.0,53.0,0.06
lee2019,cho2017,session_ea_feature_coral_mmd_resample,18,200,63.0,63.0,0.26
lee2019,cho2017,session_ea_feature_coral_mmd_resample,19,200,68.0,68.0,0.36
lee2019,cho2017,session_ea_feature_coral_mmd_resample,20,200,70.0,70.0,0.4
lee2019,cho2017,session_ea_feature_coral_mmd_resample,21,200,71.5,71.5,0.43
lee2019,cho2017,session_ea_feature_coral_mmd_resample,22,200,73.0,73.0,0.46
lee2019,cho2017,session_ea_feature_coral_mmd_resample,23,200,79.0,79.0,0.58
lee2019,cho2017,session_ea_feature_coral_mmd_resample,24,200,72.5,72.5,0.45
lee2019,cho2017,session_ea_feature_coral_mmd_resample,25,200,64.5,64.5,0.29
lee2019,cho2017,session_ea_feature_coral_mmd_resample,26,200,57.0,57.0,0.14
lee2019,cho2017,session_ea_feature_coral_mmd_resample,27,200,60.0,60.0,0.2
lee2019,cho2017,session_ea_feature_coral_mmd_resample,28,200,49.0,49.0,-0.02
lee2019,cho2017,session_ea_feature_coral_mmd_resample,29,200,51.0,51.0,0.02
lee2019,cho2017,session_ea_feature_coral_mmd_resample,30,200,70.5,70.5,0.41
lee2019,cho2017,session_ea_feature_coral_mmd_resample,31,200,69.5,69.5,0.39
lee2019,cho2017,session_ea_feature_coral_mmd_resample,32,200,48.5,48.5,-0.03
lee2019,cho2017,session_ea_feature_coral_mmd_resample,33,200,59.5,59.5,0.19
lee2019,cho2017,session_ea_feature_coral_mmd_resample,34,200,49.0,49.0,-0.02
lee2019,cho2017,session_ea_feature_coral_mmd_resample,35,200,39.5,39.5,-0.21
lee2019,cho2017,session_ea_feature_coral_mmd_resample,36,200,75.5,75.5,0.51
lee2019,cho2017,session_ea_feature_coral_mmd_resample,37,200,55.5,55.5,0.11
lee2019,cho2017,session_ea_feature_coral_mmd_resample,38,200,62.5,62.5,0.25
lee2019,cho2017,session_ea_feature_coral_mmd_resample,39,200,71.5,71.5,0.43
lee2019,cho2017,session_ea_feature_coral_mmd_resample,40,200,48.0,48.0,-0.04
lee2019,cho2017,session_ea_feature_coral_mmd_resample,41,200,80.5,80.5,0.61
lee2019,cho2017,session_ea_feature_coral_mmd_resample,42,200,62.0,62.0,0.24
lee2019,cho2017,session_ea_feature_coral_mmd_resample,43,200,95.0,95.0,0.9
lee2019,cho2017,session_ea_feature_coral_mmd_resample,44,200,75.5,75.5,0.51
lee2019,cho2017,session_ea_feature_coral_mmd_resample,45,200,62.0,62.0,0.24
lee2019,cho2017,session_ea_feature_coral_mmd_resample,46,240,69.17,69.17,0.383
lee2019,cho2017,session_ea_feature_coral_mmd_resample,47,200,69.0,69.0,0.38
lee2019,cho2017,session_ea_feature_coral_mmd_resample,48,200,83.0,83.0,0.66
lee2019,cho2017,session_ea_feature_coral_mmd_resample,49,200,63.5,63.5,0.27
lee2019,cho2017,session_ea_feature_coral_mmd_resample,50,200,56.5,56.5,0.13
lee2019,cho2017,session_ea_feature_coral_mmd_resample,51,200,61.0,61.0,0.22
lee2019,cho2017,session_ea_feature_coral_mmd_resample,52,200,77.0,77.0,0.54
