train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,session_ea_mmd_resample,1,200,75.0,75.0,0.5
cho2017,lee2019,session_ea_mmd_resample,2,200,85.0,85.0,0.7
cho2017,lee2019,session_ea_mmd_resample,3,200,90.0,90.0,0.8
cho2017,lee2019,session_ea_mmd_resample,4,200,66.0,66.0,0.32
cho2017,lee2019,session_ea_mmd_resample,5,200,85.5,85.5,0.71
cho2017,lee2019,session_ea_mmd_resample,6,200,63.5,63.5,0.27
cho2017,lee2019,session_ea_mmd_resample,7,200,61.5,61.5,0.23
cho2017,lee2019,session_ea_mmd_resample,8,200,70.5,70.5,0.41
cho2017,lee2019,session_ea_mmd_resample,9,200,79.0,79.0,0.58
cho2017,lee2019,session_ea_mmd_resample,10,200,62.5,62.5,0.25
cho2017,lee2019,session_ea_mmd_resample,11,200,47.0,47.0,-0.06
cho2017,lee2019,session_ea_mmd_resample,12,200,70.5,70.5,0.41
cho2017,lee2019,session_ea_mmd_resample,13,200,64.0,64.0,0.28
cho2017,lee2019,session_ea_mmd_resample,14,200,67.0,67.0,0.34
cho2017,lee2019,session_ea_mmd_resample,15,200,57.5,57.5,0.15
cho2017,lee2019,session_ea_mmd_resample,16,200,62.0,62.0,0.24
cho2017,lee2019,session_ea_mmd_resample,17,200,74.0,74.0,0.48
cho2017,lee2019,session_ea_mmd_resample,18,200,86.5,86.5,0.73
cho2017,lee2019,session_ea_mmd_resample,19,200,81.5,81.5,0.63
cho2017,lee2019,session_ea_mmd_resample,20,200,63.5,63.5,0.27
cho2017,lee2019,session_ea_mmd_resample,21,200,92.5,92.5,0.85
cho2017,lee2019,session_ea_mmd_resample,22,200,75.0,75.0,0.5
cho2017,lee2019,session_ea_mmd_resample,23,200,87.5,87.5,0.75
cho2017,lee2019,session_ea_mmd_resample,24,200,55.5,55.5,0.11
cho2017,lee2019,session_ea_mmd_resample,25,200,60.5,60.5,0.21
cho2017,lee2019,session_ea_mmd_resample,26,200,64.5,64.5,0.29
cho2017,lee2019,session_ea_mmd_resample,27,200,46.0,46.0,-0.08
cho2017,lee2019,session_ea_mmd_resample,28,200,82.5,82.5,0.65
cho2017,lee2019,session_ea_mmd_resample,29,200,79.0,79.0,0.58
cho2017,lee2019,session_ea_mmd_resample,30,200,58.5,58.5,0.17
cho2017,lee2019,session_ea_mmd_resample,31,200,67.0,67.0,0.34
cho2017,lee2019,session_ea_mmd_resample,32,200,95.5,95.5,0.91
cho2017,lee2019,session_ea_mmd_resample,33,200,87.0,87.0,0.74
cho2017,lee2019,session_ea_mmd_resample,34,200,53.0,53.0,0.06
cho2017,lee2019,session_ea_mmd_resample,35,200,50.0,50.0,0.0
cho2017,lee2019,session_ea_mmd_resample,36,200,95.5,95.5,0.91
cho2017,lee2019,session_ea_mmd_resample,37,200,91.0,91.0,0.82
cho2017,lee2019,session_ea_mmd_resample,38,200,61.0,61.0,0.22
cho2017,lee2019,session_ea_mmd_resample,39,200,83.5,83.5,0.67
cho2017,lee2019,session_ea_mmd_resample,40,200,63.5,63.5,0.27
cho2017,lee2019,session_ea_mmd_resample,41,200,62.0,62.0,0.24
cho2017,lee2019,session_ea_mmd_resample,42,200,69.5,69.5,0.39
cho2017,lee2019,session_ea_mmd_resample,43,200,72.0,72.0,0.44
cho2017,lee2019,session_ea_mmd_resample,44,200,89.0,89.0,0.78
cho2017,lee2019,session_ea_mmd_resample,45,200,84.5,84.5,0.69
cho2017,lee2019,session_ea_mmd_resample,46,200,73.0,73.0,0.46
cho2017,lee2019,session_ea_mmd_resample,47,200,65.5,65.5,0.31
cho2017,lee2019,session_ea_mmd_resample,48,200,59.5,59.5,0.19
cho2017,lee2019,session_ea_mmd_resample,49,200,77.0,77.0,0.54
cho2017,lee2019,session_ea_mmd_resample,50,200,56.5,56.5,0.13
cho2017,lee2019,session_ea_mmd_resample,51,200,61.0,61.0,0.22
cho2017,lee2019,session_ea_mmd_resample,52,200,68.0,68.0,0.36
cho2017,lee2019,session_ea_mmd_resample,53,200,63.5,63.5,0.27
cho2017,lee2019,session_ea_mmd_resample,54,200,55.0,55.0,0.1
