train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,session_ea_mmd_resample,1,200,71.0,71.0,0.42
lee2019,cho2017,session_ea_mmd_resample,2,200,54.0,54.0,0.08
lee2019,cho2017,session_ea_mmd_resample,3,200,89.0,89.0,0.78
lee2019,cho2017,session_ea_mmd_resample,4,200,82.5,82.5,0.65
lee2019,cho2017,session_ea_mmd_resample,5,200,58.5,58.5,0.17
lee2019,cho2017,session_ea_mmd_resample,6,200,57.5,57.5,0.15
lee2019,cho2017,session_ea_mmd_resample,7,240,54.58,54.58,0.092
lee2019,cho2017,session_ea_mmd_resample,8,200,59.0,59.0,0.18
lee2019,cho2017,session_ea_mmd_resample,9,240,65.0,65.0,0.3
lee2019,cho2017,session_ea_mmd_resample,10,200,78.5,78.5,0.57
lee2019,cho2017,session_ea_mmd_resample,11,200,63.0,63.0,0.26
lee2019,cho2017,session_ea_mmd_resample,12,200,75.0,75.0,0.5
lee2019,cho2017,session_ea_mmd_resample,13,200,46.0,46.0,-0.08
lee2019,cho2017,session_ea_mmd_resample,14,200,95.5,95.5,0.91
lee2019,cho2017,session_ea_mmd_resample,15,200,72.0,72.0,0.44
lee2019,cho2017,session_ea_mmd_resample,16,200,59.5,59.5,0.19
lee2019,cho2017,session_ea_mmd_resample,17,200,52.5,52.5,0.05
lee2019,cho2017,session_ea_mmd_resample,18,200,60.5,60.5,0.21
lee2019,cho2017,session_ea_mmd_resample,19,200,65.5,65.5,0.31
lee2019,cho2017,session_ea_mmd_resample,20,200,68.5,68.5,0.37
lee2019,cho2017,session_ea_mmd_resample,21,200,68.0,68.0,0.36
lee2019,cho2017,session_ea_mmd_resample,22,200,70.5,70.5,0.41
lee2019,cho2017,session_ea_mmd_resample,23,200,79.5,79.5,0.59
lee2019,cho2017,session_ea_mmd_resample,24,200,74.5,74.5,0.49
lee2019,cho2017,session_ea_mmd_resample,25,200,66.0,66.0,0.32
lee2019,cho2017,session_ea_mmd_resample,26,200,61.0,61.0,0.22
lee2019,cho2017,session_ea_mmd_resample,27,200,59.0,59.0,0.18
lee2019,cho2017,session_ea_mmd_resample,28,200,48.5,48.5,-0.03
lee2019,cho2017,session_ea_mmd_resample,29,200,56.0,56.0,0.12
lee2019,cho2017,session_ea_mmd_resample,30,200,70.5,70.5,0.41
lee2019,cho2017,session_ea_mmd_resample,31,200,61.0,61.0,0.22
lee2019,cho2017,session_ea_mmd_resample,32,200,46.0,46.0,-0.08
lee2019,cho2017,session_ea_mmd_resample,33,200,58.5,58.5,0.17
lee2019,cho2017,session_ea_mmd_resample,34,200,46.0,46.0,-0.08
lee2019,cho2017,session_ea_mmd_resample,35,200,40.5,40.5,-0.19
lee2019,cho2017,session_ea_mmd_resample,36,200,72.0,72.0,0.44
lee2019,cho2017,session_ea_mmd_resample,37,200,55.5,55.5,0.11
lee2019,cho2017,session_ea_mmd_resample,38,200,62.5,62.5,0.25
lee2019,cho2017,session_ea_mmd_resample,39,200,69.0,69.0,0.38
lee2019,cho2017,session_ea_mmd_resample,40,200,49.5,49.5,-0.01
lee2019,cho2017,session_ea_mmd_resample,41,200,88.0,88.0,0.76
lee2019,cho2017,session_ea_mmd_resample,42,200,62.0,62.0,0.24
lee2019,cho2017,session_ea_mmd_resample,43,200,94.0,94.0,0.88
lee2019,cho2017,session_ea_mmd_resample,44,200,72.0,72.0,0.44
lee2019,cho2017,session_ea_mmd_resample,45,200,59.5,59.5,0.19
lee2019,cho2017,session_ea_mmd_resample,46,240,66.25,66.25,0.325
lee2019,cho2017,session_ea_mmd_resample,47,200,62.5,62.5,0.25
lee2019,cho2017,session_ea_mmd_resample,48,200,86.0,86.0,0.72
lee2019,cho2017,session_ea_mmd_resample,49,200,61.0,61.0,0.22
lee2019,cho2017,session_ea_mmd_resample,50,200,58.0,58.0,0.16
lee2019,cho2017,session_ea_mmd_resample,51,200,57.5,57.5,0.15
lee2019,cho2017,session_ea_mmd_resample,52,200,80.0,80.0,0.6
