train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,source_select_k10,1,200,74.0,74.0,0.48
cho2017,lee2019,source_select_k10,2,200,68.5,68.5,0.37
cho2017,lee2019,source_select_k10,3,200,90.5,90.5,0.81
cho2017,lee2019,source_select_k10,4,200,66.0,66.0,0.32
cho2017,lee2019,source_select_k10,5,200,78.5,78.5,0.57
cho2017,lee2019,source_select_k10,6,200,67.5,67.5,0.35
cho2017,lee2019,source_select_k10,7,200,53.0,53.0,0.06
cho2017,lee2019,source_select_k10,8,200,71.5,71.5,0.43
cho2017,lee2019,source_select_k10,9,200,76.0,76.0,0.52
cho2017,lee2019,source_select_k10,10,200,61.5,61.5,0.23
cho2017,lee2019,source_select_k10,11,200,50.5,50.5,0.01
cho2017,lee2019,source_select_k10,12,200,66.0,66.0,0.32
cho2017,lee2019,source_select_k10,13,200,66.0,66.0,0.32
cho2017,lee2019,source_select_k10,14,200,66.5,66.5,0.33
cho2017,lee2019,source_select_k10,15,200,53.5,53.5,0.07
cho2017,lee2019,source_select_k10,16,200,61.5,61.5,0.23
cho2017,lee2019,source_select_k10,17,200,68.0,68.0,0.36
cho2017,lee2019,source_select_k10,18,200,87.5,87.5,0.75
cho2017,lee2019,source_select_k10,19,200,79.5,79.5,0.59
cho2017,lee2019,source_select_k10,20,200,56.0,56.0,0.12
cho2017,lee2019,source_select_k10,21,200,93.0,93.0,0.86
cho2017,lee2019,source_select_k10,22,200,53.5,53.5,0.07
cho2017,lee2019,source_select_k10,23,200,79.5,79.5,0.59
cho2017,lee2019,source_select_k10,24,200,50.5,50.5,0.01
cho2017,lee2019,source_select_k10,25,200,61.5,61.5,0.23
cho2017,lee2019,source_select_k10,26,200,57.5,57.5,0.15
cho2017,lee2019,source_select_k10,27,200,55.5,55.5,0.11
cho2017,lee2019,source_select_k10,28,200,83.5,83.5,0.67
cho2017,lee2019,source_select_k10,29,200,65.0,65.0,0.3
cho2017,lee2019,source_select_k10,30,200,58.0,58.0,0.16
cho2017,lee2019,source_select_k10,31,200,70.5,70.5,0.41
cho2017,lee2019,source_select_k10,32,200,90.0,90.0,0.8
cho2017,lee2019,source_select_k10,33,200,85.5,85.5,0.71
cho2017,lee2019,source_select_k10,34,200,51.0,51.0,0.02
cho2017,lee2019,source_select_k10,35,200,52.5,52.5,0.05
cho2017,lee2019,source_select_k10,36,200,97.5,97.5,0.95
cho2017,lee2019,source_select_k10,37,200,86.0,86.0,0.72
cho2017,lee2019,source_select_k10,38,200,62.0,62.0,0.24
cho2017,lee2019,source_select_k10,39,200,72.0,72.0,0.44
cho2017,lee2019,source_select_k10,40,200,56.0,56.0,0.12
cho2017,lee2019,source_select_k10,41,200,63.5,63.5,0.27
cho2017,lee2019,source_select_k10,42,200,58.5,58.5,0.17
cho2017,lee2019,source_select_k10,43,200,73.0,73.0,0.46
cho2017,lee2019,source_select_k10,44,200,91.5,91.5,0.83
cho2017,lee2019,source_select_k10,45,200,80.0,80.0,0.6
cho2017,lee2019,source_select_k10,46,200,71.0,71.0,0.42
cho2017,lee2019,source_select_k10,47,200,69.5,69.5,0.39
cho2017,lee2019,source_select_k10,48,200,56.5,56.5,0.13
cho2017,lee2019,source_select_k10,49,200,80.5,80.5,0.61
cho2017,lee2019,source_select_k10,50,200,51.5,51.5,0.03
cho2017,lee2019,source_select_k10,51,200,58.0,58.0,0.16
cho2017,lee2019,source_select_k10,52,200,68.5,68.5,0.37
cho2017,lee2019,source_select_k10,53,200,64.0,64.0,0.28
cho2017,lee2019,source_select_k10,54,200,59.0,59.0,0.18
