train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,source_select_k30,1,200,66.0,66.0,0.32
lee2019,cho2017,source_select_k30,2,200,52.5,52.5,0.05
lee2019,cho2017,source_select_k30,3,200,88.5,88.5,0.77
lee2019,cho2017,source_select_k30,4,200,84.5,84.5,0.69
lee2019,cho2017,source_select_k30,5,200,60.5,60.5,0.21
lee2019,cho2017,source_select_k30,6,200,52.5,52.5,0.05
lee2019,cho2017,source_select_k30,7,240,50.83,50.83,0.017
lee2019,cho2017,source_select_k30,8,200,54.5,54.5,0.09
lee2019,cho2017,source_select_k30,9,240,66.25,66.25,0.325
lee2019,cho2017,source_select_k30,10,200,76.5,76.5,0.53
lee2019,cho2017,source_select_k30,11,200,63.0,63.0,0.26
lee2019,cho2017,source_select_k30,12,200,75.5,75.5,0.51
lee2019,cho2017,source_select_k30,13,200,46.0,46.0,-0.08
lee2019,cho2017,source_select_k30,14,200,96.0,96.0,0.92
lee2019,cho2017,source_select_k30,15,200,69.5,69.5,0.39
lee2019,cho2017,source_select_k30,16,200,62.0,62.0,0.24
lee2019,cho2017,source_select_k30,17,200,51.5,51.5,0.03
lee2019,cho2017,source_select_k30,18,200,62.0,62.0,0.24
lee2019,cho2017,source_select_k30,19,200,69.0,69.0,0.38
lee2019,cho2017,source_select_k30,20,200,69.5,69.5,0.39
lee2019,cho2017,source_select_k30,21,200,68.0,68.0,0.36
lee2019,cho2017,source_select_k30,22,200,69.5,69.5,0.39
lee2019,cho2017,source_select_k30,23,200,83.5,83.5,0.67
lee2019,cho2017,source_select_k30,24,200,71.5,71.5,0.43
lee2019,cho2017,source_select_k30,25,200,67.5,67.5,0.35
lee2019,cho2017,source_select_k30,26,200,56.5,56.5,0.13
lee2019,cho2017,source_select_k30,27,200,60.5,60.5,0.21
lee2019,cho2017,source_select_k30,28,200,47.5,47.5,-0.05
lee2019,cho2017,source_select_k30,29,200,54.5,54.5,0.09
lee2019,cho2017,source_select_k30,30,200,68.5,68.5,0.37
lee2019,cho2017,source_select_k30,31,200,67.5,67.5,0.35
lee2019,cho2017,source_select_k30,32,200,45.0,45.0,-0.1
lee2019,cho2017,source_select_k30,33,200,61.5,61.5,0.23
lee2019,cho2017,source_select_k30,34,200,47.0,47.0,-0.06
lee2019,cho2017,source_select_k30,35,200,42.5,42.5,-0.15
lee2019,cho2017,source_select_k30,36,200,75.5,75.5,0.51
lee2019,cho2017,source_select_k30,37,200,54.0,54.0,0.08
lee2019,cho2017,source_select_k30,38,200,59.0,59.0,0.18
lee2019,cho2017,source_select_k30,39,200,67.5,67.5,0.35
lee2019,cho2017,source_select_k30,40,200,49.0,49.0,-0.02
lee2019,cho2017,source_select_k30,41,200,87.5,87.5,0.75
lee2019,cho2017,source_select_k30,42,200,67.5,67.5,0.35
lee2019,cho2017,source_select_k30,43,200,93.0,93.0,0.86
lee2019,cho2017,source_select_k30,44,200,75.5,75.5,0.51
lee2019,cho2017,source_select_k30,45,200,56.0,56.0,0.12
lee2019,cho2017,source_select_k30,46,240,67.08,67.08,0.342
lee2019,cho2017,source_select_k30,47,200,66.0,66.0,0.32
lee2019,cho2017,source_select_k30,48,200,86.0,86.0,0.72
lee2019,cho2017,source_select_k30,49,200,58.0,58.0,0.16
lee2019,cho2017,source_select_k30,50,200,59.0,59.0,0.18
lee2019,cho2017,source_select_k30,51,200,60.0,60.0,0.2
lee2019,cho2017,source_select_k30,52,200,79.0,79.0,0.58
