train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,cspnet,1,200,70.5,70.5,0.41,76.5,76.5,0.53,,,,75.5,75.5,0.51,79.0,79.0,0.58
cho2017,lee2019,cspnet,2,200,51.0,51.0,0.02,59.5,59.5,0.19,,,,58.5,58.5,0.17,60.5,60.5,0.21
cho2017,lee2019,cspnet,3,200,77.0,77.0,0.54,75.5,75.5,0.51,,,,76.5,76.5,0.53,78.0,78.0,0.56
cho2017,lee2019,cspnet,4,200,50.5,50.5,0.01,54.0,54.0,0.08,,,,54.0,54.0,0.08,56.5,56.5,0.13
cho2017,lee2019,cspnet,5,200,58.0,58.0,0.16,83.5,83.5,0.67,,,,77.5,77.5,0.55,82.5,82.5,0.65
cho2017,lee2019,cspnet,6,200,62.5,62.5,0.25,65.0,65.0,0.3,,,,63.5,63.5,0.27,63.0,63.0,0.26
cho2017,lee2019,cspnet,7,200,53.5,53.5,0.07,65.0,65.0,0.3,,,,59.5,59.5,0.19,61.0,61.0,0.22
cho2017,lee2019,cspnet,8,200,71.5,71.5,0.43,71.0,71.0,0.42,,,,74.5,74.5,0.49,70.5,70.5,0.41
cho2017,lee2019,cspnet,9,200,70.0,70.0,0.4,82.5,82.5,0.65,,,,79.5,79.5,0.59,77.5,77.5,0.55
cho2017,lee2019,cspnet,10,200,54.5,54.5,0.09,61.0,61.0,0.22,,,,56.0,56.0,0.12,60.5,60.5,0.21
cho2017,lee2019,cspnet,11,200,49.5,49.5,-0.01,50.0,50.0,0.0,,,,49.0,49.0,-0.02,50.5,50.5,0.01
cho2017,lee2019,cspnet,12,200,52.0,52.0,0.04,73.0,73.0,0.46,,,,53.5,53.5,0.07,66.0,66.0,0.32
cho2017,lee2019,cspnet,13,200,52.0,52.0,0.04,54.0,54.0,0.08,,,,52.5,52.5,0.05,57.5,57.5,0.15
cho2017,lee2019,cspnet,14,200,55.5,55.5,0.11,67.5,67.5,0.35,,,,66.5,66.5,0.33,70.5,70.5,0.41
cho2017,lee2019,cspnet,15,200,49.0,49.0,-0.02,48.5,48.5,-0.03,,,,49.0,49.0,-0.02,49.0,49.0,-0.02
cho2017,lee2019,cspnet,16,200,54.5,54.5,0.09,62.0,62.0,0.24,,,,58.0,58.0,0.16,64.5,64.5,0.29
cho2017,lee2019,cspnet,17,200,55.0,55.0,0.1,62.0,62.0,0.24,,,,54.5,54.5,0.09,59.0,59.0,0.18
cho2017,lee2019,cspnet,18,200,73.5,73.5,0.47,89.5,89.5,0.79,,,,83.0,83.0,0.66,86.5,86.5,0.73
cho2017,lee2019,cspnet,19,200,62.0,62.0,0.24,77.5,77.5,0.55,,,,67.0,67.0,0.34,72.5,72.5,0.45
cho2017,lee2019,cspnet,20,200,57.0,57.0,0.14,64.0,64.0,0.28,,,,62.0,62.0,0.24,68.5,68.5,0.37
cho2017,lee2019,cspnet,21,200,74.5,74.5,0.49,89.0,89.0,0.78,,,,79.5,79.5,0.59,87.0,87.0,0.74
cho2017,lee2019,cspnet,22,200,58.0,58.0,0.16,63.5,63.5,0.27,,,,55.0,55.0,0.1,62.0,62.0,0.24
cho2017,lee2019,cspnet,23,200,63.0,63.0,0.26,70.5,70.5,0.41,,,,64.5,64.5,0.29,67.5,67.5,0.35
cho2017,lee2019,cspnet,24,200,53.5,53.5,0.07,57.5,57.5,0.15,,,,57.0,57.0,0.14,60.5,60.5,0.21
cho2017,lee2019,cspnet,25,200,51.0,51.0,0.02,59.0,59.0,0.18,,,,56.5,56.5,0.13,64.0,64.0,0.28
cho2017,lee2019,cspnet,26,200,54.0,54.0,0.08,52.5,52.5,0.05,,,,55.5,55.5,0.11,54.5,54.5,0.09
cho2017,lee2019,cspnet,27,200,50.5,50.5,0.01,50.0,50.0,0.0,,,,49.5,49.5,-0.01,50.0,50.0,0.0
cho2017,lee2019,cspnet,28,200,75.0,75.0,0.5,82.0,82.0,0.64,,,,80.0,80.0,0.6,80.5,80.5,0.61
cho2017,lee2019,cspnet,29,200,58.0,58.0,0.16,77.0,77.0,0.54,,,,67.5,67.5,0.35,75.5,75.5,0.51
cho2017,lee2019,cspnet,30,200,58.5,58.5,0.17,64.0,64.0,0.28,,,,61.0,61.0,0.22,63.0,63.0,0.26
cho2017,lee2019,cspnet,31,200,52.0,52.0,0.04,60.0,60.0,0.2,,,,62.0,62.0,0.24,67.5,67.5,0.35
cho2017,lee2019,cspnet,32,200,87.5,87.5,0.75,89.5,89.5,0.79,,,,88.5,88.5,0.77,87.0,87.0,0.74
cho2017,lee2019,cspnet,33,200,80.5,80.5,0.61,87.0,87.0,0.74,,,,89.5,89.5,0.79,90.5,90.5,0.81
cho2017,lee2019,cspnet,34,200,50.5,50.5,0.01,47.5,47.5,-0.05,,,,46.0,46.0,-0.08,44.0,44.0,-0.12
cho2017,lee2019,cspnet,35,200,49.5,49.5,-0.01,49.0,49.0,-0.02,,,,50.0,50.0,0.0,51.0,51.0,0.02
cho2017,lee2019,cspnet,36,200,80.5,80.5,0.61,85.0,85.0,0.7,,,,85.5,85.5,0.71,87.5,87.5,0.75
cho2017,lee2019,cspnet,37,200,90.5,90.5,0.81,90.5,90.5,0.81,,,,87.5,87.5,0.75,89.5,89.5,0.79
cho2017,lee2019,cspnet,38,200,52.5,52.5,0.05,54.0,54.0,0.08,,,,53.0,53.0,0.06,57.5,57.5,0.15
cho2017,lee2019,cspnet,39,200,70.5,70.5,0.41,80.5,80.5,0.61,,,,71.0,71.0,0.42,72.5,72.5,0.45
cho2017,lee2019,cspnet,40,200,56.5,56.5,0.13,64.5,64.5,0.29,,,,66.0,66.0,0.32,59.0,59.0,0.18
cho2017,lee2019,cspnet,41,200,49.0,49.0,-0.02,59.0,59.0,0.18,,,,51.0,51.0,0.02,56.0,56.0,0.12
cho2017,lee2019,cspnet,42,200,51.5,51.5,0.03,61.0,61.0,0.22,,,,59.0,59.0,0.18,64.0,64.0,0.28
cho2017,lee2019,cspnet,43,200,55.0,55.0,0.1,64.5,64.5,0.29,,,,60.0,60.0,0.2,62.0,62.0,0.24
cho2017,lee2019,cspnet,44,200,78.0,78.0,0.56,80.0,80.0,0.6,,,,81.5,81.5,0.63,81.5,81.5,0.63
cho2017,lee2019,cspnet,45,200,56.0,56.0,0.12,69.5,69.5,0.39,,,,63.5,63.5,0.27,68.0,68.0,0.36
