train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
cho2017,lee2019,session_ea,1,200,67.5,71.04,66.07,67.5,0.35
cho2017,lee2019,session_ea,2,200,85.5,85.53,85.5,85.5,0.71
cho2017,lee2019,session_ea,3,200,91.5,91.5,91.5,91.5,0.83
cho2017,lee2019,session_ea,4,200,63.0,64.48,62.03,63.0,0.26
cho2017,lee2019,session_ea,5,200,85.0,85.7,84.93,85.0,0.7
cho2017,lee2019,session_ea,6,200,60.5,60.5,60.5,60.5,0.21
cho2017,lee2019,session_ea,7,200,69.0,69.38,68.85,69.0,0.38
cho2017,lee2019,session_ea,8,200,69.0,69.28,68.89,69.0,0.38
cho2017,lee2019,session_ea,9,200,77.0,77.0,77.0,77.0,0.54
cho2017,lee2019,session_ea,10,200,63.0,63.0,63.0,63.0,0.26
cho2017,lee2019,session_ea,11,200,51.0,51.01,50.88,51.0,0.02
cho2017,lee2019,session_ea,12,200,67.0,67.17,66.92,67.0,0.34
cho2017,lee2019,session_ea,13,200,62.0,62.08,61.94,62.0,0.24
cho2017,lee2019,session_ea,14,200,71.5,71.5,71.5,71.5,0.43
cho2017,lee2019,session_ea,15,200,58.5,59.54,57.34,58.5,0.17
cho2017,lee2019,session_ea,16,200,60.0,60.73,59.31,60.0,0.2
cho2017,lee2019,session_ea,17,200,72.5,72.5,72.5,72.5,0.45
cho2017,lee2019,session_ea,18,200,88.0,88.0,88.0,88.0,0.76
cho2017,lee2019,session_ea,19,200,80.5,80.5,80.5,80.5,0.61
cho2017,lee2019,session_ea,20,200,67.0,67.03,66.99,67.0,0.34
cho2017,lee2019,session_ea,21,200,92.5,92.71,92.49,92.5,0.85
cho2017,lee2019,session_ea,22,200,79.0,79.01,79.0,79.0,0.58
cho2017,lee2019,session_ea,23,200,88.5,88.69,88.49,88.5,0.77
cho2017,lee2019,session_ea,24,200,56.0,56.0,56.0,56.0,0.12
cho2017,lee2019,session_ea,25,200,63.5,64.25,63.01,63.5,0.27
cho2017,lee2019,session_ea,26,200,65.0,65.02,64.99,65.0,0.3
cho2017,lee2019,session_ea,27,200,47.0,46.88,46.46,47.0,-0.06
cho2017,lee2019,session_ea,28,200,83.5,83.66,83.48,83.5,0.67
cho2017,lee2019,session_ea,29,200,77.5,77.57,77.49,77.5,0.55
cho2017,lee2019,session_ea,30,200,67.5,68.16,67.2,67.5,0.35
cho2017,lee2019,session_ea,31,200,69.0,69.03,68.99,69.0,0.38
cho2017,lee2019,session_ea,32,200,93.0,93.28,92.99,93.0,0.86
cho2017,lee2019,session_ea,33,200,86.0,86.13,85.99,86.0,0.72
cho2017,lee2019,session_ea,34,200,43.0,42.86,42.72,43.0,-0.14
cho2017,lee2019,session_ea,35,200,51.0,51.06,50.28,51.0,0.02
cho2017,lee2019,session_ea,36,200,96.0,96.07,96.0,96.0,0.92
cho2017,lee2019,session_ea,37,200,91.5,91.5,91.5,91.5,0.83
cho2017,lee2019,session_ea,38,200,63.0,64.48,62.03,63.0,0.26
cho2017,lee2019,session_ea,39,200,85.0,85.92,84.9,85.0,0.7
cho2017,lee2019,session_ea,40,200,58.5,58.54,58.45,58.5,0.17
cho2017,lee2019,session_ea,41,200,60.5,60.51,60.49,60.5,0.21
cho2017,lee2019,session_ea,42,200,68.5,68.5,68.5,68.5,0.37
cho2017,lee2019,session_ea,43,200,71.5,72.14,71.29,71.5,0.43
cho2017,lee2019,session_ea,44,200,90.0,90.58,89.96,90.0,0.8
cho2017,lee2019,session_ea,45,200,82.0,83.33,81.82,82.0,0.64
cho2017,lee2019,session_ea,46,200,73.0,73.34,72.9,73.0,0.46
cho2017,lee2019,session_ea,47,200,64.5,64.5,64.5,64.5,0.29
cho2017,lee2019,session_ea,48,200,60.5,61.09,59.97,60.5,0.21
cho2017,lee2019,session_ea,49,200,75.5,75.5,75.5,75.5,0.51
cho2017,lee2019,session_ea,50,200,58.5,58.51,58.49,58.5,0.17
cho2017,lee2019,session_ea,51,200,59.0,59.24,58.74,59.0,0.18
cho2017,lee2019,session_ea,52,200,67.5,67.54,67.48,67.5,0.35
cho2017,lee2019,session_ea,53,200,62.5,62.53,62.48,62.5,0.25
cho2017,lee2019,session_ea,54,200,54.0,54.86,51.88,54.0,0.08
