train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
lee2019,cho2017,session_ea_feature_coral,1,200,70.5,70.55,70.48,70.5,0.41
lee2019,cho2017,session_ea_feature_coral,2,200,51.0,51.0,50.96,51.0,0.02
lee2019,cho2017,session_ea_feature_coral,3,200,86.0,86.0,86.0,86.0,0.72
lee2019,cho2017,session_ea_feature_coral,4,200,84.0,84.01,84.0,84.0,0.68
lee2019,cho2017,session_ea_feature_coral,5,200,63.0,63.13,62.91,63.0,0.26
lee2019,cho2017,session_ea_feature_coral,6,200,58.5,58.51,58.49,58.5,0.17
lee2019,cho2017,session_ea_feature_coral,7,240,50.42,50.42,50.37,50.42,0.008
lee2019,cho2017,session_ea_feature_coral,8,200,56.5,56.53,56.45,56.5,0.13
lee2019,cho2017,session_ea_feature_coral,9,240,65.0,65.07,64.96,65.0,0.3
lee2019,cho2017,session_ea_feature_coral,10,200,77.0,77.0,77.0,77.0,0.54
lee2019,cho2017,session_ea_feature_coral,11,200,62.0,62.02,61.98,62.0,0.24
lee2019,cho2017,session_ea_feature_coral,12,200,77.5,77.72,77.45,77.5,0.55
lee2019,cho2017,session_ea_feature_coral,13,200,51.0,51.0,51.0,51.0,0.02
lee2019,cho2017,session_ea_feature_coral,14,200,95.0,95.16,95.0,95.0,0.9
lee2019,cho2017,session_ea_feature_coral,15,200,70.0,70.07,69.97,70.0,0.4
lee2019,cho2017,session_ea_feature_coral,16,200,59.5,59.52,59.47,59.5,0.19
lee2019,cho2017,session_ea_feature_coral,17,200,50.5,50.5,50.49,50.5,0.01
lee2019,cho2017,session_ea_feature_coral,18,200,62.5,62.5,62.5,62.5,0.25
lee2019,cho2017,session_ea_feature_coral,19,200,69.0,69.01,69.0,69.0,0.38
lee2019,cho2017,session_ea_feature_coral,20,200,71.0,71.31,70.9,71.0,0.42
lee2019,cho2017,session_ea_feature_coral,21,200,71.0,71.08,70.97,71.0,0.42
lee2019,cho2017,session_ea_feature_coral,22,200,74.0,74.01,74.0,74.0,0.48
lee2019,cho2017,session_ea_feature_coral,23,200,79.0,79.05,78.99,79.0,0.58
lee2019,cho2017,session_ea_feature_coral,24,200,71.5,71.52,71.49,71.5,0.43
lee2019,cho2017,session_ea_feature_coral,25,200,62.0,62.18,61.86,62.0,0.24
lee2019,cho2017,session_ea_feature_coral,26,200,53.5,53.56,53.3,53.5,0.07
lee2019,cho2017,session_ea_feature_coral,27,200,65.5,65.58,65.46,65.5,0.31
lee2019,cho2017,session_ea_feature_coral,28,200,46.5,46.47,46.39,46.5,-0.07
lee2019,cho2017,session_ea_feature_coral,29,200,49.0,49.0,48.98,49.0,-0.02
lee2019,cho2017,session_ea_feature_coral,30,200,71.0,71.01,71.0,71.0,0.42
lee2019,cho2017,session_ea_feature_coral,31,200,69.0,69.03,68.99,69.0,0.38
lee2019,cho2017,session_ea_feature_coral,32,200,45.5,45.5,45.49,45.5,-0.09
lee2019,cho2017,session_ea_feature_coral,33,200,60.5,60.68,60.33,60.5,0.21
lee2019,cho2017,session_ea_feature_coral,34,200,47.0,47.0,47.0,47.0,-0.06
lee2019,cho2017,session_ea_feature_coral,35,200,39.5,39.47,39.46,39.5,-0.21
lee2019,cho2017,session_ea_feature_coral,36,200,71.5,71.5,71.5,71.5,0.43
lee2019,cho2017,session_ea_feature_coral,37,200,53.0,53.01,52.96,53.0,0.06
lee2019,cho2017,session_ea_feature_coral,38,200,64.0,64.09,63.94,64.0,0.28
lee2019,cho2017,session_ea_feature_coral,39,200,71.5,71.5,71.5,71.5,0.43
lee2019,cho2017,session_ea_feature_coral,40,200,49.5,49.5,49.47,49.5,-0.01
lee2019,cho2017,session_ea_feature_coral,41,200,83.0,83.05,82.99,83.0,0.66
lee2019,cho2017,session_ea_feature_coral,42,200,70.5,70.5,70.5,70.5,0.41
lee2019,cho2017,session_ea_feature_coral,43,200,95.5,95.54,95.5,95.5,0.91
lee2019,cho2017,session_ea_feature_coral,44,200,73.5,73.56,73.48,73.5,0.47
lee2019,cho2017,session_ea_feature_coral,45,200,61.0,61.02,60.98,61.0,0.22
lee2019,cho2017,session_ea_feature_coral,46,240,69.58,69.65,69.56,69.58,0.392
lee2019,cho2017,session_ea_feature_coral,47,200,66.5,66.5,66.5,66.5,0.33
lee2019,cho2017,session_ea_feature_coral,48,200,86.5,86.5,86.5,86.5,0.73
lee2019,cho2017,session_ea_feature_coral,49,200,64.5,64.54,64.48,64.5,0.29
lee2019,cho2017,session_ea_feature_coral,50,200,58.0,58.0,58.0,58.0,0.16
lee2019,cho2017,session_ea_feature_coral,51,200,60.0,60.1,59.9,60.0,0.2
lee2019,cho2017,session_ea_feature_coral,52,200,76.5,76.5,76.5,76.5,0.53
