train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
cho2017,lee2019,session_ea_feature_coral_mmd_resample,1,200,78.0,78.18,77.96,78.0,0.56
cho2017,lee2019,session_ea_feature_coral_mmd_resample,2,200,80.5,80.58,80.49,80.5,0.61
cho2017,lee2019,session_ea_feature_coral_mmd_resample,3,200,87.5,87.5,87.5,87.5,0.75
cho2017,lee2019,session_ea_feature_coral_mmd_resample,4,200,65.5,65.51,65.49,65.5,0.31
cho2017,lee2019,session_ea_feature_coral_mmd_resample,5,200,82.0,82.21,81.97,82.0,0.64
cho2017,lee2019,session_ea_feature_coral_mmd_resample,6,200,61.5,61.51,61.49,61.5,0.23
cho2017,lee2019,session_ea_feature_coral_mmd_resample,7,200,67.0,67.17,66.92,67.0,0.34
cho2017,lee2019,session_ea_feature_coral_mmd_resample,8,200,69.0,69.03,68.99,69.0,0.38
cho2017,lee2019,session_ea_feature_coral_mmd_resample,9,200,77.0,77.17,76.96,77.0,0.54
cho2017,lee2019,session_ea_feature_coral_mmd_resample,10,200,64.0,64.01,64.0,64.0,0.28
cho2017,lee2019,session_ea_feature_coral_mmd_resample,11,200,50.0,50.0,49.92,50.0,0.0
cho2017,lee2019,session_ea_feature_coral_mmd_resample,12,200,68.5,68.52,68.49,68.5,0.37
cho2017,lee2019,session_ea_feature_coral_mmd_resample,13,200,64.5,64.51,64.49,64.5,0.29
cho2017,lee2019,session_ea_feature_coral_mmd_resample,14,200,69.0,69.0,69.0,69.0,0.38
cho2017,lee2019,session_ea_feature_coral_mmd_resample,15,200,49.5,49.5,49.49,49.5,-0.01
cho2017,lee2019,session_ea_feature_coral_mmd_resample,16,200,61.5,61.51,61.49,61.5,0.23
cho2017,lee2019,session_ea_feature_coral_mmd_resample,17,200,72.5,72.5,72.5,72.5,0.45
cho2017,lee2019,session_ea_feature_coral_mmd_resample,18,200,87.0,87.0,87.0,87.0,0.74
cho2017,lee2019,session_ea_feature_coral_mmd_resample,19,200,80.0,80.0,80.0,80.0,0.6
cho2017,lee2019,session_ea_feature_coral_mmd_resample,20,200,65.0,65.0,65.0,65.0,0.3
cho2017,lee2019,session_ea_feature_coral_mmd_resample,21,200,89.0,89.02,89.0,89.0,0.78
cho2017,lee2019,session_ea_feature_coral_mmd_resample,22,200,74.5,74.5,74.5,74.5,0.49
cho2017,lee2019,session_ea_feature_coral_mmd_resample,23,200,87.5,87.5,87.5,87.5,0.75
cho2017,lee2019,session_ea_feature_coral_mmd_resample,24,200,54.5,54.5,54.49,54.5,0.09
cho2017,lee2019,session_ea_feature_coral_mmd_resample,25,200,61.5,61.5,61.5,61.5,0.23
cho2017,lee2019,session_ea_feature_coral_mmd_resample,26,200,64.0,64.01,64.0,64.0,0.28
cho2017,lee2019,session_ea_feature_coral_mmd_resample,27,200,50.0,50.0,49.92,50.0,0.0
cho2017,lee2019,session_ea_feature_coral_mmd_resample,28,200,80.5,80.58,80.49,80.5,0.61
cho2017,lee2019,session_ea_feature_coral_mmd_resample,29,200,74.0,74.01,74.0,74.0,0.48
cho2017,lee2019,session_ea_feature_coral_mmd_resample,30,200,70.0,70.01,70.0,70.0,0.4
cho2017,lee2019,session_ea_feature_coral_mmd_resample,31,200,67.5,67.5,67.5,67.5,0.35
cho2017,lee2019,session_ea_feature_coral_mmd_resample,32,200,94.0,94.0,94.0,94.0,0.88
cho2017,lee2019,session_ea_feature_coral_mmd_resample,33,200,83.0,83.01,83.0,83.0,0.66
cho2017,lee2019,session_ea_feature_coral_mmd_resample,34,200,45.0,45.0,44.99,45.0,-0.1
cho2017,lee2019,session_ea_feature_coral_mmd_resample,35,200,55.5,55.53,55.45,55.5,0.11
cho2017,lee2019,session_ea_feature_coral_mmd_resample,36,200,94.5,94.54,94.5,94.5,0.89
cho2017,lee2019,session_ea_feature_coral_mmd_resample,37,200,91.0,91.15,90.99,91.0,0.82
cho2017,lee2019,session_ea_feature_coral_mmd_resample,38,200,62.5,62.56,62.45,62.5,0.25
