train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,conformer,1,200,61.5,61.5,0.23,,,,,,,,,,,,
lee2019,cho2017,conformer,2,200,46.0,46.0,-0.08,,,,,,,,,,,,
lee2019,cho2017,conformer,3,200,57.0,57.0,0.14,,,,,,,,,,,,
lee2019,cho2017,conformer,4,200,51.5,51.5,0.03,,,,,,,,,,,,
lee2019,cho2017,conformer,5,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,6,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,conformer,7,240,53.3,53.3,0.067,,,,,,,,,,,,
lee2019,cho2017,conformer,8,200,51.0,51.0,0.02,,,,,,,,,,,,
lee2019,cho2017,conformer,9,240,52.5,52.5,0.05,,,,,,,,,,,,
lee2019,cho2017,conformer,10,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,conformer,11,200,54.5,54.5,0.09,,,,,,,,,,,,
lee2019,cho2017,conformer,12,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,conformer,13,200,51.5,51.5,0.03,,,,,,,,,,,,
lee2019,cho2017,conformer,14,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,conformer,15,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,conformer,16,200,49.5,49.5,-0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,17,200,49.5,49.5,-0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,18,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,conformer,19,200,54.5,54.5,0.09,,,,,,,,,,,,
lee2019,cho2017,conformer,20,200,52.5,52.5,0.05,,,,,,,,,,,,
lee2019,cho2017,conformer,21,200,62.0,62.0,0.24,,,,,,,,,,,,
lee2019,cho2017,conformer,22,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,conformer,23,200,56.5,56.5,0.13,,,,,,,,,,,,
lee2019,cho2017,conformer,24,200,64.5,64.5,0.29,,,,,,,,,,,,
lee2019,cho2017,conformer,25,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,conformer,26,200,57.0,57.0,0.14,,,,,,,,,,,,
lee2019,cho2017,conformer,27,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,28,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,29,200,55.0,55.0,0.1,,,,,,,,,,,,
lee2019,cho2017,conformer,30,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,conformer,31,200,52.0,52.0,0.04,,,,,,,,,,,,
lee2019,cho2017,conformer,32,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,conformer,33,200,51.5,51.5,0.03,,,,,,,,,,,,
lee2019,cho2017,conformer,34,200,44.5,44.5,-0.11,,,,,,,,,,,,
lee2019,cho2017,conformer,35,200,55.0,55.0,0.1,,,,,,,,,,,,
lee2019,cho2017,conformer,36,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,37,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,conformer,38,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,39,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,conformer,40,200,49.5,49.5,-0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,41,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,conformer,42,200,51.5,51.5,0.03,,,,,,,,,,,,
lee2019,cho2017,conformer,43,200,55.0,55.0,0.1,,,,,,,,,,,,
lee2019,cho2017,conformer,44,200,58.0,58.0,0.16,,,,,,,,,,,,
lee2019,cho2017,conformer,45,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,conformer,46,240,48.8,48.8,-0.025,,,,,,,,,,,,
lee2019,cho2017,conformer,47,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,conformer,48,200,51.5,51.5,0.03,,,,,,,,,,,,
lee2019,cho2017,conformer,49,200,52.5,52.5,0.05,,,,,,,,,,,,
lee2019,cho2017,conformer,50,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,51,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,conformer,52,200,56.5,56.5,0.13,,,,,,,,,,,,
