train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,conformer,1,200,62.5,62.5,0.25,,,,50.5,50.5,0.01,,,,,,
lee2019,cho2017,conformer,2,200,51.5,51.5,0.03,,,,52.0,52.0,0.04,,,,,,
lee2019,cho2017,conformer,3,200,87.0,87.0,0.74,,,,76.0,76.0,0.52,,,,,,
lee2019,cho2017,conformer,4,200,83.5,83.5,0.67,,,,67.0,67.0,0.34,,,,,,
lee2019,cho2017,conformer,5,200,54.0,54.0,0.08,,,,57.5,57.5,0.15,,,,,,
lee2019,cho2017,conformer,6,200,56.0,56.0,0.12,,,,54.0,54.0,0.08,,,,,,
lee2019,cho2017,conformer,7,240,49.2,49.2,-0.017,,,,52.5,52.5,0.05,,,,,,
lee2019,cho2017,conformer,8,200,51.5,51.5,0.03,,,,48.5,48.5,-0.03,,,,,,
lee2019,cho2017,conformer,9,240,64.2,64.2,0.283,,,,66.2,66.2,0.325,,,,,,
lee2019,cho2017,conformer,10,200,81.0,81.0,0.62,,,,82.0,82.0,0.64,,,,,,
lee2019,cho2017,conformer,11,200,56.0,56.0,0.12,,,,52.5,52.5,0.05,,,,,,
lee2019,cho2017,conformer,12,200,67.0,67.0,0.34,,,,60.0,60.0,0.2,,,,,,
lee2019,cho2017,conformer,13,200,54.5,54.5,0.09,,,,50.0,50.0,0.0,,,,,,
lee2019,cho2017,conformer,14,200,84.0,84.0,0.68,,,,87.5,87.5,0.75,,,,,,
lee2019,cho2017,conformer,15,200,61.0,61.0,0.22,,,,61.5,61.5,0.23,,,,,,
lee2019,cho2017,conformer,16,200,58.5,58.5,0.17,,,,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,conformer,17,200,52.0,52.0,0.04,,,,50.0,50.0,0.0,,,,,,
lee2019,cho2017,conformer,18,200,57.5,57.5,0.15,,,,55.5,55.5,0.11,,,,,,
lee2019,cho2017,conformer,19,200,62.5,62.5,0.25,,,,64.0,64.0,0.28,,,,,,
lee2019,cho2017,conformer,20,200,60.5,60.5,0.21,,,,59.0,59.0,0.18,,,,,,
lee2019,cho2017,conformer,21,200,70.0,70.0,0.4,,,,62.5,62.5,0.25,,,,,,
lee2019,cho2017,conformer,22,200,67.5,67.5,0.35,,,,57.0,57.0,0.14,,,,,,
lee2019,cho2017,conformer,23,200,80.0,80.0,0.6,,,,83.0,83.0,0.66,,,,,,
lee2019,cho2017,conformer,24,200,57.5,57.5,0.15,,,,55.5,55.5,0.11,,,,,,
lee2019,cho2017,conformer,25,200,71.0,71.0,0.42,,,,67.5,67.5,0.35,,,,,,
lee2019,cho2017,conformer,26,200,57.0,57.0,0.14,,,,51.0,51.0,0.02,,,,,,
lee2019,cho2017,conformer,27,200,52.5,52.5,0.05,,,,52.5,52.5,0.05,,,,,,
lee2019,cho2017,conformer,28,200,51.0,51.0,0.02,,,,48.0,48.0,-0.04,,,,,,
lee2019,cho2017,conformer,29,200,52.5,52.5,0.05,,,,51.5,51.5,0.03,,,,,,
lee2019,cho2017,conformer,30,200,61.0,61.0,0.22,,,,59.5,59.5,0.19,,,,,,
lee2019,cho2017,conformer,31,200,63.0,63.0,0.26,,,,57.5,57.5,0.15,,,,,,
lee2019,cho2017,conformer,32,200,49.5,49.5,-0.01,,,,51.0,51.0,0.02,,,,,,
lee2019,cho2017,conformer,33,200,63.0,63.0,0.26,,,,62.0,62.0,0.24,,,,,,
lee2019,cho2017,conformer,34,200,55.0,55.0,0.1,,,,50.5,50.5,0.01,,,,,,
lee2019,cho2017,conformer,35,200,60.0,60.0,0.2,,,,54.5,54.5,0.09,,,,,,
lee2019,cho2017,conformer,36,200,68.5,68.5,0.37,,,,61.5,61.5,0.23,,,,,,
lee2019,cho2017,conformer,37,200,48.0,48.0,-0.04,,,,46.5,46.5,-0.07,,,,,,
lee2019,cho2017,conformer,38,200,51.0,51.0,0.02,,,,56.5,56.5,0.13,,,,,,
lee2019,cho2017,conformer,39,200,66.5,66.5,0.33,,,,61.5,61.5,0.23,,,,,,
lee2019,cho2017,conformer,40,200,48.0,48.0,-0.04,,,,48.5,48.5,-0.03,,,,,,
lee2019,cho2017,conformer,41,200,84.0,84.0,0.68,,,,76.0,76.0,0.52,,,,,,
lee2019,cho2017,conformer,42,200,60.5,60.5,0.21,,,,54.0,54.0,0.08,,,,,,
lee2019,cho2017,conformer,43,200,89.0,89.0,0.78,,,,79.5,79.5,0.59,,,,,,
lee2019,cho2017,conformer,44,200,72.0,72.0,0.44,,,,73.5,73.5,0.47,,,,,,
lee2019,cho2017,conformer,45,200,63.0,63.0,0.26,,,,58.0,58.0,0.16,,,,,,
lee2019,cho2017,conformer,46,240,72.9,72.9,0.458,,,,69.2,69.2,0.383,,,,,,
lee2019,cho2017,conformer,47,200,61.0,61.0,0.22,,,,62.0,62.0,0.24,,,,,,
lee2019,cho2017,conformer,48,200,85.0,85.0,0.7,,,,88.5,88.5,0.77,,,,,,
lee2019,cho2017,conformer,49,200,59.5,59.5,0.19,,,,54.5,54.5,0.09,,,,,,
lee2019,cho2017,conformer,50,200,58.5,58.5,0.17,,,,58.5,58.5,0.17,,,,,,
lee2019,cho2017,conformer,51,200,58.5,58.5,0.17,,,,53.5,53.5,0.07,,,,,,
lee2019,cho2017,conformer,52,200,76.0,76.0,0.52,,,,62.0,62.0,0.24,,,,,,
